signal_date,ts_code,name,rank,rs20,signal_score
2025-12-03,600868.SH,梅雁吉祥,1,0.30067567567567566,74.69519892630292
2025-12-04,600828.SH,茂业商业,1,0.41007194244604306,81.11734455893348
2025-12-04,603778.SH,国晟科技,2,1.502970297029703,81.05310532068614
2025-12-05,600734.SH,实达集团,1,0.4464751958224542,94.15957643603255
2025-12-05,603122.SH,合富中国,2,1.239554317548747,92.38235981242386
2025-12-08,603353.SH,和顺石油,1,0.46895074946466786,97.12855028319026
2025-12-08,603216.SH,梦天家居,2,0.8756097560975613,96.963493705202
2025-12-09,603163.SH,圣晖集成,1,0.37590415913200714,96.39660110934088
2025-12-10,000510.SZ,新金路,1,0.4218512898330804,88.28718571858175
2025-12-10,000536.SZ,华映科技,2,0.22699386503067487,88.20793706951703
2025-12-11,600592.SH,龙溪股份,1,0.265287356321839,89.4737838500919
2025-12-11,600734.SH,实达集团,2,0.6524064171122992,88.0990986840427
2025-12-12,600151.SH,航天机电,1,0.5963511972633979,87.47631505904306
2025-12-12,603698.SH,航天工程,2,0.21559392987964432,85.93579814486212
2025-12-15,600673.SH,东阳光,1,0.1044561571633924,85.3773072129702
2025-12-15,601231.SH,环旭电子,2,0.09510869565217406,82.52341201861411
2025-12-16,603829.SH,洛凯股份,1,0.4182976786527084,84.65052387152703
2025-12-16,600184.SH,光电股份,2,0.15632183908045993,84.228911971703
2025-12-17,600875.SH,东方电气,1,0.05522041763341057,81.57297836001469
2025-12-17,605123.SH,派克新材,2,0.24774322968906715,80.5454909888087
2025-12-18,000534.SZ,万泽股份,1,0.14601769911504414,86.83364515464712
2025-12-18,600776.SH,东方通信,2,0.1862971516551193,84.62143375570825
2025-12-19,603127.SH,昭衍新药,1,0.2623762376237624,92.34962814182498
2025-12-19,000510.SZ,新金路,2,0.3606789250353606,91.73324714985928
2025-12-22,601208.SH,东材科技,1,0.2728323699421964,92.73567717783641
2025-12-22,000007.SZ,全新好,2,0.23684210526315796,92.46319610398545
2025-12-23,603212.SH,赛伍技术,1,0.21012658227848102,88.2420421270384
2025-12-23,600501.SH,航天晨光,2,0.21825962910128394,88.11957423612934
2025-12-24,603626.SH,科森科技,1,0.2354430379746837,91.30005575159095
2025-12-25,000417.SZ,合百集团,1,0.23668639053254426,92.78624769452635
2025-12-26,600487.SH,亨通光电,1,0.2826961770623744,90.48213671223016
2025-12-26,603344.SH,星德胜,2,0.30766177054386645,89.4918432446154
2025-12-29,603344.SH,星德胜,1,0.28097868981846896,92.6941654212352
2025-12-30,603203.SH,快克智能,1,0.20669291338582685,89.0601096225943
2025-12-30,002947.SZ,恒铭达,2,0.16541186891054038,88.5169408758422
2025-12-31,600577.SH,精达股份,1,0.18128078817733995,90.18693412900977
2025-12-31,603680.SH,今创集团,2,0.5289017341040461,89.37827626597893
2026-01-05,603680.SH,今创集团,1,0.44967074317968003,91.54648806541515
2026-01-05,603305.SH,旭升集团,2,0.19586104951958605,91.08972234722401
2026-01-06,001208.SZ,华菱线缆,1,0.9348184818481848,88.5103805756796
2026-01-06,002342.SZ,巨力索具,2,0.20584144645340752,87.55083662600764
2026-01-07,603344.SH,星德胜,1,0.4187767822360733,78.76288611357671
2026-01-07,603331.SH,百达精工,2,0.14843087362171326,77.68499466698009
2026-01-08,002571.SZ,德力股份,1,0.38621444201312904,82.16390325699115
2026-01-08,600151.SH,航天机电,2,0.40949554896142426,81.06942424120683
2026-01-09,002716.SZ,湖南白银,1,0.23680000000000012,92.49321706497602
2026-01-09,002083.SZ,孚日股份,2,0.3911248710010322,91.69846687322689
2026-01-12,000792.SZ,盐湖股份,1,0.22044479126024208,90.35302195299903
2026-01-12,002920.SZ,德赛西威,2,0.22632058287795997,89.83042360222306
2026-01-13,600295.SH,鄂尔多斯,1,0.3904494382022472,94.27004098449211
2026-01-14,000901.SZ,航天科技,1,0.3536742587021917,95.30680466603279
2026-01-15,002250.SZ,联化科技,1,0.3966804979253109,98.32643145934988
2026-01-16,600552.SH,凯盛科技,1,0.3534883720930233,94.8856256153559
2026-01-16,601929.SH,吉视传媒,2,0.30182926829268286,94.69861606998832
2026-01-19,600552.SH,凯盛科技,1,0.3683241252302025,93.4567869454825
2026-01-19,600651.SH,飞乐音响,2,0.17520215633423186,90.4529928544114
2026-01-20,002290.SZ,禾盛新材,1,0.38854905798874495,93.26943926627851
2026-01-21,002879.SZ,长缆科技,1,0.22826696578799788,93.06707649348968
2026-01-21,002943.SZ,宇晶股份,2,0.6393442622950818,89.95724668275231
2026-01-22,605488.SH,福莱新材,1,0.2692187009727016,91.94578587387618
2026-01-22,605167.SH,利柏特,2,0.42292490118577075,88.97519798467948
2026-01-23,603216.SH,梦天家居,1,0.41639344262295075,95.37005993110853
2026-01-23,600312.SH,平高电气,2,0.25126475548060734,93.69143275224701
2026-01-26,603186.SH,华正新材,1,0.46517044251535067,93.87518316246262
2026-01-26,600955.SH,维远股份,2,0.3599999999999999,93.30541394061306
2026-01-27,002838.SZ,道恩股份,1,0.19926199261992616,90.5499453879615
2026-01-27,603090.SH,宏盛股份,2,0.49849999999999994,89.95536218839585
2026-01-28,601608.SH,中信重工,1,0.2051671732522795,90.89238880309944
2026-01-28,600714.SH,金瑞矿业,2,0.23730158730158735,90.54956354278448
2026-01-29,600552.SH,凯盛科技,1,0.34513274336283173,93.98255418876967
2026-01-29,002785.SZ,万里石,2,0.2157467077612778,90.2901408046534
2026-01-30,601226.SH,华电科工,1,0.3194968553459119,94.69504942435657
2026-01-30,603806.SH,福斯特,2,0.27156094084105487,94.35393565723184
2026-02-02,603988.SH,中电电机,1,0.4868312757201647,97.59793546076467
2026-02-02,001311.SZ,多利科技,2,0.3379052369077309,95.2674698283182
2026-02-03,600869.SH,远东股份,1,0.45797807551766123,91.34109903862431
2026-02-03,600871.SH,石化油服,2,0.4018264840182648,89.11802394078927
2026-02-04,002259.SZ,升达林业,1,0.38888888888888884,96.58794417066598
2026-02-04,000031.SZ,大悦城,2,0.27241379310344827,94.76591921799954
2026-02-05,002181.SZ,粤传媒,1,0.3366890380313199,93.51995568862957
2026-02-05,603599.SH,广信股份,2,0.276088742810189,90.16825160471555
2026-02-06,000534.SZ,万泽股份,1,0.38368860055607046,94.82668190414171
2026-02-06,002606.SZ,大连电瓷,2,0.25950054288816493,92.19147691011796
2026-02-09,603806.SH,福斯特,1,0.3125,96.72276076993718
2026-02-09,002606.SZ,大连电瓷,2,0.29366812227074224,93.8525791534193
2026-02-10,601096.SH,宏盛华源,1,0.36238532110091737,92.42774978665886
2026-02-10,002853.SZ,皮阿诺,2,0.3771929824561402,91.70474864547867
2026-02-11,002985.SZ,北摩高科,1,0.284965034965035,91.86413759591065
2026-02-12,600185.SH,珠免集团,1,0.20781249999999996,89.56769387652871
2026-02-12,600841.SH,动力新科,2,0.6858054226475281,89.43478610025134
2026-02-13,603188.SH,亚邦股份,1,0.24680851063829778,90.3612066698651
2026-02-13,002079.SZ,苏州固锝,2,0.1533066132264529,88.33951232329746
2026-02-24,600841.SH,动力新科,1,0.5441176470588236,92.20764428666953
2026-02-24,002597.SZ,金禾实业,2,0.17984636240397656,91.34566171707408
2026-02-26,002491.SZ,通鼎互联,1,0.6207482993197277,79.9324992680836
2026-02-27,603619.SH,中曼石油,1,0.35540591096146645,82.6238938502489
2026-02-27,600871.SH,石化油服,2,0.33891213389121333,81.27723665537097
2026-03-02,600871.SH,石化油服,1,0.23461538461538467,88.54521049376848
2026-03-02,603619.SH,中曼石油,2,0.26259117749218497,88.15886581764127
2026-03-03,600550.SH,保变电气,1,0.14474553866490414,88.4332848179871
2026-03-03,002283.SZ,天润工业,2,0.4722991689750695,87.90157768055404
2026-03-04,002008.SZ,大族激光,1,0.38191447626520225,89.2128042247833
2026-03-04,600522.SH,中天科技,2,0.37422434367541757,88.64627339848818
2026-03-05,002655.SZ,共达电声,1,0.25414781297134237,92.1713618461592
2026-03-05,002756.SZ,永兴材料,2,0.1539158810732415,88.29703070354923
2026-03-06,605117.SH,德业股份,1,0.33038674033149174,89.43109140232694
2026-03-09,605117.SH,德业股份,1,0.34251968503937014,90.07873313021673
2026-03-09,603738.SH,泰晶科技,2,0.4419753086419753,86.24386642663036
2026-03-10,600149.SH,廊坊发展,1,0.2873134328358209,92.08248675990595
2026-03-10,002357.SZ,富临运业,2,0.20475460122699407,90.45184068667261
2026-03-11,603067.SH,振华股份,1,0.31732212548784156,92.58216022793223
2026-03-11,002800.SZ,天顺股份,2,0.4350180505415162,91.31142848270046
2026-03-12,002986.SZ,宇新股份,1,0.3767403767403765,91.54786668340498
2026-03-13,001339.SZ,智微智能,1,0.3367703921929661,96.58190979305941
2026-03-16,001339.SZ,智微智能,1,0.37410881801125706,94.64661841783796
2026-03-16,601869.SH,长飞光纤,2,0.4954253214638973,91.59260126656936
2026-03-17,605117.SH,德业股份,1,0.49305156770414627,99.0757511305451
2026-03-17,603629.SH,利通电子,2,0.3351445337970007,95.10268727922251
2026-03-18,000545.SZ,金浦钛业,1,0.3079470198675498,86.3989034096987
2026-03-18,002432.SZ,九安医疗,2,0.28114715561824166,85.40008001124299
2026-03-19,000010.SZ,美丽生态,1,0.27071823204419876,90.51625039970197
2026-03-19,600956.SH,新天绿能,2,0.40646029609690437,86.92105866496988
2026-03-20,603175.SH,超颖电子,1,0.3399122807017543,96.46658988689717
2026-03-20,603738.SH,泰晶科技,2,0.4345487148834428,92.74095642986316
2026-03-23,000890.SZ,法尔胜,1,1.3959854014598538,87.03952656620974
2026-03-23,600791.SH,京能置业,2,0.37104072398190047,86.32083407160114
2026-03-24,601016.SH,节能风电,1,0.43870967741935485,85.57426240575118
2026-03-24,600643.SH,爱建集团,2,0.08823529411764697,81.74172904725256
2026-03-25,605286.SH,同力天启,1,0.28192457737321175,90.08362325368152
2026-03-26,002432.SZ,九安医疗,1,0.41839234023602767,81.56395153473686
