trade_date,ret_orig,ret_curr
20260130,0.0008682033649801913,-0.003686169949486325
20260202,0.036154097257239025,0.030835698824228576
20260203,0.02780918275115966,0.03738364777074654
20260204,0.00552983448831712,-0.0008909764195943766
20260205,-0.01529208277590021,-0.017016366135512183
20260206,0.019572435556456342,0.009904113416470673
20260209,0.009284616069558712,-0.000518040388902441
20260210,0.01002568033099576,0.000575542556447332
20260211,0.008938072013387043,0.035176666561873036
20260212,0.030995787806203805,0.02504615474073193
20260213,0.012980519659679893,0.02304140548382895
20260224,-0.03767932843786288,-0.031347400747719315
20260225,-0.010929491513220113,-0.012531910111317612
20260226,-0.021950028792089803,-0.01871180898438618
20260227,0.014000877373460112,-0.005903335243151445
20260302,0.015801483686423194,0.0019516911510414348
20260303,-0.01724947719123438,-0.008924209300811847
20260304,0.04539329197328089,0.06031539833414722
20260305,0.0568084920127782,0.05987399100275102
20260306,0.013073217608284119,0.01644283295608312
20260309,-0.007414503969189379,0.0005021059136979182
20260310,-0.01672993674386155,-0.03735915774730681
20260311,-0.021754926796157422,-0.02230463877309229
20260312,-0.037716619499735586,-0.03749359440662758
20260313,-0.05988870486342733,-0.06468924420982738
20260316,-0.10369243973829007,-0.10838657306535918
20260317,-0.018277790051539202,-0.008287578289583309
20260318,-0.03607467266618613,-0.049914572198181274
20260319,0.04993606768350785,0.04092940844917137
