hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,last_limit_up_days_min,last_limit_up_days_max,limit_up_count_10_max,picks_per_day,valid_folds,total_test_trades,avg_test_win_rate,median_test_win_rate,avg_test_day_win_rate,avg_test_return,avg_test_max_drawdown,avg_test_profit_factor,win_rate_std,score
3,0.03,0.06,0.55,2,4,1,1,1,4,0.75,0.75,0.75,0.033803628125510035,0.0,7.051614582077556,0.0,0.7680643537506121
3,0.03,0.08,0.55,2,4,1,1,1,4,0.75,0.75,0.75,0.033803628125510035,0.0,7.051614582077556,0.0,0.7680643537506121
3,0.03,0.1,0.55,2,4,1,1,1,4,0.75,0.75,0.75,0.033803628125510035,0.0,7.051614582077556,0.0,0.7680643537506121
3,0.04,0.06,0.55,2,4,1,1,1,4,0.75,0.75,0.75,0.033803628125510035,0.0,7.051614582077556,0.0,0.7680643537506121
3,0.04,0.08,0.55,2,4,1,1,1,4,0.75,0.75,0.75,0.033803628125510035,0.0,7.051614582077556,0.0,0.7680643537506121
3,0.04,0.1,0.55,2,4,1,1,1,4,0.75,0.75,0.75,0.033803628125510035,0.0,7.051614582077556,0.0,0.7680643537506121
2,0.03,0.08,0.6,2,4,1,2,4,21,0.6800595238095238,0.6458333333333333,0.85,0.030929145676406044,-0.006634364843499552,3.957183309571397,0.2054380016793719,0.7359105966104033
2,0.03,0.08,0.6,2,4,1,3,4,25,0.6666666666666666,0.6111111111111112,0.85,0.028925776333752845,-0.006605418730048079,3.718685593296952,0.20786985482077452,0.7272886929672356
2,0.04,0.08,0.6,2,4,1,2,3,16,0.6428571428571428,0.6666666666666666,0.8666666666666667,0.028028291901782965,-0.004637406375627077,5.487245875569386,0.16609880584489167,0.7224086046685205
3,0.04,0.08,0.55,2,4,1,3,2,9,0.6666666666666666,0.6666666666666666,0.75,0.020683680568991197,0.0,6.448791918894939,0.0,0.7148204166827894
2,0.04,0.08,0.6,2,4,1,3,3,19,0.6084656084656084,0.6666666666666666,0.8666666666666667,0.026202602077997794,-0.004598811557691744,4.640905924675336,0.11759846968726387,0.7086262446745504
3,0.03,0.06,0.7,2,4,1,2,4,38,0.646969696969697,0.6666666666666666,0.75,0.032146681043373676,-0.016013603616499533,4.805710663155462,0.12371469592228797,0.7078935727806491
2,0.04,0.1,0.6,2,4,1,2,4,19,0.6488095238095237,0.6666666666666666,0.775,0.02730970632879094,-0.003478054781720308,7.05567084043524,0.14421477904268712,0.7077813844116135
3,0.03,0.08,0.6,2,4,1,3,4,25,0.6041666666666666,0.6666666666666666,0.8,0.038269626761278194,-0.003985783171995189,56.65547325994656,0.16002386974726268,0.7045183485531133
3,0.04,0.08,0.6,2,4,1,3,3,19,0.6084656084656084,0.6666666666666666,0.7833333333333333,0.03422359946596331,-0.0053143775626602885,9.799269886718982,0.11759846968726387,0.701498906952846
2,0.04,0.1,0.55,2,4,1,3,3,12,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.016717510968593332,-0.004521621921821188,6.791582781521401,0.20786985482077452,0.7012221634793648
3,0.03,0.06,0.7,2,4,1,1,4,24,0.6625,0.625,0.6625,0.03949055474294774,-0.029434793944761173,9.13117740286979,0.1709349291397168,0.7008066960869885
2,0.04,0.1,0.6,2,4,1,3,4,22,0.6230158730158729,0.6666666666666666,0.775,0.02594043896095206,-0.0034491086682688077,6.420915877264703,0.10491511163811339,0.6976785676390439
