signal_date,ts_code,entry_date,exit_date,entry_price,exit_price,gross_ret,net_ret,hold_days
2026-03-02,600871.SH,2026-03-02,2026-03-05,3.5335299999999994,3.9860100000000003,0.1280532498662812,0.12643324986628118,3
2026-03-02,603619.SH,2026-03-02,2026-03-05,40.02999,43.64631,0.0903402673845286,0.08872026738452861,3
2026-03-03,600550.SH,2026-03-03,2026-03-06,17.48747,18.691290000000002,0.06883900301187107,0.06721900301187107,3
2026-03-03,002283.SZ,2026-03-03,2026-03-06,10.59058,10.19979,-0.036899773194669194,-0.03851977319466919,3
2026-03-03,002457.SZ,2026-03-03,2026-03-06,14.084069999999999,13.56642,-0.03675429048563361,-0.03837429048563361,3
2026-03-04,002008.SZ,2026-03-04,2026-03-09,69.86979999999998,67.70223,-0.031022988472845014,-0.03264298847284501,3
2026-03-04,600522.SH,2026-03-04,2026-03-09,28.078049999999998,27.1728,-0.03224048678594127,-0.033860486785941266,3
2026-03-04,002348.SZ,2026-03-04,2026-03-09,7.73773,8.601389999999999,0.11161671446276866,0.10999671446276867,3
2026-03-05,002655.SZ,2026-03-05,2026-03-10,16.97696,17.42256,0.0262473375680925,0.0246273375680925,3
2026-03-05,002756.SZ,2026-03-05,2026-03-10,64.70464,70.05986999999999,0.08276423452784831,0.08114423452784832,3
2026-03-06,605117.SH,2026-03-06,2026-03-11,119.47935999999999,131.74812,0.10268518344925859,0.10106518344925859,3
2026-03-09,605117.SH,2026-03-09,2026-03-12,116.10598999999998,135.85401000000002,0.1700861428424154,0.1684661428424154,3
2026-03-09,603393.SH,2026-03-09,2026-03-12,40.03999999999999,42.76719,0.06811163836163847,0.06649163836163847,3
2026-03-09,603738.SH,2026-03-09,2026-03-12,22.332309999999996,23.02695,0.03110470882770322,0.02948470882770322,3
2026-03-10,600149.SH,2026-03-10,2026-03-13,6.906899999999999,6.26373,-0.09311992355470611,-0.0947399235547061,3
2026-03-10,002357.SZ,2026-03-10,2026-03-13,15.925909999999998,15.684299999999999,-0.015170875635991843,-0.016790875635991843,3
2026-03-10,603530.SH,2026-03-10,2026-03-13,69.81975,66.31362,-0.05021687989429924,-0.051836879894299234,3
2026-03-11,603067.SH,2026-03-11,2026-03-16,44.044,36.32364,-0.1752874398328944,-0.17690743983289442,3
2026-03-11,002800.SZ,2026-03-11,2026-03-16,23.923899999999996,24.65532,0.03057277450582907,0.02895277450582907,3
2026-03-11,000833.SZ,2026-03-11,2026-03-16,25.025,27.552419999999998,0.10099580419580412,0.09937580419580412,3
2026-03-12,002986.SZ,2026-03-12,2026-03-17,17.017,15.294690000000001,-0.10121114179937696,-0.10283114179937695,3
2026-03-13,001339.SZ,2026-03-13,2026-03-18,71.22115,70.4295,-0.011115377946017246,-0.012735377946017246,3
2026-03-16,001339.SZ,2026-03-16,2026-03-19,72.01194,71.15877,-0.011847618603248233,-0.013467618603248233,3
2026-03-16,601869.SH,2026-03-16,2026-03-19,242.24199999999996,215.71407,-0.10951003541912618,-0.11113003541912618,3
2026-03-17,605117.SH,2026-03-17,2026-03-20,132.13199999999998,140.55929999999998,0.06377940241576607,0.06215940241576608,3
2026-03-18,000545.SZ,2026-03-18,2026-03-23,3.9139099999999996,3.18681,-0.18577330597790953,-0.18739330597790954,3
2026-03-18,000990.SZ,2026-03-18,2026-03-23,10.49048,9.76023,-0.06961073277867169,-0.07123073277867169,3
2026-03-18,002432.SZ,2026-03-18,2026-03-23,54.38432999999999,60.459480000000006,0.11170772904621629,0.11008772904621629,3
2026-03-19,000010.SZ,2026-03-19,2026-03-24,4.57457,4.44555,-0.028203743739848686,-0.029823743739848686,3
2026-03-19,000600.SZ,2026-03-19,2026-03-24,9.88988,9.630360000000001,-0.026240965512220438,-0.027860965512220438,3
2026-03-19,600313.SH,2026-03-19,2026-03-24,9.05905,7.52247,-0.16961822707679053,-0.17123822707679054,3
2026-03-20,603175.SH,2026-03-20,2026-03-25,93.62352999999999,88.2117,-0.057804165256319595,-0.05942416525631959,3
2026-03-20,603738.SH,2026-03-20,2026-03-25,24.514489999999995,25.35462,0.034270751706440006,0.03265075170644001,3
2026-03-23,000890.SZ,2026-03-23,2026-03-27,12.532519999999998,13.466520000000001,0.07452611286477118,0.07290611286477118,3
2026-03-23,600791.SH,2026-03-23,2026-03-27,8.918909999999999,9.77022,0.0954500045409139,0.0938300045409139,3
2026-03-23,601016.SH,2026-03-23,2026-03-27,4.314309999999999,4.92507,0.1415660905220073,0.1399460905220073,3
2026-03-24,600643.SH,2026-03-24,2026-03-31,5.11511,4.67532,-0.08597860065570428,-0.08759860065570428,3
2026-03-24,603098.SH,2026-03-24,2026-03-31,16.986969999999996,17.312669999999997,0.01917351946815704,0.01755351946815704,3
2026-03-24,002432.SZ,2026-03-24,2026-03-31,61.14107999999999,73.50641999999999,0.20224274742938797,0.20062274742938796,3
2026-03-25,605286.SH,2026-03-25,2026-04-01,49.32928,43.6563,-0.11500228667436452,-0.11662228667436451,3
