hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,days_min,days_max,limit_up_count_10_min,limit_up_count_10_max,picks_per_day,total_trades,total_signal_days,win_rate,day_win_rate,annual_return,sharpe_ratio,max_drawdown,total_return,avg_return,profit_factor,score
3,0.02,0.1,0.85,1,6,1,1,3,167,72,0.562874251497006,0.6527777777777778,95.63376635677838,6.235944299729855,-0.30104440101460894,6.625696457747667,0.02979067213330705,2.280949246037658,0.8911779797909598
3,0.01,0.08,0.85,1,6,1,2,3,166,72,0.5240963855421686,0.6527777777777778,193.42871199630395,6.139355848828779,-0.29614223964794506,9.40463486916194,0.029264458883509124,1.9803367886068843,0.8465873537588118
3,0.02,0.1,0.7000000000000001,1,6,1,1,2,130,72,0.5461538461538461,0.6111111111111112,79.65920724466056,5.681577934764929,-0.3193728283760878,6.037230158463552,0.031088720842091015,2.282665015276114,0.8462397560576578
3,0.01,0.08,0.85,2,6,1,2,3,159,70,0.5220125786163522,0.6714285714285714,143.1166065015008,6.156336064338326,-0.2961422396479454,7.930219444912181,0.027428554543161315,1.9227426592734027,0.8439041533194609
3,0.02,0.08,0.85,1,6,1,1,2,128,72,0.5546875,0.6111111111111112,93.95097057316873,5.626625151242359,-0.39074138871000763,6.566388314473889,0.03097978105481286,2.3227417909186956,0.8413840835504098
2,0.02,0.08,0.85,1,6,1,1,2,129,73,0.5658914728682171,0.6027397260273972,63.81416596981097,5.494381255084909,-0.37740106830703046,5.491959548016083,0.02876738078511845,2.3834355687820636,0.8402983718917808
3,0.02,0.1,0.85,2,6,1,1,3,162,70,0.5493827160493827,0.6428571428571429,45.54973170211091,5.67188214425779,-0.3010444010146086,4.428474554364186,0.02654916618798199,2.1229568822544302,0.8375964510875027
2,0.02,0.08,0.85,2,6,1,1,2,126,71,0.5634920634920635,0.6056338028169014,49.992536252118946,5.313509858308565,-0.3774010683070306,4.739734820092376,0.028076247230227697,2.3322061980942554,0.8258835075125174
2,0.02,0.1,0.85,1,6,1,1,2,131,73,0.5648854961832062,0.6027397260273972,42.04820101544825,5.400725412073895,-0.3774010683070307,4.403637087526173,0.027478320412109576,2.246538186533431,0.8223278079278217
3,0.02,0.08,0.85,2,6,1,1,2,125,70,0.552,0.6,60.49776827830869,5.380114011825504,-0.39074138871000763,5.1369128271412094,0.029913166933721622,2.2663468681694687,0.8190942338002142
3,0.02,0.1,0.85,1,6,1,2,3,160,72,0.5375,0.6388888888888888,115.99246514737553,5.426607209733176,-0.2822448784269358,7.30197240273956,0.031100445924472996,1.9911978805018924,0.8181296966245096
3,0.02,0.1,0.85,1,6,1,1,2,129,72,0.5503875968992248,0.5972222222222222,72.06588146258332,5.335203823236147,-0.3907413887100073,5.734690040735603,0.030118052975522034,2.2408908515637322,0.8137801664202334
3,0.02,0.1,0.7000000000000001,1,6,1,2,2,125,72,0.552,0.6388888888888888,82.9971784541819,4.954085982490003,-0.28737668343714107,6.165207216604143,0.0333395604196134,2.024419713453932,0.80570423704
3,0.02,0.08,0.85,1,6,1,2,3,159,72,0.5345911949685535,0.625,153.6127066202542,5.749134683928095,-0.3955369883883513,8.397186780483041,0.028308722494129423,1.9113026749940287,0.8054460713179405
3,0.02,0.1,0.8,1,6,1,1,3,157,72,0.535031847133758,0.5972222222222222,58.69795030090968,5.4259733262591165,-0.360049510826854,5.156236533231451,0.02856626566700944,2.0985413097347556,0.8021437227020867
2,0.02,0.1,0.85,2,6,1,1,2,128,71,0.5625,0.6056338028169014,27.516330930566216,5.022376386478551,-0.3774010683070307,3.4331077484384585,0.025505401432283255,2.1484008959679843,0.7923693156571728
2,0.02,0.1,0.85,1,6,1,1,3,169,73,0.5384615384615384,0.6027397260273972,27.725921951223143,5.200691832948091,-0.34996171349693317,3.507218048071767,0.023812688805744987,2.117866441071674,0.7892570814135887
3,0.02,0.08,0.7000000000000001,1,6,1,1,2,126,72,0.5476190476190477,0.5833333333333334,47.38389860721105,4.998454442377788,-0.30656453640803993,4.607327698607836,0.028569814786823335,2.1002014761326464,0.7888867704017237
3,0.02,0.08,0.85,2,6,1,2,3,153,70,0.5294117647058824,0.6285714285714286,95.64249016781126,5.526410349848458,-0.39553698838835116,6.48892165640924,0.02498925200873397,1.8002086952838405,0.7792642155468391
3,0.02,0.08,0.85,1,6,1,2,2,123,72,0.5365853658536586,0.6111111111111112,125.9612962507691,5.269070710467839,-0.40860498019547464,7.609244532782357,0.02845571920264698,1.9200254897584643,0.7781184800038239
3,0.01,0.08,0.7000000000000001,1,6,1,2,2,128,72,0.515625,0.625,70.73343552476662,5.157101310002572,-0.32823142815553097,5.679826299208034,0.028278590006563988,1.9326818610464387,0.777999728015026
3,0.02,0.08,0.85,2,6,1,2,2,119,70,0.5378151260504201,0.6142857142857143,106.58250496695587,5.307949194899078,-0.40860498019547464,6.85115990973255,0.027216462927987597,1.8705856593523718,0.7755338882532647
3,0.02,0.1,0.8,2,6,1,1,3,153,70,0.5294117647058824,0.5857142857142857,33.95188058192587,5.058165794294934,-0.360049510826854,3.7847805833562385,0.027031786194683848,2.0423254416085155,0.7718293403471557
3,0.02,0.1,0.8,1,6,1,1,2,124,72,0.532258064516129,0.5555555555555556,51.94879514550854,5.014243044818053,-0.394701542197488,4.836577528610881,0.029241447445874532,2.1521295143874175,0.7711726141923498
2,0.02,0.1,0.85,2,6,1,1,3,164,71,0.5426829268292683,0.6056338028169014,19.872277143617858,4.895153175958361,-0.34996171349693295,2.8590062434308376,0.022659636901754723,2.0442020232003255,0.7687694918228769
3,0.01,0.08,0.7000000000000001,1,6,1,1,2,128,72,0.5078125,0.5694444444444444,44.33597276228881,5.122014842691202,-0.311390294059524,4.447495267790713,0.026493927458207965,2.0385180188470504,0.7670423506536044
3,0.02,0.1,0.85,2,6,1,2,3,154,70,0.525974025974026,0.6285714285714286,58.68979286902537,4.95036620609146,-0.2822448784269357,5.056778594335798,0.026214308262781073,1.8137560720459003,0.7656033405836519
3,0.01,0.08,0.8,1,6,1,1,1,72,72,0.5277777777777778,0.5277777777777778,96.30589541633888,4.783180732174974,-0.5325409354335714,6.649224396694512,0.034669898851212584,2.420051880759812,0.7639186786498796
3,0.02,0.1,0.7000000000000001,2,6,1,1,2,126,70,0.5317460317460317,0.5714285714285714,29.578211678572867,4.825321903135957,-0.3193728283760878,3.5111644119650913,0.026492249543303308,2.049929633393565,0.762229656293663
3,0.01,0.08,0.7000000000000001,2,6,1,2,2,123,70,0.5040650406504065,0.6285714285714286,50.73290294326773,5.087713230174889,-0.3282314281555311,4.686872521082185,0.026036715233283488,1.8610518332797015,0.7617059830454018
3,0.02,0.1,0.85,2,6,1,1,2,126,70,0.5476190476190477,0.5857142857142857,32.605080704042415,4.716810837722847,-0.39074138871000763,3.7026757409480933,0.026508107804349177,2.0698844735465487,0.7597806853073796
3,0.01,0.08,0.85,1,6,1,1,3,167,72,0.5329341317365269,0.5972222222222222,36.96457549749515,5.0624157305176976,-0.4185470737689905,4.034380324297978,0.024416298699821867,1.9681019302683387,0.7594469483949723
3,0.02,0.08,0.7000000000000001,2,6,1,1,2,124,70,0.5403225806451613,0.5714285714285714,27.184339914734075,4.6661002756621155,-0.3065645364080398,3.352050657256041,0.0257401543469278,1.9990526903567796,0.7540378912782824
3,0.02,0.08,0.8,1,6,1,1,2,122,72,0.5327868852459017,0.5555555555555556,46.28451481502784,4.8827120163248345,-0.3947015421974882,4.550339231532615,0.02777448727831502,2.039079425717239,0.7535631437146444
2,0.02,0.1,0.85,1,6,1,1,1,73,73,0.5753424657534246,0.5753424657534246,47.70034307906544,4.536304832255363,-0.5467832144835301,4.710981943598424,0.028901902869306554,2.165769646898574,0.7517882846703163
3,0.02,0.1,0.7000000000000001,2,6,1,1,3,164,70,0.524390243902439,0.5857142857142857,26.187108947930973,4.809669151949214,-0.267335137418938,3.2835393629826566,0.02333233445202102,1.8994208020776395,0.7515400759409778
3,0.02,0.08,0.85,1,6,1,1,3,163,72,0.5337423312883436,0.5833333333333334,37.017193132843396,4.9080054197595455,-0.3588401958507821,4.0374802349079255,0.023536767741744482,1.9187138429345867,0.7504719723819379
3,0.01,0.08,0.85,1,6,1,1,2,129,72,0.5193798449612403,0.5833333333333334,43.40129935053459,4.829055406942536,-0.4280264105591415,4.397291291097487,0.026828726954492642,2.0516130730581357,0.7480470086742491
2,0.01,0.08,0.85,1,6,1,1,1,73,73,0.5616438356164384,0.5616438356164384,54.73011015436205,4.582481969995843,-0.5627832314190065,5.066928607073809,0.03004471834973314,2.1842330460340276,0.7464643250875184
2,0.01,0.08,0.8,1,6,1,1,1,73,73,0.547945205479452,0.547945205479452,54.88616898376754,4.622149876515088,-0.5770105239053169,5.074540806950319,0.029919632710698568,2.2413582612119,0.7422187244817601
3,0.02,0.1,0.85,1,6,1,2,2,126,72,0.5238095238095238,0.5972222222222222,61.04531886523125,4.623024562354302,-0.31761219031266663,5.262670531716943,0.027655230394821678,1.8371548145316308,0.7403223611143231
3,0.02,0.08,0.7000000000000001,2,6,1,1,3,157,70,0.5414012738853503,0.5571428571428572,23.976910484802836,4.709188525687404,-0.33625869650022944,3.1265064689391693,0.023692644997938148,1.913404098652744,0.7395659019333238
3,0.02,0.08,0.7000000000000001,1,6,1,2,2,125,72,0.512,0.6111111111111112,61.21272403113037,4.822329945523267,-0.41460042221514026,5.270174858220482,0.02772982585527291,1.856987099566403,0.739095931136346
3,0.01,0.08,0.85,2,6,1,1,2,126,70,0.5238095238095238,0.5714285714285714,31.136729860993583,4.61479440862604,-0.4280264105591416,3.611034376289834,0.02670849854498519,2.048767299875778,0.7357216353526975
3,0.01,0.08,0.85,1,6,1,1,1,72,72,0.5277777777777778,0.5277777777777778,74.49058539129291,4.533947004897146,-0.5689882250734329,5.833119551604613,0.0332099007611772,2.3053097020283766,0.7357139460956369
3,0.01,0.08,0.85,1,6,1,2,2,126,72,0.5,0.6111111111111112,89.28290880282138,5.018813557176378,-0.4527880180980567,6.398744312569873,0.02604663348463663,1.829860443831598,0.7348426791983127
3,0.02,0.08,0.8,1,6,1,1,3,151,72,0.5165562913907285,0.5416666666666666,40.32987493813016,4.885127690482017,-0.3989288638814572,4.228048358341147,0.025853509694106953,1.9670561067064853,0.7345688571589633
2,0.01,0.08,0.85,2,6,1,1,1,71,71,0.5633802816901409,0.5633802816901409,42.798467841658415,4.413157426164424,-0.5627832314190065,4.364599403969907,0.029002884991179877,2.124194764103964,0.732760975251619
2,0.02,0.08,0.85,2,6,1,2,2,120,71,0.5166666666666667,0.5774647887323944,65.9409598290114,5.033604717127275,-0.4625392241240859,5.477667291673938,0.023989851292022513,1.8675016610168413,0.7325933026306198
2,0.02,0.08,0.85,1,6,1,2,2,124,73,0.5080645161290323,0.5753424657534246,69.82584374575157,4.997327411081924,-0.4625392241240859,5.755375249147135,0.024543195003641487,1.9057946320199584,0.730701449616234
2,0.02,0.08,0.85,1,6,1,1,1,73,73,0.5616438356164384,0.5616438356164384,44.567872518718495,4.399351140120735,-0.54678321448353,4.543239550849891,0.02875464767534343,2.1014757430974638,0.7306720953795104
3,0.01,0.08,0.85,2,6,1,2,2,122,70,0.5,0.6142857142857143,73.90454979180029,5.028947198366544,-0.4527880180980568,5.693853913611713,0.024693375898554002,1.7783190110453442,0.7299898110494475
3,0.01,0.08,0.85,2,6,1,2,1,70,70,0.5571428571428572,0.5571428571428572,51.75021407825105,4.231817784932636,-0.49722159572892,4.735862956240937,0.031794303308622915,2.080578472557439,0.728204887669548
2,0.01,0.08,0.8,2,6,1,1,1,71,71,0.5492957746478874,0.5492957746478874,42.92221157277526,4.451574052928347,-0.5770105239053168,4.37133038855292,0.028874275813017554,2.178791871567189,0.7279944567438077
3,0.02,0.08,0.7000000000000001,1,6,1,1,3,160,72,0.53125,0.5555555555555556,29.30653653425073,4.6218960081315705,-0.3362586965002293,3.5547084333576064,0.023275523223932833,1.855358600489859,0.725474618590528
3,0.02,0.1,0.7000000000000001,2,6,1,2,2,121,70,0.5371900826446281,0.6142857142857143,29.3841376978926,4.172380835647163,-0.28737668343714107,3.4985304570788625,0.025753950346037474,1.7662750774869929,0.7225142331171966
3,0.01,0.08,0.8,2,6,1,1,1,70,70,0.5142857142857142,0.5142857142857142,56.695900556180796,4.4429370070552325,-0.5325409354335715,4.966812918289585,0.03166938103739557,2.261120994658993,0.7209214035152601
3,0.02,0.08,0.7000000000000001,2,6,1,2,3,159,70,0.5220125786163522,0.6142857142857143,32.61341312211175,4.72883522247851,-0.3619828561922358,3.7031893154559263,0.021693823416688993,1.660321755976745,0.7207467540019997
3,0.01,0.08,0.7000000000000001,2,6,1,1,2,125,70,0.496,0.5571428571428572,20.987793125024396,4.569468175567457,-0.3113902940595241,2.9012075558238983,0.02391110197183105,1.951039575356861,0.7207421067632397
3,0.01,0.08,0.85,2,6,1,1,3,164,70,0.524390243902439,0.6,17.86906420449275,4.516151586381532,-0.4185470737689905,2.6470159237483677,0.022395964642722595,1.8953315527621306,0.7205584992128277
3,0.02,0.1,0.85,2,6,1,2,2,122,70,0.5245901639344263,0.6,41.01413425278802,4.426089997686225,-0.31761219031266674,4.188801175725146,0.02474623647842582,1.7481680533239785,0.7199999016041186
3,0.02,0.08,0.7000000000000001,1,6,1,2,3,164,72,0.524390243902439,0.6111111111111112,38.36861922885681,4.620285829323655,-0.39508677971402784,4.116295700432729,0.023464154201581582,1.7101364593418207,0.7181449012889709
2,0.01,0.08,0.85,2,6,1,1,2,128,71,0.5390625,0.6056338028169014,15.038558455439887,4.197596361514446,-0.4117953820660879,2.432646143033167,0.022704192403651055,1.9565740198248334,0.7180800331234803
3,0.02,0.08,0.7000000000000001,2,6,1,2,2,121,70,0.5041322314049587,0.6142857142857143,41.78688942509127,4.658653977786678,-0.4146004222151404,4.2306243244800665,0.02490181453030765,1.7669688569093494,0.7171151997051385
2,0.02,0.1,0.8,1,6,1,1,3,159,73,0.5220125786163522,0.5753424657534246,17.584365448286487,4.295629627236506,-0.4518634501969008,2.7076775850664596,0.024369113983864227,2.0823100445820204,0.7163369897654522
3,0.02,0.08,0.8,2,6,1,1,3,149,70,0.5167785234899329,0.5428571428571428,23.863906708052454,4.586032421970461,-0.3989288638814571,3.1182724879770367,0.02448120858587226,1.9463998610251678,0.7162896543038288
3,0.02,0.1,0.7000000000000001,1,6,1,1,3,169,72,0.5207100591715976,0.5694444444444444,31.540120007410735,4.706544770063992,-0.3961118710229353,3.700957111794774,0.02175888430970673,1.7917205487624017,0.7144149191257498
3,0.02,0.08,0.85,2,6,1,1,3,159,70,0.5220125786163522,0.5857142857142857,20.212217424503677,4.460940818187175,-0.3588401958507823,2.8399854468609718,0.02141051206631748,1.8359103989103527,0.7142084202946817
3,0.01,0.08,0.85,1,6,1,2,1,72,72,0.5555555555555556,0.5555555555555556,46.57434579991447,4.107220657901784,-0.5167912192573952,4.565433954668181,0.0305036299251781,2.0465555553852575,0.7139370870139007
2,0.01,0.08,0.85,1,6,1,1,2,131,73,0.5267175572519084,0.6027397260273972,16.561018754068307,4.23957882644785,-0.4117953820660879,2.61469694698331,0.022441964726055683,1.9429680196710015,0.7130358385448382
2,0.02,0.1,0.8,1,6,1,2,1,73,73,0.5342465753424658,0.5342465753424658,45.850138541738374,4.270554786448461,-0.5789115761984729,4.612650166757837,0.029366780273894395,2.1420632042787164,0.7067338509043479
3,0.02,0.08,0.8,2,6,1,1,2,120,70,0.5166666666666667,0.5428571428571428,24.173632775833944,4.401799192533289,-0.3947015421974882,3.14079099148893,0.02470688128991445,1.9295606839720592,0.7065319035965547
3,0.02,0.1,0.8,1,6,1,2,2,125,72,0.512,0.5694444444444444,39.5601748225229,4.205690893104366,-0.34945384567288273,4.184549559925846,0.028419934446676214,1.8170714243528312,0.7035068099038243
3,0.02,0.08,0.85,2,7,1,2,2,124,70,0.5161290322580645,0.6,21.83738155724304,4.245645973597222,-0.33520994902455126,2.966900888563891,0.02234119476162813,1.7416425345221052,0.7013519126043515
2,0.02,0.1,0.8,2,6,1,1,3,155,71,0.5225806451612903,0.5774647887323944,13.592212051954183,4.072907582590936,-0.4518634501969011,2.291449300264062,0.02371546821818817,2.035096589604566,0.7012011498491808
2,0.02,0.1,0.7000000000000001,1,6,1,1,2,132,73,0.5454545454545454,0.547945205479452,14.603336042621024,4.120356078693083,-0.40021212801437356,2.428102997523709,0.02196928612318386,1.9342111232001542,0.7008512871653986
2,0.02,0.1,0.8,1,6,1,1,1,73,73,0.547945205479452,0.547945205479452,32.377581698753744,4.177879775024601,-0.5823632791596853,3.820993079901629,0.026456723646346082,2.072307123057732,0.7006444341278493
2,0.01,0.08,0.85,2,6,1,2,1,71,71,0.5211267605633803,0.5211267605633803,48.375049116670645,4.328684173099921,-0.5818338340901681,4.658092173368455,0.030429412483282507,2.1140638590903427,0.7001157703825243
3,0.02,0.1,0.8,2,6,1,1,2,121,70,0.5206611570247934,0.5285714285714286,21.174359934300824,4.260467447140122,-0.3947015421974881,2.9157536576359018,0.024794391535609066,1.944754028446001,0.6988384168251758
2,0.02,0.1,0.85,2,7,1,1,3,167,71,0.5449101796407185,0.5633802816901409,11.1276893762306,4.131474679436284,-0.30105033972727946,2.03165055040236,0.01845376835662595,1.7593733564391847,0.6976873565334369
2,0.02,0.1,0.8,1,6,1,1,2,126,73,0.5396825396825397,0.5616438356164384,15.580755357262134,4.06249792836736,-0.4616871536181216,2.5227843661945495,0.023363910522457346,1.981919276867747,0.6976058206944247
2,0.02,0.1,0.85,1,6,1,2,3,161,73,0.484472049689441,0.6027397260273972,28.6204417457882,4.411333464924475,-0.3751680901540867,3.5696225554527086,0.022468161034520547,1.7981790801664552,0.6975768217754562
2,0.02,0.08,0.85,2,6,1,1,1,71,71,0.5633802816901409,0.5633802816901409,26.806596377549564,3.9951563219284667,-0.5467832144835301,3.383726808573516,0.025998785626608543,1.973133186507552,0.6971898468175084
2,0.02,0.08,0.8,1,6,1,2,1,73,73,0.5205479452054794,0.5205479452054794,47.92588894483754,4.266446705247799,-0.5789115761984728,4.722827018055111,0.029846903548589904,2.113052277353102,0.6960236480132679
2,0.01,0.08,0.85,1,6,1,2,1,73,73,0.5205479452054794,0.5205479452054794,47.69272430879659,4.283119547286527,-0.5818338340901681,4.7105812980824755,0.029731232760767702,2.1075485019067055,0.6958928109507558
3,0.02,0.1,0.8,1,6,1,2,3,156,72,0.4935897435897436,0.5555555555555556,38.25484114691177,4.3496184110363085,-0.30290683618595515,4.109718659003138,0.025454567821321487,1.7345968090090587,0.6944064829869941
3,0.01,0.08,0.85,2,6,1,1,1,70,70,0.5142857142857142,0.5142857142857142,43.658628944060986,4.186792107789527,-0.5689882250734328,4.330206554059322,0.03016766871621631,2.1527981796680735,0.6928220901141491
3,0.02,0.1,0.85,2,7,1,1,3,165,70,0.5151515151515151,0.5714285714285714,14.741358274349574,4.276213193377913,-0.29147574079039584,2.367197495243928,0.018678150703906597,1.7095840722629088,0.6925352715286897
2,0.02,0.08,0.85,1,6,1,2,1,73,73,0.5205479452054794,0.5205479452054794,44.72786746165874,4.235781297969563,-0.578911576198473,4.551958598747089,0.029305079579979725,2.094350962580327,0.6921815365146188
2,0.01,0.08,0.85,2,6,1,2,2,123,71,0.4878048780487805,0.5492957746478874,54.822620143968656,4.894720199394101,-0.5154768174701623,4.975305253493367,0.022114201042658904,1.7906633213079048,0.6917490540233904
3,0.02,0.1,0.8,1,6,1,2,1,72,72,0.5555555555555556,0.5555555555555556,33.916053780697645,3.8543703205505806,-0.5020107123885769,3.850527344429711,0.028544550017801047,1.9263674980660284,0.6905145665239949
2,0.02,0.08,0.85,1,6,1,1,3,166,73,0.5120481927710844,0.6027397260273972,13.726223231028815,4.1097183112005995,-0.3907292369641221,2.3403117981283184,0.01926784774179115,1.8233570955544354,0.68887295499666
3,0.01,0.08,0.8,1,6,1,1,2,125,72,0.496,0.5416666666666666,27.450055694853653,4.386832155246676,-0.44842704993839433,3.428525654096095,0.024949325423466777,1.9012362504446598,0.688869916607166
2,0.01,0.08,0.85,1,6,1,2,2,127,73,0.48031496062992124,0.547945205479452,56.63622183688096,4.832493002736381,-0.5154768174701623,5.159113710064752,0.02262292030295859,1.8225060326978146,0.6886145807324942
3,0.02,0.1,0.7000000000000001,1,6,1,2,3,160,72,0.5125,0.5694444444444444,27.895499566015367,4.041892431365937,-0.3441495001294822,3.4592094311293433,0.025902462980839404,1.767178909340261,0.68838579988235
