hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,days_min,days_max,limit_up_count_10_min,limit_up_count_10_max,picks_per_day,total_trades,total_signal_days,win_rate,day_win_rate,annual_return,sharpe_ratio,max_drawdown,total_return,avg_return,profit_factor,score
3,0.03,0.08,0.6,2,4,1,1,2,22,15,0.5909090909090909,0.7333333333333333,53007.59840227068,11.702956508524597,-0.026813019254387283,0.868844147185545,0.038975174927395814,6.057715409151051,1.3000899952037668
3,0.03,0.08,0.6,2,4,1,1,3,27,15,0.5925925925925926,0.7333333333333333,39147.94161516295,11.431587565334677,-0.02681301925438717,0.8358638372308669,0.034610112347089245,5.775364754938626,1.2806473548472117
2,0.03,0.08,0.6,2,4,1,1,2,22,15,0.6818181818181818,0.8,21768.25404102603,9.894599384639719,-0.05465801128448988,0.7650208035285098,0.03774822900923846,5.282674208164652,1.2575206241189776
2,0.03,0.1,0.6,2,4,1,1,2,23,15,0.6521739130434783,0.8,4630.548007574612,10.130853489396697,-0.05465801128448999,0.6226520252453951,0.0358238465907039,5.111019586861201,1.2545890482191433
3,0.03,0.1,0.6,2,4,1,1,3,28,15,0.6071428571428571,0.7333333333333333,11182.691807630352,10.736874677240678,-0.02681301925438717,0.708563153257626,0.03210488932049177,4.8767749334618395,1.2479739817227213
3,0.03,0.1,0.6,2,4,1,1,2,23,15,0.5652173913043478,0.7333333333333333,14367.88623465896,10.894856519748627,-0.02681301925438706,0.733371978775786,0.03530016472463156,4.774823867908676,1.2438958006189247
3,0.03,0.08,0.6,2,4,1,1,4,31,15,0.5806451612903226,0.7333333333333333,20944.10254698545,10.799623629583733,-0.02681301925438717,0.7692103860336508,0.028499369115326047,4.530931013088573,1.2351040706911118
2,0.03,0.08,0.6,2,4,1,1,3,27,15,0.6666666666666666,0.8,10606.575370237404,9.283269124269268,-0.05465801128448999,0.692215240786825,0.03141911831838208,4.67331450090104,1.2113998390035643
3,0.03,0.1,0.6,2,4,1,1,4,32,15,0.59375,0.7333333333333333,5753.754877056719,10.039862008422393,-0.02681301925438706,0.6428402235318702,0.02632656237678183,3.8861171852846703,1.1990987150090993
2,0.03,0.1,0.6,2,4,1,1,3,28,15,0.6071428571428571,0.8,2152.6293357952864,9.40738243907623,-0.05465801128448999,0.5516114107044607,0.029785809799042853,4.466765650026714,1.1913460181553799
5,0.03,0.1,0.6,2,4,1,1,3,28,15,0.4642857142857143,0.7333333333333333,17719.32327820402,10.24566997370868,-0.030763359840427995,0.7486101988762404,0.035551751478218596,3.6827384543696073,1.1709671417695295
2,0.03,0.08,0.6,2,4,1,1,4,31,15,0.6129032258064516,0.8,5392.545751726776,8.591926969871635,-0.05465801128448999,0.6254102300389417,0.025157876762105225,3.3761726957965,1.1459354926051815
2,0.03,0.1,0.6,2,4,1,1,4,32,15,0.59375,0.8,1171.8796441526486,8.756184294936649,-0.05465801128448999,0.4971308061188633,0.024401440645381252,3.3859930988036435,1.1453524143607654
4,0.03,0.1,0.6,2,4,1,1,3,28,15,0.5357142857142857,0.6666666666666666,9775.913399594561,9.562518905267419,-0.03442649494909411,0.687665461496989,0.03060556062118561,3.901627758854067,1.140855487753639
4,0.03,0.08,0.6,2,4,1,1,3,27,15,0.5185185185185185,0.6666666666666666,62515.76598450966,9.629439860790258,-0.03442649494909411,0.8664362975768323,0.03280400875485627,4.544356406652038,1.1406209008519799
5,0.03,0.08,0.6,2,4,1,1,3,27,15,0.4444444444444444,0.6666666666666666,116794.44924645993,9.702162199786134,-0.030763359840428106,0.9310989185931404,0.036695493522831545,3.961869844107865,1.1209041915371472
4,0.03,0.08,0.6,2,4,1,1,2,22,15,0.5,0.6,64222.35653854609,9.388253661009442,-0.03442649494909411,0.8657954604574123,0.03565911333693003,4.745446109509293,1.1087701736619757
5,0.03,0.08,0.6,2,4,1,1,2,22,15,0.45454545454545453,0.6,121675.62506709904,9.336703778114526,-0.030326533538663325,0.9293428573238061,0.03935572219954833,4.077846984061971,1.0940477699985909
5,0.03,0.1,0.6,2,4,1,1,2,23,15,0.43478260869565216,0.6,14746.672272532514,9.331907407157326,-0.030326533538663325,0.7229649729259942,0.03603314087832683,3.6031205498433287,1.0809189411289777
4,0.03,0.1,0.6,2,4,1,1,2,23,15,0.4782608695652174,0.6,8924.820828868844,9.046135791287233,-0.03442649494909411,0.6747257339915704,0.03190689507598682,3.8214869742654423,1.0773403006105373
4,0.03,0.08,0.6,2,4,1,1,4,31,15,0.45161290322580644,0.6666666666666666,31371.09332369688,9.099068136665228,-0.03442649494909411,0.7925129572702965,0.025774459832671112,3.3738146158156352,1.076795745145366
4,0.03,0.1,0.6,2,4,1,1,4,32,15,0.46875,0.6666666666666666,4835.176280857655,8.98808462747457,-0.03442649494909411,0.6198895129210171,0.024227085149741465,3.0562731467224102,1.0757803463711162
