date,symbol,buy_price,sell_price_t2,sell_price_t3,sell_price_t4,sell_price_t5,return_t2,return_t3,return_t4,return_t5
20250903,000506,10.41,10.02,10.42,11.03,10.59,-0.03746397694524501,0.0009606147934677989,0.05955811719500473,0.017291066282420723
20250903,000407,3.82,3.74,3.8,3.71,3.74,-0.020942408376963255,-0.005235602094240842,-0.028795811518324575,-0.020942408376963255
20250903,000068,3.83,3.78,3.77,3.7,3.72,-0.013054830287206335,-0.015665796344647532,-0.03394255874673626,-0.028720626631853752
20250903,000518,2.35,2.39,2.38,2.38,2.36,0.017021276595744695,0.012765957446808427,0.012765957446808427,0.004255319148936079
20250903,000056,2.77,2.89,2.79,2.78,3.01,0.04332129963898921,0.007220216606498201,0.0036101083032490204,0.08664259927797825
20250904,000428,3.85,3.82,3.78,3.87,3.81,-0.007792207792207856,-0.018181818181818254,0.005194805194805199,-0.010389610389610398
20250904,000518,2.36,2.38,2.38,2.36,2.35,0.00847457627118645,0.00847457627118645,0.0,-0.00423728813559313
20250904,000035,4.59,4.8,4.74,4.74,5.21,0.0457516339869281,0.03267973856209158,0.03267973856209158,0.13507625272331159
20250904,000006,7.37,7.62,7.45,7.53,7.58,0.033921302578018994,0.010854816824966088,0.021709633649932177,0.028493894165535952
20250904,000068,3.76,3.77,3.7,3.72,3.71,0.002659574468085168,-0.015957446808510536,-0.010638297872340318,-0.013297872340425485
20250905,000049,26.29,26.84,25.66,25.68,25.88,0.020920502092050236,-0.023963484214530203,-0.02320273868391021,-0.015595283377710161
20250905,000006,7.8,7.45,7.53,7.58,7.65,-0.04487179487179483,-0.03461538461538456,-0.028205128205128174,-0.019230769230769162
20250905,000009,10.44,11.2,10.98,10.97,11.38,0.07279693486590037,0.05172413793103457,0.050766283524904324,0.09003831417624533
20250905,000056,2.87,2.78,3.01,2.91,2.9,-0.031358885017421706,0.04878048780487793,0.013937282229965169,0.010452961672473799
20250905,000035,4.66,4.74,4.74,5.21,4.94,0.01716738197424894,0.01716738197424894,0.11802575107296133,0.06008583690987129
20250908,000009,11.19,10.98,10.97,11.38,10.91,-0.0187667560321715,-0.01966041108132251,0.01697944593386964,-0.02502234137622872
20250908,000049,26.11,25.66,25.68,25.88,26.75,-0.017234775947912652,-0.016468785905783215,-0.008808885484488719,0.024511681348142498
