date,symbol,buy_price,sell_price_t2,sell_price_t3,sell_price_t4,sell_price_t5,return_t2,return_t3,return_t4,return_t5
2026-02-05,002985.SZ,45.98,43.68,42.78,43.15,42.35,-0.05002174858634183,-0.0695954762940408,-0.061548499347542376,-0.07894736842105254
2026-02-05,605016.SH,26.53,26.2,24.85,24.6,25.17,-0.012438748586505911,-0.06332453825857519,-0.07274783264229173,-0.051262721447417996
2026-02-05,002193.SZ,7.01,7.04,7.21,7.06,7.0,0.004279600570613445,0.028530670470756088,0.007132667617688991,-0.0014265335235377728
2026-02-05,600054.SH,14.19,13.63,13.14,13.11,13.17,-0.03946441155743472,-0.0739957716701902,-0.07610993657505286,-0.07188160676532766
2026-02-05,605599.SH,26.1,26.87,25.41,24.6,24.83,0.02950191570881224,-0.02643678160919545,-0.05747126436781609,-0.04865900383141774
2026-02-06,002506.SZ,5.02,5.26,5.47,5.18,4.65,0.04780876494023909,0.08964143426294825,0.0318725099601594,-0.07370517928286838
2026-02-06,603629.SH,48.0,51.53,55.98,60.38,59.41,0.07354166666666669,0.16624999999999993,0.25791666666666674,0.23770833333333327
2026-02-06,600983.SH,12.7,12.48,12.43,12.33,12.23,-0.017322834645669204,-0.021259842519685008,-0.029133858267716476,-0.03700787401574794
2026-02-06,603618.SH,14.67,14.23,14.29,14.52,15.3,-0.02999318336741646,-0.0259032038173143,-0.010224948875255649,0.04294478527607367
2026-02-06,603271.SH,51.49,48.0,47.22,47.67,47.0,-0.06778015148572542,-0.0829287240240824,-0.07418916294426102,-0.0872013983297728
2026-02-09,002218.SZ,7.85,7.55,7.17,6.77,7.02,-0.03821656050955412,-0.08662420382165602,-0.13757961783439493,-0.10573248407643314
2026-02-09,600683.SH,6.4,6.91,6.89,6.81,7.07,0.07968749999999997,0.0765624999999999,0.06406249999999988,0.10468749999999999
2026-02-09,601015.SH,5.04,4.69,4.68,4.51,4.7,-0.06944444444444438,-0.0714285714285715,-0.1051587301587302,-0.06746031746031743
2026-02-09,002372.SZ,12.42,12.46,12.57,12.28,12.12,0.0032206119162641648,0.012077294685990368,-0.011272141706924362,-0.024154589371980735
2026-02-09,603150.SH,54.85,58.85,63.27,63.32,60.61,0.07292616226071102,0.15350957155879674,0.15442114858705558,0.10501367365542384
2026-02-10,603058.SH,13.53,13.47,12.92,13.06,12.64,-0.0044345898004433644,-0.04508499630450846,-0.03473762010347368,-0.06577974870657789
2026-02-10,002491.SZ,9.51,9.4,10.24,9.77,9.88,-0.01156677181913769,0.07676130389064148,0.027339642481598297,0.03890641430073617
2026-02-10,002323.SZ,2.29,2.53,2.36,2.31,2.44,0.10480349344978156,0.03056768558951958,0.00873362445414848,0.0655021834061135
2026-02-10,601599.SH,5.59,4.7,4.68,4.39,4.48,-0.15921288014311266,-0.16279069767441864,-0.21466905187835425,-0.19856887298747755
2026-02-10,603618.SH,14.28,14.52,15.3,15.96,15.66,0.016806722689075647,0.07142857142857152,0.11764705882352952,0.09663865546218493
2026-02-11,603618.SH,15.01,15.3,15.96,15.66,,0.01932045303131252,0.0632911392405064,0.04330446369087278,
2026-02-11,603980.SH,8.4,8.06,7.89,8.46,8.68,-0.04047619047619046,-0.06071428571428579,0.007142857142857202,0.03333333333333326
2026-02-11,603922.SH,21.78,22.15,21.8,22.09,22.16,0.01698806244260778,0.0009182736455463532,0.014233241505968719,0.017447199265381037
2026-02-11,600987.SH,8.59,8.35,8.1,8.46,8.72,-0.02793946449359723,-0.05704307334109432,-0.01513387660069837,0.015133876600698579
2026-02-11,600814.SH,9.0,8.72,8.51,8.57,8.49,-0.03111111111111104,-0.05444444444444447,-0.047777777777777745,-0.05666666666666664
2026-02-12,603968.SH,15.48,15.8,16.33,16.24,15.89,0.020671834625323016,0.05490956072351407,0.04909560723514199,0.026485788113695098
2026-02-12,002323.SZ,2.68,2.31,2.44,2.31,2.49,-0.13805970149253735,-0.08955223880597023,-0.13805970149253735,-0.07089552238805968
2026-02-12,002455.SZ,14.14,14.07,14.75,14.2,13.69,-0.0049504950495049705,0.043140028288543096,0.004243281471004153,-0.031824611032531896
2026-02-12,002957.SZ,31.0,28.4,27.48,28.08,28.13,-0.08387096774193553,-0.11354838709677419,-0.09419354838709683,-0.09258064516129036
2026-02-12,002985.SZ,43.65,43.66,43.44,,,0.00022909507445585363,-0.0048109965635739025,,
2026-02-13,601015.SH,4.54,4.9,,,,0.0792951541850221,,,
2026-02-13,002931.SZ,90.86,83.0,,,,-0.08650671362535768,,,
2026-02-13,002169.SZ,15.38,15.57,16.17,15.91,,0.012353706111833517,0.05136540962288692,0.034460338101430385,
2026-02-13,600410.SH,26.0,24.12,25.23,28.4,,-0.07230769230769227,-0.0296153846153846,0.09230769230769226,
2026-02-13,603968.SH,16.08,16.33,16.24,15.89,,0.015547263681592042,0.009950248756218916,-0.01181592039800981,
2026-02-24,002342.SZ,14.81,15.9,,,,0.07359891964888587,,,
2026-02-24,603616.SH,7.4,,,,,,,,
2026-02-24,002969.SZ,28.8,24.42,22.52,,,-0.1520833333333333,-0.21805555555555559,,
2026-02-24,601015.SH,4.84,,,,,,,,
2026-02-24,601599.SH,4.52,4.41,4.31,,,-0.024336283185840586,-0.04646017699115044,,
2026-02-25,002348.SZ,7.57,7.94,,,,0.048877146631439904,,,
2026-02-25,002342.SZ,16.09,,,,,,,,
2026-02-25,002498.SZ,8.15,8.32,,,,0.020858895705521463,,,
2026-02-25,603968.SH,16.55,15.89,,,,-0.039879154078549854,,,
2026-02-26,002323.SZ,2.4,,,,,,,,
2026-02-26,000890.SZ,7.83,,,,,,,,
2026-02-26,600397.SH,19.75,,,,,,,,
2026-02-26,002491.SZ,10.12,,,,,,,,
2026-02-26,603950.SH,42.0,,,,,,,,
