date,symbol,buy_price,sell_price_t2,sell_price_t3,sell_price_t4,sell_price_t5,return_t2,return_t3,return_t4,return_t5
20250901,600010,2.72,2.56,2.44,2.48,2.46,-0.058823529411764754,-0.10294117647058831,-0.08823529411764713,-0.09558823529411772
20250901,601933,5.39,5.21,5.32,5.21,5.2,-0.03339517625231906,-0.012987012987012875,-0.03339517625231906,-0.0352504638218923
20250901,601818,3.72,3.74,3.75,3.71,3.66,0.00537634408602151,0.008064516129032206,-0.0026881720430108145,-0.01612903225806453
20250901,600518,2.11,2.05,2.03,2.03,2.04,-0.028436018957345998,-0.037914691943128,-0.037914691943128,-0.03317535545023689
20250901,601169,6.08,6.09,6.13,6.06,5.98,0.0016447368421052282,0.008223684210526286,-0.003289473684210602,-0.01644736842105257
20250902,601099,4.7,4.79,4.71,4.76,4.67,0.019148936170212735,0.0021276595744680396,0.012765957446808427,-0.006382978723404308
20250902,600010,2.65,2.44,2.48,2.46,2.44,-0.0792452830188679,-0.06415094339622639,-0.07169811320754715,-0.0792452830188679
20250902,601929,5.03,4.98,5.45,5.47,5.8,-0.009940357852882668,0.0834990059642147,0.08747514910536769,0.15308151093439354
20250902,600157,1.48,1.42,1.44,1.44,1.44,-0.04054054054054058,-0.027027027027027053,-0.027027027027027053,-0.027027027027027053
20250902,601398,7.57,7.54,7.44,7.4,7.43,-0.0039630118890357,-0.017173051519154544,-0.022457067371202104,-0.01849405548216652
20250903,600010,2.54,2.48,2.46,2.44,2.43,-0.02362204724409451,-0.03149606299212601,-0.039370078740157514,-0.04330708661417318
20250903,601099,4.39,4.71,4.76,4.67,4.8,0.07289293849658321,0.08428246013667429,0.06378132118451031,0.0933940774487472
20250903,600157,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0
20250903,601929,5.4,5.45,5.47,5.8,5.81,0.009259259259259226,0.01296296296296285,0.07407407407407397,0.07592592592592579
20250903,000564,2.59,2.7,2.63,2.71,2.78,0.042471042471042594,0.015444015444015458,0.04633204633204638,0.07335907335907334
20250904,601099,4.8,4.76,4.67,4.8,5.01,-0.008333333333333342,-0.027083333333333313,0.0,0.04375
20250904,600010,2.43,2.46,2.44,2.43,2.48,0.012345679012345599,0.0041152263374484715,0.0,0.020576131687242726
20250904,000564,2.65,2.63,2.71,2.78,2.76,-0.007547169811320762,0.022641509433962283,0.04905660377358487,0.04150943396226411
20250904,601288,7.45,7.26,7.31,7.29,7.28,-0.025503355704698038,-0.018791946308724907,-0.021476510067114114,-0.022818791946308713
20250904,601398,7.52,7.4,7.43,7.47,7.51,-0.015957446808510536,-0.011968085106382961,-0.006648936170212743,-0.001329787234042525
20250905,601099,4.66,4.67,4.8,5.01,4.92,0.00214592274678107,0.030042918454935553,0.07510729613733898,0.05579399141630897
20250905,601929,5.33,5.8,5.81,5.77,6.25,0.08818011257035642,0.09005628517823631,0.0825515947467166,0.17260787992495308
20250905,600010,2.48,2.44,2.43,2.48,2.52,-0.01612903225806453,-0.020161290322580575,0.0,0.01612903225806453
20250905,000564,2.65,2.71,2.78,2.76,2.72,0.022641509433962283,0.04905660377358487,0.04150943396226411,0.02641509433962275
20250905,601288,7.23,7.31,7.29,7.28,7.24,0.011065006915629208,0.008298755186721938,0.006915629322268302,0.0013831258644536356
20250908,600050,5.61,5.76,5.77,5.68,5.58,0.026737967914438405,0.02852049910873427,0.012477718360071192,-0.0053475935828877445
20250908,601929,5.5,5.81,5.77,6.25,6.14,0.05636363636363629,0.04909090909090901,0.13636363636363635,0.11636363636363631
20250908,601099,4.69,4.8,5.01,4.92,4.92,0.023454157782515868,0.06823027718550093,0.04904051172707879,0.04904051172707879
20250908,600010,2.45,2.43,2.48,2.52,2.51,-0.008163265306122455,0.012244897959183593,0.028571428571428505,0.024489795918367186
20250908,600601,9.16,9.34,10.27,11.3,11.93,0.01965065502183403,0.12117903930130998,0.23362445414847166,0.3024017467248908
20250909,600010,2.42,2.48,2.52,2.51,2.5,0.024793388429752088,0.04132231404958681,0.037190082644628045,0.03305785123966945
20250909,601929,5.58,5.77,6.25,6.14,5.87,0.034050179211469446,0.1200716845878136,0.10035842293906803,0.05197132616487456
20250909,600050,5.55,5.77,5.68,5.58,5.58,0.039639639639639596,0.023423423423423406,0.005405405405405451,0.005405405405405451
20250909,601216,5.4,5.36,5.33,5.28,5.29,-0.007407407407407414,-0.012962962962963015,-0.02222222222222224,-0.020370370370370428
20250909,601099,4.63,5.01,4.92,4.92,5.11,0.08207343412526996,0.06263498920086394,0.06263498920086394,0.10367170626349902
20250910,600050,5.68,5.68,5.58,5.58,5.62,0.0,-0.01760563380281684,-0.01760563380281684,-0.010563380281690073
20250910,601929,5.81,6.25,6.14,5.87,5.41,0.07573149741824448,0.05679862306368332,0.010327022375215232,-0.06884681583476755
20250910,601099,4.74,4.92,4.92,5.11,5.1,0.037974683544303736,0.037974683544303736,0.07805907172995782,0.07594936708860747
20250910,600010,2.43,2.52,2.51,2.5,2.48,0.03703703703703698,0.03292181069958832,0.02880658436213985,0.020576131687242726
20250910,000564,2.74,2.72,2.66,2.93,2.96,-0.0072992700729927066,-0.029197080291970826,0.06934306569343063,0.08029197080291961
20250911,601099,4.94,4.92,5.11,5.1,4.86,-0.00404858299595151,0.03441295546558703,0.032388663967611184,-0.016194331983805682
20250911,600050,5.75,5.58,5.58,5.62,5.47,-0.029565217391304334,-0.029565217391304334,-0.022608695652173893,-0.048695652173913084
20250911,600010,2.48,2.51,2.5,2.48,2.41,0.012096774193548309,0.008064516129032265,0.0,-0.02822580645161284
20250911,600157,1.45,1.53,1.56,1.55,1.71,0.055172413793103496,0.07586206896551731,0.06896551724137938,0.17931034482758623
20250911,601929,5.81,6.14,5.87,5.41,5.02,0.05679862306368332,0.010327022375215232,-0.06884681583476755,-0.1359724612736661
20250912,600010,2.52,2.5,2.48,2.41,2.38,-0.007936507936507943,-0.015873015873015886,-0.0436507936507936,-0.0555555555555556
20250912,600157,1.49,1.56,1.55,1.71,1.69,0.046979865771812124,0.040268456375838965,0.14765100671140938,0.13422818791946306
20250912,601929,6.08,5.87,5.41,5.02,4.78,-0.03453947368421052,-0.11019736842105261,-0.17434210526315796,-0.21381578947368418
20250912,601099,4.91,5.11,5.1,4.86,4.67,0.04073319755600818,0.03869653767820764,-0.010183299389002,-0.048879837067209816
20250912,600050,5.66,5.58,5.62,5.47,5.42,-0.01413427561837457,-0.007067137809187285,-0.03356890459363964,-0.04240282685512371
20250915,600157,1.54,1.55,1.71,1.69,1.62,0.006493506493506499,0.11038961038961034,0.09740259740259734,0.05194805194805199
20250915,600518,2.18,2.17,2.17,2.08,2.07,-0.0045871559633028575,-0.0045871559633028575,-0.04587155963302756,-0.05045871559633042
20250915,600103,4.5,4.54,4.85,4.37,3.93,0.008888888888888898,0.0777777777777777,-0.028888888888888867,-0.12666666666666662
20250915,600010,2.51,2.48,2.41,2.38,2.38,-0.011952191235059684,-0.039840637450199064,-0.051792828685258925,-0.051792828685258925
20250915,601929,5.9,5.41,5.02,4.78,4.3,-0.08305084745762716,-0.14915254237288147,-0.18983050847457628,-0.27118644067796616
20250916,600157,1.56,1.71,1.69,1.62,1.72,0.09615384615384609,0.08333333333333326,0.03846153846153849,0.1025641025641025
20250916,600221,1.68,1.73,1.66,1.64,1.6,0.029761904761904788,-0.011904761904761916,-0.023809523809523832,-0.04761904761904753
20250916,600016,4.13,4.03,4.05,4.04,4.09,-0.024213075060532604,-0.01937046004842617,-0.021791767554479386,-0.009685230024213084
20250916,600010,2.46,2.41,2.38,2.38,2.3,-0.020325203252032447,-0.032520325203252064,-0.032520325203252064,-0.06504065040650413
20250916,601099,5.06,4.86,4.67,4.72,4.53,-0.039525691699604605,-0.07707509881422919,-0.06719367588932804,-0.10474308300395245
20250917,600170,3.54,3.49,3.25,3.5,3.25,-0.014124293785310684,-0.08192090395480227,-0.011299435028248598,-0.08192090395480227
20250917,000564,2.96,2.76,2.73,2.63,2.63,-0.06756756756756763,-0.0777027027027027,-0.11148648648648651,-0.11148648648648651
20250917,600221,1.7,1.66,1.64,1.6,1.6,-0.023529411764705903,-0.03529411764705886,-0.05882352941176463,-0.05882352941176463
20250917,600157,1.58,1.69,1.62,1.72,1.66,0.06962025316455688,0.025316455696202552,0.08860759493670879,0.050632911392404965
20250917,601099,5.02,4.67,4.72,4.53,4.57,-0.06972111553784854,-0.05976095617529877,-0.09760956175298792,-0.08964143426294807
20250918,600170,3.66,3.25,3.5,3.25,3.09,-0.11202185792349731,-0.043715846994535554,-0.11202185792349731,-0.15573770491803285
20250918,600157,1.78,1.62,1.72,1.66,1.61,-0.08988764044943816,-0.03370786516853935,-0.0674157303370787,-0.09550561797752805
20250918,600221,1.72,1.64,1.6,1.6,1.58,-0.046511627906976785,-0.06976744186046505,-0.06976744186046505,-0.08139534883720925
20250918,600010,2.41,2.38,2.3,2.31,2.31,-0.01244813278008309,-0.045643153526971084,-0.04149377593360999,-0.04149377593360999
20250918,601099,4.82,4.72,4.53,4.57,4.51,-0.02074688796680509,-0.06016597510373444,-0.051867219917012444,-0.06431535269709554
20250919,600157,1.65,1.72,1.66,1.61,1.61,0.04242424242424246,0.006060606060606067,-0.02424242424242413,-0.02424242424242413
20250919,600221,1.65,1.6,1.6,1.58,1.59,-0.030303030303030196,-0.030303030303030196,-0.04242424242424233,-0.036363636363636265
20250919,600170,3.15,3.5,3.25,3.09,2.96,0.11111111111111115,0.03174603174603177,-0.019047619047619067,-0.060317460317460304
20250919,601929,4.5,3.88,3.91,3.73,3.55,-0.1377777777777778,-0.13111111111111107,-0.1711111111111111,-0.21111111111111114
20250919,600010,2.38,2.3,2.31,2.31,2.28,-0.033613445378151294,-0.029411764705882287,-0.029411764705882287,-0.042016806722689114
20250922,600157,1.63,1.66,1.61,1.61,1.62,0.01840490797546014,-0.012269938650306624,-0.012269938650306624,-0.006134969325153244
20250922,600170,3.13,3.25,3.09,2.96,2.99,0.03833865814696489,-0.012779552715654964,-0.05431309904153352,-0.04472843450479223
20250922,600010,2.37,2.31,2.31,2.28,2.34,-0.025316455696202552,-0.025316455696202552,-0.037974683544303924,-0.01265822784810137
20250922,600221,1.63,1.6,1.58,1.59,1.6,-0.018404907975460003,-0.030674846625766763,-0.024539877300613383,-0.018404907975460003
20250922,601288,6.44,6.57,6.61,6.62,6.62,0.02018633540372669,0.026397515527950298,0.027950310559006167,0.027950310559006167
20250923,600157,1.68,1.61,1.61,1.62,1.63,-0.041666666666666574,-0.041666666666666574,-0.035714285714285615,-0.029761904761904788
20250923,600170,3.35,3.09,2.96,2.99,2.95,-0.07761194029850753,-0.11641791044776123,-0.10746268656716414,-0.11940298507462684
20250923,600010,2.3,2.31,2.28,2.34,2.38,0.004347826086956622,-0.008695652173913052,0.017391304347826105,0.03478260869565221
20250923,601288,6.62,6.61,6.62,6.62,6.67,-0.001510574018126856,0.0,0.0,0.007552870090634414
20250923,601398,7.39,7.38,7.41,7.33,7.3,-0.0013531799729363718,0.0027063599458728637,-0.008119079837618351,-0.012178619756427585
20250924,600157,1.65,1.61,1.62,1.63,1.7,-0.02424242424242413,-0.018181818181818063,-0.012121212121212133,0.03030303030303033
20250924,600170,3.18,2.96,2.99,2.95,3.09,-0.06918238993710697,-0.059748427672955955,-0.07232704402515722,-0.028301886792452925
20250924,601727,9.0,9.44,9.26,9.44,10.38,0.048888888888888836,0.028888888888888867,0.048888888888888836,0.15333333333333343
