profile,metric,count,mean,std,min,p10,p25,median,p75,p90,max
loose,score_total,1529,32.90419419965625,41.00416710392126,0.0,0.0,0.0,0.0,79.36986301369862,93.00893847222699,100.0
loose,score_axis_strength,1529,34.38238059202679,43.576100035749086,0.0,0.0,0.0,0.0,77.92744489223082,100.0,100.0
loose,score_axis_industry,1529,26.688147112082312,38.80784985321387,0.0,0.0,0.0,0.0,60.0,100.0,100.0
loose,score_axis_chip,1529,37.702715198477996,46.47489106502452,0.0,0.0,0.0,0.0,95.10581178729973,100.0,100.0
loose,score_axis_strength_share_of_total,617,1.0466357505733137,0.19778518644198076,0.21183167194624133,0.835332802723322,0.96345045247675,1.0418008794003724,1.152977292519984,1.296766322388835,1.5065769032077492
loose,score_axis_industry_share_of_total,617,0.7775682188232013,0.372086570014582,0.0,0.0,0.5938421205242441,0.8707124010554089,1.0183659101360454,1.1409089764349714,1.6642650251712319
loose,score_axis_chip_share_of_total,617,1.1829737863801937,0.28285739357447043,0.4827586206896552,0.9570011025358324,1.0031743442413492,1.1267605633802817,1.3146113649096023,1.5318870949616477,2.9704592799487184
neutral,score_total,1529,27.36285201845013,39.89073098063286,0.0,0.0,0.0,0.0,75.7745746148355,90.21770128952245,100.0
neutral,score_axis_strength,1529,29.607868822897174,43.23219739165118,0.0,0.0,0.0,0.0,75.0,100.0,100.0
neutral,score_axis_industry,1529,23.11658490989387,37.67157953568773,0.0,0.0,0.0,0.0,60.0,100.0,100.0
neutral,score_axis_chip,1529,28.417342300712985,41.79084352874014,0.0,0.0,0.0,0.0,87.03640362410651,96.62161825048264,100.0
neutral,score_axis_strength_share_of_total,498,1.0921797802782376,0.16225739851386833,0.6951338362037421,0.8748809683902928,1.0024994516271233,1.073296867369344,1.1726060714178357,1.3220519362742074,1.7391605779284363
neutral,score_axis_industry_share_of_total,498,0.8180053232886706,0.33251901204398043,0.0,0.31355368118855614,0.695909815807636,0.9195942871146059,1.0307931934509806,1.1325475804068947,1.591084983953157
neutral,score_axis_chip_share_of_total,498,1.0524700075527675,0.22328167634608728,0.4827586206896552,0.8058603591695103,0.9354992816992771,1.0408291713766569,1.1665876280899912,1.3426779321720015,2.005257705705908
strict,score_total,1529,19.410671823204286,35.638743941447224,0.0,0.0,0.0,0.0,0.0,86.03784024646019,100.0
strict,score_axis_strength,1529,21.710946134243418,39.819972830938966,0.0,0.0,0.0,0.0,0.0,100.0,100.0
strict,score_axis_industry,1529,17.46867524304516,34.4896509269279,0.0,0.0,0.0,0.0,0.0,90.6170752324599,100.0
strict,score_axis_chip,1529,17.6005739595248,33.149641485977654,0.0,0.0,0.0,0.0,0.0,78.3161666699034,100.0
strict,score_axis_strength_share_of_total,355,1.1291080346817717,0.15082925244881518,0.8450704225352113,0.9518637017436722,1.0460258393021518,1.1106107136534715,1.2052980902660426,1.3118661424667313,1.8170064606212701
strict,score_axis_industry_share_of_total,355,0.8798888326686812,0.2985175206782857,0.0,0.5077361304730661,0.730791234357814,0.9715133619703394,1.0718268139438507,1.1717709720372838,1.4024629275930667
strict,score_axis_chip_share_of_total,355,0.9117389383703937,0.22123790256834383,0.1039405368592009,0.5965681008878861,0.8115942028985506,0.9218106995884778,1.0496039244893665,1.1545417381892011,1.5215983444430174
