symbol,name,date,score,open,close,high,low,profit_pct,max_drawdown,max_profit,volume
603949,雪龙集团,2026-03-19,97.8,23.74,24.2,24.2,23.15,1.9376579612468445,-2.4852569502948603,1.9376579612468445,12343389.0
603817,海峡环保,2026-03-19,97.6,8.58,9.07,9.13,8.5,5.710955710955713,-0.9324009324009332,6.410256410256418,83044105.0
000890,法尔胜,2026-03-19,97.1,13.4,14.0,14.27,13.1,4.477611940298504,-2.238805970149259,6.4925373134328295,98823777.0
000020,深华发Ａ,2026-03-19,95.0,21.21,21.21,21.21,21.21,0.0,0.0,0.0,3249082.0
600396,华电辽能,2026-03-19,95.0,5.24,5.69,5.69,5.19,8.587786259541987,-0.9541984732824393,8.587786259541987,184248993.0
000020,深华发Ａ,2026-03-20,97.5,23.33,23.33,23.33,23.33,0.0,0.0,0.0,5263959.0
600396,华电辽能,2026-03-20,97.5,6.1,6.26,6.26,5.58,2.6229508196721336,-8.52459016393442,2.6229508196721336,393730382.0
002730,电光科技,2026-03-20,97.5,21.63,22.96,23.25,21.41,6.148867313915867,-1.0171058714747983,7.4895977808599214,36097844.0
000601,韶能股份,2026-03-20,95.0,8.13,8.14,8.14,8.0,0.12300123001229749,-1.5990159901599112,0.12300123001229749,125402068.0
600726,华电能源,2026-03-20,95.0,5.05,5.52,5.52,5.02,9.306930693069303,-0.594059405940599,9.306930693069303,550095225.0
603105,芯能科技,2026-03-23,98.0,11.28,12.74,12.74,11.1,12.943262411347526,-1.5957446808510614,12.943262411347526,106966325.0
600396,华电辽能,2026-03-23,97.5,6.65,6.89,6.89,6.6,3.6090225563909675,-0.7518796992481309,3.6090225563909675,168323803.0
603687,大胜达,2026-03-23,97.5,14.73,14.73,14.73,13.11,0.0,-10.997963340122206,0.0,167097257.0
600310,广西能源,2026-03-23,96.7,4.59,5.08,5.36,4.53,10.675381263616563,-1.3071895424836517,16.775599128540318,264172555.0
600032,浙江新能,2026-03-23,95.5,9.53,10.76,10.76,9.45,12.906610703043029,-0.8394543546694656,12.906610703043029,164813643.0
600982,宁波能源,2026-03-24,98.0,5.44,6.27,6.27,5.42,15.257352941176455,-0.3676470588235379,15.257352941176455,180855712.0
600396,华电辽能,2026-03-24,97.5,6.9,7.58,7.58,6.89,9.85507246376811,-0.14492753623189383,9.85507246376811,236729297.0
000862,银星能源,2026-03-24,97.2,8.48,9.01,9.3,8.18,6.249999999999992,-3.537735849056612,9.66981132075472,183617283.0
600310,广西能源,2026-03-24,97.2,4.92,5.17,5.32,4.75,5.08130081300813,-3.455284552845527,8.130081300813014,223034136.0
603105,芯能科技,2026-03-24,96.9,12.62,13.36,13.99,11.78,5.863708399366088,-6.656101426307448,10.85578446909668,123189888.0
600815,厦工股份,2026-03-25,98.0,3.9,4.29,4.29,3.81,10.000000000000004,-2.307692307692304,10.000000000000004,184509465.0
600982,宁波能源,2026-03-25,98.0,6.3,6.9,6.9,6.3,9.523809523809533,0.0,9.523809523809533,250157934.0
600396,华电辽能,2026-03-25,97.5,8.01,8.34,8.34,8.01,4.119850187265919,0.0,4.119850187265919,99893232.0
600032,浙江新能,2026-03-25,97.5,11.65,13.02,13.02,11.4,11.759656652360508,-2.1459227467811157,11.759656652360508,171721469.0
600310,广西能源,2026-03-25,97.4,5.02,5.45,5.65,4.99,8.565737051792842,-0.5976095617529754,12.549800796812766,236347200.0
