trade_date,window,stock_code,stock_name,ts_code,path_source,priority_tag,f32_tier,score_total,score_platform_axis_single,score_industry_axis_single,score_chip_axis_single,f_platform_compress_ratio,label_A_high,label_A_mid,label_A_low,label_C,label_G,ret_t1_close,ret_t2_close,ret_t3_close,buy_date,signal_triggered,signal_type,signal_time,signal_price,signal_reason,non_trigger_reason
20251013,confirm,603969.SH,银龙股份,603969.SH,B,0,supplement,0.7596440835677918,0.5976074614760746,0.2742183742183742,0.899729380253071,0.4803493449781659,0,0,0,1,0,-0.0201096892138938,-0.026508226691042,-0.0493601462522851,20251014,1,pullback_confirm,2025-10-13 13:05:00,10.58,"pullback_reclaim_support(support=10.515,drawdown=0.750%)",
20251016,confirm,600179.SH,安通控股,600179.SH,A,0,supplement,0.801281785031785,0.6167477696674777,0.5372655122655123,0.59745645506244,0.5384615384615381,1,0,0,0,0,0.0439024390243905,0.1487804878048781,0.1243902439024391,20251017,0,,,,,no_v1_1_pattern_triggered
20251021,confirm,605228.SH,神通科技,605228.SH,B,0,supplement,0.6895699827797048,0.5443633414436334,0.7669432419432419,0.8082308298517775,0.4958677685950414,0,0,0,0,1,0.0057894736842105,-0.0405263157894736,-0.0526315789473684,20251022,1,pullback_confirm,2025-10-21 11:30:00,18.30225628,"pullback_reclaim_support(support=18.209,drawdown=0.704%)",
20251023,confirm,603699.SH,纽威股份,603699.SH,A,0,supplement,0.815976430976431,0.6050790754257908,0.3961159211159211,0.4246107134760501,0.4165477888730386,1,0,0,0,0,-0.0176600441501103,0.0805739514348786,0.1501103752759383,20251024,0,,,,,no_v1_1_pattern_triggered
20251027,confirm,605358.SH,立昂微,605358.SH,B,0,supplement,0.7356565308307668,0.645478507704785,0.681120731120731,0.7835136125535128,0.3559042113955407,0,0,0,0,1,0.0579582230067665,0.0638423065607529,0.0556045895851722,20251028,1,pullback_confirm,2025-10-27 13:35:00,33.95,"pullback_reclaim_support(support=33.732,drawdown=1.566%)",
20251107,confirm,600125.SH,铁龙物流,600125.SH,B,0,supplement,0.6964630560894555,0.6742295214922952,0.1098605098605098,0.6762521306162204,0.5333333333333327,0,0,0,0,1,-0.0030075187969925,0.0090225563909773,0.0165413533834586,20251110,1,pullback_confirm,2025-11-07 14:20:00,6.58089159,"pullback_reclaim_support(support=6.568,drawdown=0.897%)",
20251110,confirm,600510.SH,黑牡丹,600510.SH,B,0,supplement,0.7695151994938887,0.6585766423357663,0.5116161616161616,0.8235317130454287,0.4395604395604391,1,0,0,0,0,0.0655737704918031,0.0437158469945355,0.0918032786885245,20251111,0,,,,,no_v1_1_pattern_triggered
20251111,confirm,600343.SH,航天动力,600343.SH,B,0,supplement,0.7416057716517425,0.6338503649635037,0.4731842231842232,0.8229592984829893,0.5020242914979753,0,0,0,0,1,0.0453709380748008,0.0324954015941141,0.0177805027590436,20251112,1,pullback_confirm,2025-11-11 13:40:00,16.65,"pullback_reclaim_support(support=16.587,drawdown=2.059%)",
20251118,confirm,601360.SH,三六零,601360.SH,A,1,strict_f3,0.8365632515632517,0.6245640713706406,0.5549182299182299,0.8424767086612472,0.425824175824176,0,0,0,1,0,-0.0194244604316546,-0.0640287769784173,-0.0928057553956834,20251119,0,,,,,no_v1_1_pattern_triggered
20251120,confirm,600734.SH,实达集团,600734.SH,A,1,strict_f3,0.8375060125060126,0.5898925385239254,0.5727633477633478,0.6889163454998867,0.5135135135135135,1,0,0,0,0,0.0221238938053098,0.1238938053097347,0.2367256637168142,20251121,0,,,,,no_v1_1_pattern_triggered
20251124,confirm,600151.SH,航天机电,600151.SH,A,1,supplement,0.8663503113503114,0.6677514193025141,0.6438191438191437,0.6941366281266532,0.4545454545454543,0,0,0,1,0,0.0168918918918916,-0.0292792792792794,-0.0484234234234235,20251125,1,range_break_confirm,2025-11-24 13:05:00,8.9,"range_break_v11(path=A,width=0.795%,vol_ratio=1.84)",
20251126,confirm,603778.SH,国晟科技,603778.SH,A,1,strict_f3,0.8468278018278019,0.5247668288726682,0.4821669071669071,0.938025391067785,0.4475138121546959,1,0,0,0,0,0.0343473994111873,0.1373895976447499,0.251226692836114,20251127,0,,,,,no_v1_1_pattern_triggered
20251128,confirm,600678.SH,四川金顶,600678.SH,B,0,supplement,0.7103484187826161,0.6618410381184103,0.4747234247234247,0.7374003663280472,0.3376623376623374,0,0,1,0,0,-0.0287206266318538,0.0113141862489121,-0.0382941688424717,20251201,0,,,,,no_v1_1_pattern_triggered
20251202,confirm,000825.SZ,太钢不锈,000825.SZ,B,0,supplement,0.7328611262445064,0.6491889699918897,0.299013949013949,0.8307814578512832,0.5185185185185186,0,0,0,0,1,-0.0090702947845805,-0.0272108843537415,-0.0090702947845805,20251203,0,,,,,no_v1_1_pattern_triggered
20251204,confirm,600118.SH,中国卫星,600118.SH,B,0,supplement,0.7809631359079546,0.6442923763179237,0.3612674362674363,0.8962657269764501,0.4076858813700921,0,1,0,0,0,0.0463504440112627,0.0608620316222654,0.0543643058262941,20251205,0,,,,,no_v1_1_pattern_triggered
20251208,confirm,603660.SH,苏州科达,603660.SH,B,0,supplement,0.7047700137204433,0.6109590429845904,0.3982202982202982,0.7220717866229088,0.449392712550608,0,0,0,0,1,-0.0078277886497064,0.0107632093933462,-0.00293542074364,20251209,1,pullback_confirm,2025-12-08 14:20:00,10.15,"pullback_reclaim_support(support=10.136,drawdown=2.404%)",
20251209,confirm,600601.SH,方正科技,600601.SH,B,0,supplement,0.7231784340346648,0.6596411192214111,0.8093674843674845,0.8122374319132424,0.391304347826087,0,0,0,0,1,-0.0074196207749382,0.032151690024732,0.0263808738664466,20251210,1,pullback_confirm,2025-12-09 15:00:00,12.29,"pullback_reclaim_support(support=12.274,drawdown=2.460%)",
20251222,confirm,600711.SH,盛屯矿业,600711.SH,A,1,supplement,0.8657540413790413,0.6557988645579886,0.7954545454545454,0.8784608644334331,0.4051724137931034,0,0,1,0,0,0.030942334739803,0.0218002812939521,0.0028129395218001,20251223,1,pullback_confirm,2025-12-22 13:10:00,14.13,"pullback_reclaim_support(support=14.109,drawdown=1.050%)",
