group,baseline_sample_n,tagged_prod_sample_n,delta_sample_n,baseline_trigger_n,tagged_prod_trigger_n,delta_trigger_n,baseline_trigger_rate,tagged_prod_trigger_rate,delta_trigger_rate,baseline_pullback_confirm_n,tagged_prod_pullback_confirm_n,delta_pullback_confirm_n,baseline_breakout_confirm_n,tagged_prod_breakout_confirm_n,delta_breakout_confirm_n,baseline_range_break_confirm_n,tagged_prod_range_break_confirm_n,delta_range_break_confirm_n,baseline_mean_ret_t1,tagged_prod_mean_ret_t1,delta_mean_ret_t1,baseline_median_ret_t1,tagged_prod_median_ret_t1,delta_median_ret_t1,baseline_win_t1,tagged_prod_win_t1,delta_win_t1,baseline_mean_ret_t2,tagged_prod_mean_ret_t2,delta_mean_ret_t2,baseline_median_ret_t2,tagged_prod_median_ret_t2,delta_median_ret_t2,baseline_win_t2,tagged_prod_win_t2,delta_win_t2,baseline_mean_ret_t3,tagged_prod_mean_ret_t3,delta_mean_ret_t3,baseline_median_ret_t3,tagged_prod_median_ret_t3,delta_median_ret_t3,baseline_win_t3,tagged_prod_win_t3,delta_win_t3
all,223,223,0.0,40,33,-7.0,0.17937219730941703,0.14798206278026907,-0.03139013452914796,33,30,-3.0,1,1,0.0,6,2,-4.0,0.005410856961812113,0.0072994342976147025,0.0018885773358025895,0.0014297584306095,0.0015624999999999,0.00013274156939039987,0.525,0.5454545454545454,0.020454545454545392,0.004735459247894558,0.008448038196141719,0.0037125789482471607,-0.0011392096502347,0.0038880248833592,0.0050272345335939,0.475,0.5151515151515151,0.04015151515151516,0.0033666703574289428,0.00701474952894471,0.003648079171515767,6.929633979329999e-05,0.0028129395218001,0.0027436431820068,0.5,0.5151515151515151,0.015151515151515138
quality_tag_0,141,141,0.0,28,21,-7.0,0.19858156028368795,0.14893617021276595,-0.049645390070922,23,20,-3.0,1,1,0.0,4,0,-4.0,0.005265145445264331,0.008184339324581048,0.002919193879316717,0.00064850843060955,0.0012970168612191,0.00064850843060955,0.5,0.5238095238095238,0.023809523809523836,0.0010925271963858293,0.005712269145509412,0.004619741949123582,-0.00499161550704865,-0.004774897680764,0.00021671782628465003,0.39285714285714285,0.42857142857142855,0.0357142857142857,-0.0005929658623021487,0.003819851238740839,0.004412817101042988,-0.00703124999999995,-0.0062499999999999,0.0007812500000000501,0.4642857142857143,0.47619047619047616,0.011904761904761862
quality_tag_1,82,82,0.0,12,12,0.0,0.14634146341463414,0.14634146341463414,0.0,10,10,0.0,0,0,0.0,2,2,0.0,0.0057508505004236,0.0057508505004236,0.0,0.005064516704740049,0.005064516704740049,0.0,0.5833333333333334,0.5833333333333334,0.0,0.013235634034748258,0.013235634034748258,0.0,0.0133816046966731,0.0133816046966731,0.0,0.6666666666666666,0.6666666666666666,0.0,0.012605821536801488,0.012605821536801488,0.0,0.01611369008816815,0.01611369008816815,0.0,0.5833333333333334,0.5833333333333334,0.0
