layer,total_A,recall_count_A,recall_rate_A,total_A_high,recall_count_A_high,recall_rate_A_high,miss_count_A_high,miss_rate_A_high
core_pool,3817,102,0.026722556981922975,1260,45,0.03571428571428571,1215,0.9642857142857143
priority_tag,3817,5,0.0013099292638197536,1260,2,0.0015873015873015873,1258,0.9984126984126984
strict_pool,3817,4,0.001047943411055803,1260,2,0.0015873015873015873,1258,0.9984126984126984
F3,3817,3,0.0007859575582918522,1260,2,0.0015873015873015873,1258,0.9984126984126984
