factor,A_high_n,A_high_median,A_high_mean,selected_C_median,selected_G_median,A_low_median,A_mid_median,A_high_minus_C,A_high_minus_G,A_high_minus_A_low,cliff_Ah_vs_C,cliff_Ah_vs_G,cliff_Ah_vs_Alow,abs_sep_score
f_ind_peer_strong_count,17,13.0,11.882352941176471,12.0,11.5,13.0,10.0,1.0,1.5,0.0,-0.11350455675227837,-0.06951871657754011,-0.17647058823529413,2.5
score_platform_axis_single,17,0.5272551329518681,0.5144138436256359,0.6045775833052844,0.6747391450690003,0.6921070346684618,0.6716425445977785,-0.07732245035341634,-0.14748401211713225,-0.1648519017165937,-0.10687655343827672,-0.35,-0.5709342560553633,0.3896583641871423
score_industry_axis_single,17,0.4892046356564534,0.4806610292950328,0.6169630100015875,0.6062271789172885,0.6000952532147961,0.6047487696459756,-0.1277583743451341,-0.11702254326083511,-0.11089061755834267,-0.22866611433305717,-0.20320855614973263,-0.2041522491349481,0.3556715351643119
score_trend_axis_single,17,0.8991938838274007,0.8377488102803176,0.8609222737117866,0.770769078752342,0.7896755269317557,0.7797193369029849,0.038271610115614085,0.1284248050750587,0.10951835689564504,0.30737365368682684,0.4946524064171123,0.5778546712802768,0.27621477208631784
f_platform_compress_ratio,17,0.5412991178829191,0.5198743554685226,0.4816955684007706,0.4758162330750761,0.39250225835591723,0.39609475032010255,0.059603549482148466,0.06548288480784298,0.14879685952700183,0.053852526926263466,0.2,0.4602076124567474,0.2738832938169933
score_total,17,0.837809969836482,0.811369965850361,0.7762823381722039,0.767655794866126,0.756366226033584,0.7361397593883547,0.061527631664278104,0.07015417497035603,0.08144374380289798,0.20298260149130073,0.2967914438502674,0.5017301038062284,0.21312555043753212
f_strength_rs20_xsec_q,17,0.955547391623806,0.9291732838945496,0.9310850439882697,0.874456464389548,0.8951997068523269,0.8762396447609317,0.02446234763553623,0.08109092723425793,0.060347684771479115,0.260149130074565,0.5026737967914439,0.5986159169550173,0.16590095964127327
score_chip_axis_single,17,0.730651860839589,0.7488172604873033,0.7412432699067879,0.7820526103916722,0.6867610278275463,0.7688143979770032,-0.01059140906719891,-0.05140074955208318,0.04389083301204266,-0.03188405797101449,-0.0033333333333333335,0.23333333333333334,0.10588299163132475
f_chip_winner_rate,17,0.9664943614181133,0.9566500303937493,0.9843768154116065,0.9921083118211714,0.9720620756044324,0.9686083036013834,-0.017882453993493197,-0.02561395040305814,-0.005567714186319073,-0.13587406793703397,-0.2620320855614973,-0.058823529411764705,0.04906411858287041
