scope,scenario,selected_n,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t2,win_t2
all,C2A,636,0.04663348179198323,0.05476190476190476,0.2987012987012987,0.4386792452830189,0.004632358700187716,0.5015723270440252
all,C2A+ECH2,835,0.06025674613570867,0.06587301587301587,0.27483443708609273,0.444311377245509,0.003911224985536145,0.49221556886227547
all,C2A+ECH2_Q1,787,0.05737490175530521,0.06428571428571428,0.2852112676056338,0.4409148665819568,0.003884345835378196,0.49174078780177893
all,C2A+ECH2_Q2,726,0.054231071522137804,0.06190476190476191,0.29770992366412213,0.44352617079889806,0.0045581649304428104,0.4986225895316804
main_window,C2A,161,0.033660589060308554,0.0398406374501992,0.2777777777777778,0.5403726708074534,0.001472436257138843,0.484472049689441
main_window,C2A+ECH2,247,0.05119214586255259,0.055776892430278883,0.25925925925925924,0.5303643724696356,0.0012799654630300098,0.4777327935222672
main_window,C2A+ECH2_Q1,222,0.0455820476858345,0.05179282868525897,0.2653061224489796,0.5315315315315315,0.0009457288300843366,0.4774774774774775
main_window,C2A+ECH2_Q2,197,0.04067321178120617,0.049800796812749,0.28735632183908044,0.5329949238578681,0.0021543178916648203,0.4873096446700508
confirm_window,C2A,170,0.059113300492610835,0.07608695652173914,0.3559322033898305,0.4176470588235294,0.009244276840019367,0.5647058823529412
confirm_window,C2A+ECH2,200,0.06403940886699508,0.07608695652173914,0.2916666666666667,0.425,0.007851079057532873,0.555
confirm_window,C2A+ECH2_Q1,190,0.06280788177339902,0.07608695652173914,0.3088235294117647,0.42105263157894735,0.00771610767847859,0.5473684210526316
confirm_window,C2A+ECH2_Q2,183,0.0603448275862069,0.07608695652173914,0.328125,0.41530054644808745,0.008085191544507658,0.5519125683060109
