candidate,note,selected_n,recall_count_A,recall_rate_A,recall_count_A_high,recall_rate_A_high,A_high_over_C,mean_ret_t1,mean_ret_t2,mean_ret_t3,win_t1,win_t2,win_t3
baseline_v32_core,current frozen core_pool logic,393,102,0.026722556981922975,45,0.03571428571428571,0.30405405405405406,0.001548412184535233,0.00501859643518406,0.0051667193561874625,0.4580152671755725,0.47837150127226463,0.48854961832061067
C1_relax_rank_thresholds,"keep quotas, relax path rank cutoffs (A:10%->20%, B:20%->30%)",394,103,0.026984542834686927,45,0.03571428571428571,0.30405405405405406,0.0015195604532082904,0.004992783293847122,0.005115930788998128,0.4593908629441624,0.4796954314720812,0.4873096446700508
C2_expand_daily_quotas,"keep cutoffs, expand day quotas (A:1->2, B:2->3)",627,174,0.04558553838092743,69,0.05476190476190476,0.30131004366812225,0.0019687948030620442,0.0044814755904696016,0.004580408953063648,0.4704944178628389,0.4944178628389155,0.4880382775119617
C3_recall_friendly_front_pool,mild relax pathA eligibility + wider A cutoff + larger quotas,637,178,0.04663348179198323,69,0.05476190476190476,0.2974137931034483,0.002064902028297718,0.004589939134336739,0.004540829350972007,0.47095761381475665,0.5007849293563579,0.48822605965463106
