ts_code,signal_trade_date,entry_trade_date,exit_event_date,exit_reason,entry_open,exit_price,trade_return,holding_days,score_total,trigger_groups_passed,trigger_breakout_pass,trigger_momentum_pass,trigger_quality_pass,entry_decision_reason
000534.SZ,20260309,20260310,20260310,structural_stop,47.0,46.06,-0.019999999999999907,0.0,88.38235294117646,3,True,True,True,allow_after_risk_control
002730.SZ,20260309,20260310,20260312,time_stop,19.4,19.45,0.002577319587628857,2.0,93.20941352087274,3,True,True,True,allow_after_risk_control
600851.SH,20260309,20260310,20260310,structural_stop,9.03,8.8494,-0.020000000000000018,0.0,87.96349082472483,3,True,True,True,allow_after_risk_control
002709.SZ,20260310,20260311,20260313,time_stop,45.55,48.77,0.07069154774972564,2.0,88.90171161825725,2,True,True,False,allow_after_risk_control
603912.SH,20260310,20260311,20260312,structural_stop,10.0,9.8,-0.019999999999999907,1.0,86.23659281311828,2,True,True,False,allow_after_risk_control
002092.SZ,20260311,20260312,20260316,structural_stop,8.33,8.1634,-0.02000000000000013,4.0,100.0,3,True,True,True,allow_after_risk_control
002638.SZ,20260311,20260312,20260313,structural_stop,4.1,4.018,-0.020000000000000018,1.0,92.56245654052545,3,True,True,True,allow_after_risk_control
600075.SH,20260311,20260312,20260316,structural_stop,7.57,7.4186000000000005,-0.020000000000000018,4.0,87.42715624551093,3,True,True,True,allow_after_risk_control
000990.SZ,20260312,20260313,20260316,structural_stop,10.0,9.8,-0.019999999999999907,3.0,90.20769540692989,3,True,True,True,allow_after_risk_control
603026.SH,20260312,20260313,20260317,time_stop,72.5,73.65,0.01586206896551734,4.0,61.04778556380442,2,True,True,False,allow_after_risk_control
000912.SZ,20260313,20260316,20260317,structural_stop,6.12,5.9976,-0.020000000000000018,1.0,90.20962661190306,2,True,True,False,allow_after_risk_control
002426.SZ,20260316,20260317,20260318,structural_stop,4.52,4.4296,-0.019999999999999907,1.0,99.79111431431701,3,True,True,True,allow_after_risk_control
603050.SH,20260316,20260317,20260319,structural_stop,23.7,23.226,-0.020000000000000018,2.0,87.29062770918331,3,True,True,True,allow_after_risk_control
002463.SZ,20260317,20260318,20260319,structural_stop,88.01,86.24980000000001,-0.020000000000000018,1.0,100.0,2,True,True,False,allow_after_risk_control
603387.SH,20260317,20260318,20260320,structural_stop,9.76,9.5648,-0.020000000000000018,2.0,91.39494920477303,3,True,True,True,allow_after_risk_control
603693.SH,20260317,20260318,20260320,time_stop,15.91,16.56,0.040854808296668654,2.0,87.2723014806414,3,True,True,True,allow_after_risk_control
002192.SZ,20260325,20260326,20260326,structural_stop,67.06,65.7188,-0.020000000000000018,0.0,89.88751712907194,3,True,True,True,allow_after_risk_control
600539.SH,20260325,20260326,20260326,structural_stop,13.0,12.74,-0.020000000000000018,0.0,85.36172644790872,3,True,True,True,allow_after_risk_control
603272.SH,20260325,20260326,20260326,structural_stop,27.27,26.7246,-0.020000000000000018,0.0,97.89469452726803,3,True,True,True,allow_after_risk_control
002468.SZ,20260326,20260327,20260331,max_hold_or_momentum_decay,14.9,14.82,-0.005369127516778538,4.0,91.24877405956522,3,True,True,True,allow_after_risk_control
000155.SZ,20260327,20260330,20260331,structural_stop,16.51,16.1798,-0.02000000000000013,1.0,91.13235294117646,3,True,True,True,allow_after_risk_control
002083.SZ,20260327,20260330,20260401,structural_stop,11.93,11.6914,-0.020000000000000018,2.0,88.75,3,True,True,True,allow_after_risk_control
600513.SH,20260327,20260330,20260401,time_stop,26.37,30.3,0.14903299203640508,2.0,97.13788595116404,3,True,True,True,allow_after_risk_control
