group,window,sample_n,signal_days,signal_day_ratio,blank_day_ratio,share_label_A_high,share_label_A_mid,share_label_A_low,share_label_C,share_label_G,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3,pathA_share,priority_share
F3_strict_baseline,all,7,7,0.06086956521739131,0.9391304347826087,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.023241841732964588,0.0221238938053098,0.7142857142857143,0.06136540763164366,0.05832832230908,0.8571428571428571,0.11835721280407882,0.161662817551963,0.7142857142857143,1.0,1.0
F3.2_strict_plus_supplement,all,39,39,0.3391304347826087,0.6608695652173913,0.2564102564102564,0.10256410256410256,0.1282051282051282,0.28205128205128205,0.23076923076923078,0.013472772810819609,0.0135062128579146,0.6153846153846154,0.025573007388016416,0.0183089899197697,0.6923076923076923,0.0389849225428497,0.0263808738664466,0.717948717948718,0.3076923076923077,0.2564102564102564
F3_strict_baseline,main,4,4,0.07272727272727272,0.9272727272727272,0.75,0.0,0.0,0.25,0.0,0.0314115148364774,0.02929927741799385,0.75,0.058075806861359575,0.05687778702059085,1.0,0.10833847211782675,0.11300218448253595,0.75,1.0,1.0
F3.2_strict_plus_supplement,main,20,20,0.36363636363636365,0.6363636363636364,0.25,0.15,0.15,0.35,0.1,0.01279605810281772,0.0152364893803165,0.65,0.020387758519622424,0.014725525600553398,0.65,0.03895843587562151,0.03240584643691695,0.8,0.25,0.25
F3_strict_baseline,confirm,3,3,0.05,0.95,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.012348944261614167,0.0221238938053098,0.6666666666666666,0.06575154199202243,0.1238938053097347,0.6666666666666666,0.1317155337190816,0.2367256637168142,0.6666666666666666,1.0,1.0
F3.2_strict_plus_supplement,confirm,19,19,0.31666666666666665,0.6833333333333333,0.2631578947368421,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.3684210526315789,0.01418510408240054,0.0135062128579146,0.5789473684210527,0.031031164091589025,0.0218002812939521,0.7368421052631579,0.03901280324519516,0.0165413533834586,0.631578947368421,0.3684210526315789,0.2631578947368421
