version,group,sample_n,trigger_n,trigger_rate,pullback_confirm_n,breakout_confirm_n,range_break_confirm_n,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3,pool_mean_ret_t1,pool_win_t1,pool_mean_ret_t2,pool_win_t2,pool_mean_ret_t3,pool_win_t3
baseline,all,12,5,0.4166666666666667,2,0,3,0.01956732376715898,0.0193375848590824,0.6,0.01633043294191428,0.0183089899197697,0.6,0.0369483544889944,-0.0026743468422135,0.4,0.010795574927208043,0.5,0.04895393848591125,0.6666666666666666,0.0843151066818062,0.5833333333333334
baseline,F3,7,3,0.42857142857142855,1,0,2,0.04188201978196987,0.0392609699769053,1.0,0.044021521320317135,0.0554272517321017,1.0,0.07444334070761947,0.0643415514131089,0.6666666666666666,0.023241841732964588,0.7142857142857143,0.06136540763164366,0.8571428571428571,0.11835721280407882,0.7142857142857143
baseline,T2_S4,5,2,0.4,1,0,1,-0.013904720255057349,-0.013904720255057349,0.0,-0.02520619962569,-0.02520619962569,0.0,-0.0192941248389432,-0.0192941248389432,0.0,-0.00662919860085112,0.2,0.031577881681885855,0.4,0.03665615811062453,0.4
