month,rank_group,n,avg_ret_t1,win_t1,avg_ret_t2,win_t2,avg_ret_t3,win_t3
2025-09,top10,7,0.004643677920108795,0.7142857142857143,0.04502242312136594,0.7142857142857143,0.036798175170433205,0.5714285714285714
2025-09,top20,8,-0.028306219147359105,0.125,-0.03632635386189269,0.125,-0.02691480437510016,0.5
2025-09,top30,7,0.019223396727910465,0.7142857142857143,0.015031300802956829,0.8571428571428571,0.03202120645109609,0.8571428571428571
2025-10,top10,28,0.008922385528806195,0.5357142857142857,0.015471070310646496,0.4642857142857143,0.0018298018851695963,0.42857142857142855
2025-10,top20,35,0.005317809181056833,0.6,0.0009260878709939968,0.5142857142857142,-0.00040347392477052703,0.45714285714285713
2025-10,top30,35,-0.0051058731872892435,0.37142857142857144,-0.013224259967466402,0.3142857142857143,-0.0001797062777037617,0.42857142857142855
2025-11,top10,23,0.005013415634303884,0.4782608695652174,0.019411001787777906,0.6086956521739131,-0.0016949733531767084,0.4782608695652174
2025-11,top20,34,-0.01642743068250974,0.35294117647058826,-0.02132725137943381,0.29411764705882354,-0.02493635426174919,0.3235294117647059
2025-11,top30,32,-0.000924924427038263,0.46875,-0.010555786481871818,0.34375,-0.037729535014812056,0.28125
2025-12,top10,52,0.011076368165660431,0.4230769230769231,0.01674204240587958,0.4230769230769231,0.03393165653833713,0.5
2025-12,top20,63,0.009840771929663475,0.49206349206349204,0.010891017213575428,0.47619047619047616,0.009517107838473945,0.36507936507936506
2025-12,top30,56,0.0004681022115824024,0.44642857142857145,-0.009364834785368504,0.44642857142857145,-0.0062929136321956585,0.39285714285714285
2026-01,top10,34,0.013998199152324997,0.5294117647058824,0.018829193704536378,0.5882352941176471,-0.0027981546489928206,0.5
2026-01,top20,45,0.005321136995288894,0.4,0.008199723212840637,0.5333333333333333,0.012445681835694675,0.4888888888888889
2026-01,top30,39,0.0025460639992432835,0.358974358974359,0.008780573304326845,0.46153846153846156,0.00899268588522018,0.41025641025641024
2026-02,top10,23,-0.0041099788264444635,0.391304347826087,-0.0007569711846027317,0.43478260869565216,0.017444409367837324,0.5652173913043478
2026-02,top20,30,0.005935541596126648,0.5333333333333333,0.001681398337075283,0.4,0.0051577123649256375,0.4666666666666667
2026-02,top30,26,0.012814109341935285,0.6153846153846154,0.007931683550608718,0.5769230769230769,0.004233321632429971,0.4230769230769231
2026-03,top10,35,0.0029700964507938655,0.4857142857142857,-0.005300781592096593,0.45714285714285713,-0.012316369851549389,0.37142857142857144
2026-03,top20,48,-0.011414365902215146,0.3541666666666667,-0.023529028349050934,0.2916666666666667,-0.029947745023200235,0.2916666666666667
2026-03,top30,43,-0.004500325178921209,0.4418604651162791,-0.004996535302671394,0.3953488372093023,-0.012946645446977816,0.3953488372093023
