bucket,sample_count,a_count,c_count,a_share,a_share_lift_vs_full,a_share_lift_points
top10,397,97,300,0.24433249370277077,2.140661552091256,0.1301937156861911
top20,919,211,708,0.2295973884657236,2.0115634007608927,0.11545861044914393
top30,1398,312,1086,0.22317596566523606,1.955303618484664,0.10903718764865639
