scenario,candidate_a_share,top20_a_share,candidate_a_lift_points,top20_a_lift_points
baseline,0.22317596566523606,0.2295973884657236,0.10903718764865639,0.11545861044914393
ablate_industry_axis,0.21530758226037197,0.2383025027203482,0.10116880424379229,0.12416372470376852
ablate_chip_axis,0.21101573676680974,0.2176278563656148,0.09687695875023006,0.10348907834903512
ablate_platform_axis,0.21897289586305277,0.22342733188720174,0.10483411784647309,0.10928855387062206
