version,group,sample_n,trigger_n,trigger_rate,pullback_confirm_n,breakout_confirm_n,range_break_confirm_n,mean_ret_t1,win_t1,trig_mean_ret_t1,trig_win_t1,mean_ret_t2,win_t2,trig_mean_ret_t2,trig_win_t2,mean_ret_t3,win_t3,trig_mean_ret_t3,trig_win_t3
v1,overall,210,90,0.42857142857142855,77,6,7,0.004396336929072337,0.5285714285714286,0.008579226563792836,0.5777777777777777,0.009430484253655138,0.5476190476190477,0.009484706110229103,0.5666666666666667,0.00928230869195164,0.5380952380952381,0.010913974016885812,0.5666666666666667
v1,priority_tag_1,14,5,0.35714285714285715,5,0,0,0.013098418984994016,0.6428571428571429,0.0170155197560992,0.8,0.02164563358011933,0.5714285714285714,0.01138786166938342,0.6,0.049874682114548416,0.5714285714285714,0.021089938209281577,0.6
v1,path_source_A,17,5,0.29411764705882354,5,0,0,0.0078766074998421,0.5294117647058824,0.0101168356067525,0.6,0.03160898926219318,0.5294117647058824,3.086162288694211e-05,0.4,0.05756408872743964,0.5294117647058824,0.01609946998963218,0.4
v1,path_source_B,193,85,0.44041450777202074,72,6,7,0.004089784599004533,0.5284974093264249,0.008488778973030504,0.5764705882352941,0.00747693718036422,0.5492227979274611,0.010040814609484524,0.5764705882352941,0.005029509414214355,0.538860103626943,0.010608944842018377,0.5764705882352941
v1,priority_tag_1_path_A,12,4,0.3333333333333333,4,0,0,0.013920693375130943,0.6666666666666666,0.0158176862994854,0.75,0.0316219507539879,0.5833333333333334,0.0071281292674146264,0.5,0.06627572648444593,0.5833333333333334,0.024415382263159622,0.5
v1_1,overall,210,94,0.44761904761904764,76,6,12,0.004396336929072337,0.5285714285714286,0.009011182376061595,0.5851063829787234,0.009430484253655138,0.5476190476190477,0.009643610157235555,0.5638297872340425,0.00928230869195164,0.5380952380952381,0.011707974212819307,0.5638297872340425
v1_1,priority_tag_1,14,8,0.5714285714285714,4,0,4,0.013098418984994016,0.6428571428571429,0.021890153091858267,0.875,0.02164563358011933,0.5714285714285714,0.016483662937824512,0.625,0.049874682114548416,0.5714285714285714,0.030645709513138525,0.625
v1_1,path_source_A,17,9,0.5294117647058824,4,0,5,0.0078766074998421,0.5294117647058824,0.013944992293577445,0.6666666666666666,0.03160898926219318,0.5294117647058824,0.005892234774884168,0.4444444444444444,0.05756408872743964,0.5294117647058824,0.022087696048161378,0.4444444444444444
v1_1,path_source_B,193,85,0.44041450777202074,72,6,7,0.004089784599004533,0.5284974093264249,0.008488778973030504,0.5764705882352941,0.00747693718036422,0.5492227979274611,0.010040814609484524,0.5764705882352941,0.005029509414214355,0.538860103626943,0.010608944842018377,0.5764705882352941
v1_1,priority_tag_1_path_A,12,7,0.5833333333333334,3,0,4,0.013920693375130943,0.6666666666666666,0.021902053021758818,0.8571428571428571,0.0316219507539879,0.5833333333333334,0.014777501746476787,0.5714285714285714,0.06627572648444593,0.5833333333333334,0.03391107344447697,0.5714285714285714
