scope,scenario,selected_n,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
main_window,C2,158,0.03295932678821879,0.037848605577689244,0.2676056338028169,0.5443037974683544,-0.0005735595275910446,-0.0009022549057062235,0.46835443037974683,0.0007870262674920701,-0.0015575026080525967,0.47468354430379744,-0.0012872763502940923,-0.004888643138484194,0.4620253164556962
main_window,C2A_rank_relax,161,0.033660589060308554,0.0398406374501992,0.2777777777777778,0.5403726708074534,0.0003317402091799315,-0.0007092198581559739,0.4782608695652174,0.001472436257138843,-0.0010845986984815426,0.484472049689441,-0.0006351375294788817,-0.0026743468422135708,0.4720496894409938
confirm_window,C2,169,0.059113300492610835,0.07608695652173914,0.3559322033898305,0.42011834319526625,0.004537234907115228,0.0023724792408066353,0.5266272189349113,0.009282521864926577,0.004872107186357999,0.5621301775147929,0.008480788894924459,0.005117707267144445,0.5384615384615384
confirm_window,C2A_rank_relax,170,0.059113300492610835,0.07608695652173914,0.3559322033898305,0.4176470588235294,0.004418940238650289,0.0021066261827594746,0.5235294117647059,0.009244276840019367,0.004282586215255346,0.5647058823529412,0.00832130300068552,0.004884435028921108,0.5352941176470588
