trade_date,stock_code,stock_name,ts_code,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,path_source,in_C2A,in_ech2_s2,in_mainline_current,mainline_channel,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close
20250508,000541.SZ,佛山照明,000541.SZ,C,0,0,0,1,0,,False,False,False,none,,0.7010356347438752,0.7704018171002108,0.6954105949173112,0.1403508771929824,0.6009174311926605,,-0.03125,-0.02529761904761907,-0.03125
20250508,000676.SZ,智度股份,000676.SZ,C,0,0,0,1,0,,False,False,False,none,,0.6312555679287305,0.6760045427505272,0.4995297376755734,0.3794466403162056,0.8338430173292558,,-0.01764705882352946,-0.015294117647058902,-0.022352941176470575
20250508,000678.SZ,襄阳轴承,000678.SZ,A,1,0,0,0,0,,False,False,False,none,,0.6014643652561247,0.9177910875561084,0.8783480638761039,0.3532608695652174,0.9898063200815495,,0.07751937984496116,0.1853417899929528,0.16279069767441867
20250508,000681.SZ,视觉中国,000681.SZ,C,0,0,0,1,0,,False,False,False,none,,0.6379732739420935,0.6760045427505272,0.8006595870668791,0.36235955056179764,0.8792048929663608,,-0.022727272727272707,-0.01272727272727281,-0.0331818181818182
20250508,000738.SZ,航发控制,000738.SZ,G,0,0,0,0,1,,False,False,False,none,,0.4787360801781737,0.6771875507003406,0.45605843539134056,0.5483091787439611,0.8007135575942915,,-0.023541453428863934,0.013817809621289534,0.0015353121801433556
20250508,000967.SZ,盈峰环境,000967.SZ,G,0,0,0,0,1,,False,False,False,none,,0.5787360801781737,0.5796198150451571,0.9464827826634433,0.44571428571428584,0.9663608562691132,,-0.014925373134328401,-0.0029850746268657025,0.010447761194029681
20250508,000970.SZ,中科三环,000970.SZ,G,0,0,0,0,1,,False,False,False,none,,0.7231765033407572,0.412768373803472,0.562328839736911,0.29411764705882354,0.05504587155963303,,-0.021015761821365997,0.0017513134851137035,0.016637478108581405
20250508,000981.SZ,山子高科,000981.SZ,C,0,0,0,1,0,,False,False,False,none,,0.5657878619153675,0.9177910875561084,0.4934135093243207,0.42253521126760574,0.7415902140672783,,-0.043689320388349606,-0.03398058252427183,-0.04854368932038844
20250508,000997.SZ,新大陆,000997.SZ,C,0,0,0,1,0,B,True,False,True,main_channel,0.743355363417728,0.6281458797327394,0.41889297496079175,0.9830590524091548,0.4382207578253707,0.8022426095820592,3.0,-0.03389830508474578,0.06271186440677967,0.03627118644067795
20250508,001696.SZ,宗申动力,001696.SZ,C,0,0,0,1,0,,False,False,False,none,,0.39010022271714917,0.5517075874749878,0.8524172933692591,0.5697522816166887,0.9689092762487258,,-0.022950819672131084,0.00901639344262306,-0.012295081967212962
