variant,window,sample_n,mean_ret_t1,mean_ret_t2,mean_ret_t3,median_ret_t1,median_ret_t2,median_ret_t3,win_t1,win_t2,win_t3
v3_freeze_candidate_2,main,166,0.00490204280128715,0.004433793063297813,0.0038628643899852153,0.0030793099168425764,0.0009188027415413247,0.0007307089080955675,0.5421686746987951,0.5060240963855421,0.5060240963855421
v3_freeze_candidate_2,confirm,172,0.005989985599504289,0.00705644061398899,0.002276357501853045,0.0013468324529559705,0.004910076354188386,0.0014243000551357188,0.5174418604651163,0.5406976744186046,0.5058139534883721
v3.1_candidate_exact,main,14,0.017774641733111614,0.03514494040111854,0.08165620485799352,0.004399897196095237,0.05152617349114608,0.09235772357723582,0.7142857142857143,0.7142857142857143,0.7857142857142857
v3.1_candidate_exact,confirm,8,-0.0074210143453306565,0.010322930817388332,0.04208147307308137,-0.011179936081841202,-0.016591963852306102,0.029512704540406,0.375,0.375,0.75
v3.1_candidate_relaxed,main,17,0.0191310413483398,0.039885674369218124,0.07120218647193734,0.014122759369907811,0.04762509525019043,0.07111436950146621,0.7647058823529411,0.7647058823529411,0.7647058823529411
v3.1_candidate_relaxed,confirm,15,-0.009135794676970269,0.0054918765448095964,0.020393878466898403,-0.009551374819102731,-0.013748191027496248,0.011570247933884392,0.4,0.4666666666666667,0.6
