group,sample_n,triggered_n,trigger_rate,mean_ret_t1,mean_ret_t2,mean_ret_t3,win_t1,win_t2,win_t3
all,210,90,0.42857142857142855,0.004396336929072337,0.009430484253655138,0.00928230869195164,0.5285714285714286,0.5476190476190477,0.5380952380952381
triggered,90,90,1.0,0.008579226563792836,0.009484706110229103,0.010913974016885812,0.5777777777777777,0.5666666666666667,0.5666666666666667
priority_tag_1,14,5,0.35714285714285715,0.013098418984994016,0.02164563358011933,0.049874682114548416,0.6428571428571429,0.5714285714285714,0.5714285714285714
priority_tag_1_triggered,5,5,1.0,0.0170155197560992,0.01138786166938342,0.021089938209281577,0.8,0.6,0.6
