model,sample_n,a_n,c_n,a_share,a_share_lift_vs_baseline_pts,a_share_lift_vs_S0_pts,a_share_lift_vs_S3_pts
S0_single_v22,477,151,326,0.3165618448637317,-0.037338155136268314,0.0,-0.0314191527609714
S3_dual_merge_naive,842,293,549,0.3479809976247031,-0.005919002375296911,0.0314191527609714,0.0
S4_dual_merge_controlled,497,172,325,0.3460764587525151,-0.00782354124748491,0.029514613888783403,-0.0019045388721879997
S5_path_selection,247,80,167,0.32388663967611336,-0.03001336032388663,0.007324794812381685,-0.024094357948589717
M1_quota_merge,209,87,122,0.41626794258373206,0.06236794258373207,0.09970609772000039,0.06828694495902898
M2_primary_supplement,160,64,96,0.4,0.04610000000000003,0.08343815513626834,0.05201900237529694
M3_rank_normalized_merge,227,92,135,0.4052863436123348,0.051386343612334795,0.08872449874860311,0.057305345987631706
