sample_n,A_high_n,A_high_pct,A_mid_n,A_mid_pct,A_low_n,A_low_pct,C_n,C_pct,G_n,G_pct,Ahigh_over_C,Ahigh_plus_Amid_over_C,A_all_over_C,window,pool
210,24,0.11428571428571428,20,0.09523809523809523,24,0.11428571428571428,80,0.38095238095238093,62,0.29523809523809524,0.3,0.55,0.85,all,core_pool
14,5,0.35714285714285715,0,0.0,2,0.14285714285714285,6,0.42857142857142855,1,0.07142857142857142,0.8333333333333334,0.8333333333333334,1.1666666666666667,all,priority_tag_1
196,19,0.09693877551020408,20,0.10204081632653061,22,0.11224489795918367,74,0.37755102040816324,61,0.3112244897959184,0.25675675675675674,0.527027027027027,0.8243243243243243,all,priority_tag_0
101,11,0.10891089108910891,12,0.1188118811881188,12,0.1188118811881188,41,0.40594059405940597,25,0.24752475247524752,0.2682926829268293,0.5609756097560976,0.8536585365853658,main,core_pool
7,3,0.42857142857142855,0,0.0,1,0.14285714285714285,3,0.42857142857142855,0,0.0,1.0,1.0,1.3333333333333333,main,priority_tag_1
94,8,0.0851063829787234,12,0.1276595744680851,11,0.11702127659574468,38,0.40425531914893614,25,0.26595744680851063,0.21052631578947367,0.5263157894736842,0.8157894736842105,main,priority_tag_0
109,13,0.11926605504587157,8,0.07339449541284404,12,0.11009174311926606,39,0.3577981651376147,37,0.3394495412844037,0.3333333333333333,0.5384615384615384,0.8461538461538461,confirm,core_pool
7,2,0.2857142857142857,0,0.0,1,0.14285714285714285,3,0.42857142857142855,1,0.14285714285714285,0.6666666666666666,0.6666666666666666,1.0,confirm,priority_tag_1
102,11,0.10784313725490197,8,0.0784313725490196,11,0.10784313725490197,36,0.35294117647058826,36,0.35294117647058826,0.3055555555555556,0.5277777777777778,0.8333333333333334,confirm,priority_tag_0
