window,path_source,sample_n,A_high_n,A_high_pct,A_mid_n,A_mid_pct,A_low_n,A_low_pct,C_n,C_pct,G_n,G_pct,Ahigh_over_C,Ahigh_plus_Amid_over_C,A_all_over_C,mean_ret_t1,mean_ret_t2,mean_ret_t3,median_ret_t1,median_ret_t2,median_ret_t3,win_t1,win_t2,win_t3
all,A,12,5,0.4166666666666667,0,0.0,2,0.16666666666666666,5,0.4166666666666667,0,0.0,1.0,1.0,1.4,0.013920693375130943,0.0316219507539879,0.06627572648444593,0.018114738375487,0.0200546356068609,0.033577245467454504,0.6666666666666666,0.5833333333333334,0.5833333333333334
all,B,2,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,0.0,0.0,0.0,0.00816477264417245,-0.0382122694630921,-0.0485315841048367,0.00816477264417245,-0.0382122694630921,-0.0485315841048367,0.5,0.5,0.5
main,A,6,3,0.5,0,0.0,1,0.16666666666666666,2,0.3333333333333333,0,0.0,1.5,1.5,2.0,0.017665285415948754,0.03485391962237178,0.07736056752590516,0.011498060722224101,0.0368681208259357,0.07119516595045691,0.6666666666666666,0.6666666666666666,0.6666666666666666
main,B,1,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0.0,0.0,0.0,-0.0054773082942095,-0.1048513302034428,-0.1048513302034428,-0.0054773082942095,-0.1048513302034428,-0.1048513302034428,0.0,0.0,0.0
confirm,A,6,2,0.3333333333333333,0,0.0,1,0.16666666666666666,3,0.5,0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.010176101334313134,0.028389981885604015,0.05519088544298672,0.019507892848600702,0.0011822723084181,-0.0077889325379505,0.6666666666666666,0.5,0.5
confirm,B,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,,,,0.0218068535825544,0.0284267912772586,0.0077881619937694,0.0218068535825544,0.0284267912772586,0.0077881619937694,1.0,1.0,1.0
