sub_condition,miss_count,ratio_in_all_A_high,ratio_in_step1_miss
fail_pathA_rs20_min,302,0.2396825396825397,0.9773462783171522
fail_pathB_rs20_min,302,0.2396825396825397,0.9773462783171522
fail_pathA_trend_min,116,0.09206349206349207,0.37540453074433655
fail_pathB_trend_min,7,0.005555555555555556,0.022653721682847898
