archetype,archetype_total,coverage_C2A,coverage_C2A_ECH2_Q2,coverage_delta,captured_C2A,captured_C2A_ECH2_Q2
A1_momentum_frontline,94,0.0851063829787234,0.0851063829787234,0.0,8,8
A2_structure_chip,94,0.3404255319148936,0.39361702127659576,0.05319148936170215,32,37
A3_early_structure_low_rs20,237,0.008438818565400843,0.02109704641350211,0.012658227848101266,2,5
A4_balanced_highscore,20,0.25,0.25,0.0,5,5
A5_mixed_other,815,0.026993865030674847,0.02822085889570552,0.0012269938650306747,22,23
