reason,miss_count,miss_share_in_remaining_A_high,miss_share_in_total_A_high
not_in_ECH2_scope_or_q2,618,0.5478723404255319,0.49047619047619045
not_in_path_A,309,0.27393617021276595,0.24523809523809523
not_in_path_A_but_pathB_eligible,201,0.17819148936170212,0.1595238095238095
