factor,A_high_median,selected_C_median,selected_G_median,A_high_minus_C,A_high_minus_G
f_ind_peer_strong_count,13.0,12.0,11.5,1.0,1.5
f_platform_compress_ratio,0.5412991178829191,0.4816955684007706,0.4758162330750761,0.059603549482148466,0.06548288480784298
score_trend_axis_single,0.8991938838274007,0.8609222737117866,0.770769078752342,0.038271610115614085,0.1284248050750587
f_strength_rs20_xsec_q,0.955547391623806,0.9310850439882697,0.874456464389548,0.02446234763553623,0.08109092723425793
score_chip_axis_single,0.730651860839589,0.7412432699067879,0.7820526103916722,-0.01059140906719891,-0.05140074955208318
f_chip_winner_rate,0.9664943614181133,0.9843768154116065,0.9921083118211714,-0.017882453993493197,-0.02561395040305814
score_platform_axis_single,0.5272551329518681,0.6045775833052844,0.6747391450690003,-0.07732245035341634,-0.14748401211713225
score_industry_axis_single,0.4892046356564534,0.6169630100015875,0.6062271789172885,-0.1277583743451341,-0.11702254326083511
