window,pool,sample_n,Ahigh_n,Ahigh_pct,Amid_n,Amid_pct,Alow_n,Alow_pct,C_n,C_pct,G_n,G_pct
main,core_pool,101,11,0.10891089108910891,12,0.1188118811881188,12,0.1188118811881188,41,0.40594059405940597,25,0.24752475247524752
main,priority_tag_1,7,3,0.42857142857142855,0,0.0,1,0.14285714285714285,3,0.42857142857142855,0,0.0
main,priority_tag_0,94,8,0.0851063829787234,12,0.1276595744680851,11,0.11702127659574468,38,0.40425531914893614,25,0.26595744680851063
confirm,core_pool,109,13,0.11926605504587157,8,0.07339449541284404,12,0.11009174311926606,39,0.3577981651376147,37,0.3394495412844037
confirm,priority_tag_1,7,2,0.2857142857142857,0,0.0,1,0.14285714285714285,3,0.42857142857142855,1,0.14285714285714285
confirm,priority_tag_0,102,11,0.10784313725490197,8,0.0784313725490196,11,0.10784313725490197,36,0.35294117647058826,36,0.35294117647058826
all,core_pool,210,24,0.11428571428571428,20,0.09523809523809523,24,0.11428571428571428,80,0.38095238095238093,62,0.29523809523809524
all,priority_tag_1,14,5,0.35714285714285715,0,0.0,2,0.14285714285714285,6,0.42857142857142855,1,0.07142857142857142
all,priority_tag_0,196,19,0.09693877551020408,20,0.10204081632653061,22,0.11224489795918367,74,0.37755102040816324,61,0.3112244897959184
