ts_code,trade_date,trade_signal_class,execution_mode_candidate,execution_ready_flag,execution_risk_tag,execution_reject_reason,execution_assumption_note,key_reason_1,key_reason_2,key_reason_3
002038.SZ,20260327,breakout,breakout_b_t1_intraday_confirm,reject,hard_reject,reject_gap_too_large,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=0.0590; span=0.0408,reject_gap_too_large,gap_open=0.0590,execution_price_distortion
002083.SZ,20260327,breakout,breakout_b_t1_intraday_confirm,ready,none,,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=-0.0025; span=0.0502,ready_intraday_continue_confirmed,t_signal_breakout_ready,gap_within_guard
002203.SZ,20260327,breakout,breakout_b_t1_intraday_confirm,reject,hard_reject,reject_intraday_breakdown,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=-0.0155; span=0.0425,reject_intraday_breakdown,low_vs_t_close=-0.0452,structure_broken_t1
002209.SZ,20260327,breakout,breakout_b_t1_intraday_confirm,reject,hard_reject,reject_intraday_breakdown,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=-0.0109; span=0.0544,reject_intraday_breakdown,low_vs_t_close=-0.0556,structure_broken_t1
002263.SZ,20260327,breakout,breakout_b_t1_intraday_confirm,risk,intraday_confirmation_weak_refined,,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=0.0246; span=0.0909,risk_refined_boundary_unclear,continuation_not_strong_enough_for_ready,not_weak_enough_for_reject
002460.SZ,20260327,breakout,breakout_b_t1_intraday_confirm,reject,hard_reject,reject_intraday_breakdown,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=0.0167; span=0.0439,reject_intraday_breakdown,low_vs_t_close=-0.0210,structure_broken_t1
003010.SZ,20260327,breakout,breakout_b_t1_intraday_confirm,ready,none,,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=-0.0104; span=0.0386,ready_refined_follow_through,close_ret_t1>=0.012 & close_pos>=0.60,low_break>-0.02
600513.SH,20260327,breakout,breakout_b_t1_intraday_confirm,ready,none,,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=0.0297; span=0.0781,ready_intraday_continue_confirmed,t_signal_breakout_ready,gap_within_guard
600671.SH,20260327,breakout,breakout_b_t1_intraday_confirm,reject,hard_reject,reject_intraday_breakdown,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=-0.0031; span=0.0316,reject_intraday_breakdown,low_vs_t_close=-0.0236,structure_broken_t1
600748.SH,20260327,breakout,breakout_b_t1_intraday_confirm,reject,hard_reject,reject_intraday_breakdown,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=-0.0019; span=0.0615,reject_intraday_breakdown,low_vs_t_close=-0.0354,structure_broken_t1
603076.SH,20260327,breakout,breakout_b_t1_intraday_confirm,ready,none,,t1=20260330; mode=breakout_b_t1_intraday_confirm; gap_open=0.0103; span=0.0683,ready_intraday_continue_confirmed,t_signal_breakout_ready,gap_within_guard
