window,variant,sample_n,Ahigh_n,C_n,Ahigh_pct,C_pct,Ahigh_over_C,Ahigh_retention_vs_base,C_retention_vs_base,Ahigh_over_C_delta_vs_base
main,v3.1_relaxed,17,9,4,0.5294117647058824,0.23529411764705882,2.25,0.5,0.05714285714285714,1.9928571428571429
main,v3.2_candidate,101,11,41,0.10891089108910891,0.40594059405940597,0.2682926829268293,0.6111111111111112,0.5857142857142857,0.011149825783972167
confirm,v3.1_relaxed,15,2,7,0.13333333333333333,0.4666666666666667,0.2857142857142857,0.125,0.1044776119402985,0.04690831556503197
confirm,v3.2_candidate,109,13,39,0.11926605504587157,0.3577981651376147,0.3333333333333333,0.8125,0.582089552238806,0.09452736318407959
