trade_date,top5_avg_t1,top5_win_t1,rank6_10_avg_t1
20250925,-0.020455987111784802,0.2,0.05257019661211593
20250926,0.001790097681920666,0.6,-0.005928973071971355
20250929,0.027049485447814225,0.8,-0.011206257213487513
20250930,-0.05752880948504009,0.0,-0.01837906191886929
20251009,0.0187744358641019,0.4,0.002395974035286863
20251010,0.021279654139256345,0.8,0.01627405112743894
20251013,-0.007661940886890539,0.2,-0.016225980466853418
20251014,-0.007663064875513581,0.4,-0.0015705894500993578
20251015,0.013210954901666216,0.6,-0.009544848277469643
20251016,0.011592160018266507,0.6,-0.0191993007096124
20251017,0.023700597081229357,0.6,
20251020,0.014228870398596416,0.8,-0.0032891509569682453
20251021,-0.004085106352959356,0.6,0.009112320917434835
20251022,-0.016041347506784497,0.2,0.008375206443173643
20251023,-0.04071241161805093,0.2,-0.02033728409974609
20251024,-0.014212380373939237,0.6,-0.004668915568977727
20251027,-0.00276634923464667,0.4,0.02452634678288481
20251028,0.053590787608222355,1.0,0.0006721013489635163
20251029,-0.03220929582132561,0.4,0.018353778537981036
20251030,0.00024244412821465832,0.6,-0.037368382220951755
20251031,-0.006932143234435295,0.2,-0.0010727536170414443
20251103,-0.021121951558535756,0.0,-0.020087536704944498
20251104,0.015330002403375276,0.8,0.0038049972186772417
20251105,-0.009410745289091338,0.4,-0.0005420968179452368
20251106,0.004244382653220491,0.6,-0.003820078831713447
20251107,-0.014756703055237286,0.0,-0.0018827133411749575
20251110,-0.029867970433979617,0.0,-0.006667814761089597
20251111,0.0017483319967904088,0.4,0.006434025836578506
20251112,-0.014584873960868893,0.4,0.018340041098034377
20251113,0.024225794486648612,0.6,-0.03042420862394126
20251114,0.041793777407322465,0.8,0.019625686326197343
20251117,-0.05817105420226134,0.0,0.019818112131935628
20251118,-0.04235984066555838,0.0,-0.020810586369845674
20251119,-0.041547661916574816,0.2,-0.06580078353472177
20251120,-0.030646524172883872,0.2,-0.01671874884728346
20251121,0.013965533477917846,0.6,0.030198029692213024
20251124,0.026673083801246687,1.0,0.014880118384013773
20251125,-0.01666515767712773,0.4,-0.0077341282422791705
20251126,-0.01716092792018318,0.4,-0.0021522081432456264
20251127,0.019171354181441957,0.6,0.009422235729190542
20251128,-0.004593771946322489,0.4,-0.006394349740471261
20251201,-0.002897870034261274,0.4,-0.012375258289837631
20251202,0.01375707518064655,0.4,-0.010017402258689967
20251203,0.03807809428207516,0.6,-1.6794506614026262e-05
20251204,0.0244985097867374,0.6,0.02496463608534394
20251205,-0.004050875574642942,0.4,0.01072470102268508
20251208,0.031854658827571034,0.8,0.014585707033797135
20251209,0.008228765861660835,0.4,0.0035764468605213205
20251210,-0.03155760158153842,0.2,-0.04156833720246482
20251211,0.04181335759442821,0.8,0.017645325982409577
20251212,0.005909769113726626,0.4,-0.043082179498205385
20251215,0.011801369221419833,0.6,-0.03304350616101781
20251216,-0.02202115454797875,0.2,0.02607353205326768
20251217,-0.002590090136306089,0.4,0.05031629929002408
20251218,0.031936371603345504,0.6,0.028422400064331076
20251219,-0.0035283080367421336,0.8,-0.010383305366461348
20251222,-0.023221739159191013,0.2,0.0045465812189313445
20251223,0.04283061090015679,0.4,0.008865506990411286
20251224,0.025497367351062384,0.6,-0.0010279379929226894
20251225,0.022528654145893688,0.4,0.050018890890859646
20251226,0.01212332095811013,0.4,0.008662734529899829
20251229,0.059074713157617434,0.8,0.028494773936383867
20251230,-0.014935743854703176,0.2,0.007946538873318088
20251231,-0.014251790635040163,0.2,-0.012121407255347827
20260105,0.01727258844344075,0.8,0.026486681086686104
20260106,0.01282935002522687,0.4,0.0017157475835094748
20260107,-0.008690750510348021,0.2,0.01873668871956158
20260108,0.022876025535027388,0.6,-0.012655948982069875
20260109,0.02052716063959672,0.8,-0.002235618122599714
20260112,-0.012109573168365518,0.2,0.0003023502173597148
20260113,0.01080671103738815,0.4,0.017055181028713416
20260114,-0.0211198234652211,0.2,-0.006120491031716769
20260115,-0.015220870677941978,0.2,0.004509642464505981
20260116,0.014226583922058177,0.6,0.003557458241750111
20260119,0.023009355321687443,0.6,-0.0004956750566145418
20260120,-0.0016499938346017818,0.2,0.0004991573046354558
20260121,0.026458579951311532,0.4,0.03744919690271
20260122,0.011393242559259043,0.6,0.007222783019456491
20260123,0.0031881026885910656,0.4,-0.015514614780092351
20260126,-0.02303325166068406,0.2,0.02053074341934289
20260127,-0.006974894040575519,0.2,-0.026582443635400476
20260128,0.011371933925341037,0.4,-0.01784833965536481
20260129,0.029581769974956807,0.6,-0.028889252588699142
20260130,0.007653580879525235,0.4,-0.02602788179543698
20260202,0.002520259190891183,0.6,0.024087329956263243
20260203,0.013373598182760339,0.8,0.02401362070572848
20260204,-0.010528966976069132,0.2,-0.008155460209910892
20260205,0.014967022156944742,0.6,0.00637205119602906
20260206,-0.009691591660554399,0.4,0.02278001094497124
20260209,0.006797671698981445,0.4,0.037728819527255084
20260210,0.00993186920048066,0.4,-0.021932866762224834
20260211,-0.009620154402223146,0.6,0.010652414577956338
20260212,-0.03354782294581939,0.0,0.0010814903529813512
20260213,-0.019412881722283393,0.4,-0.016504750659234912
20260224,0.02705509376286286,0.8,-0.0004213484378523313
