model,sample_n,a_n,c_n,a_share,a_share_lift_vs_full_pts,a_share_lift_vs_S0_pts
S0_single_v22,477,151,326,0.3165618448637317,-0.03737213379102139,0.0
S1_path_a_full,438,152,286,0.3470319634703196,-0.006902015184433452,0.030470118606587937
S2_path_b_full,525,178,347,0.33904761904761904,-0.014886359607134025,0.022485774183887364
S3_dual_merge_naive,842,293,549,0.3479809976247031,-0.005952981030049986,0.0314191527609714
S4_dual_merge_controlled,497,172,325,0.3460764587525151,-0.007857519902237986,0.029514613888783403
