group,window,sample_n,signal_days,signal_day_ratio,blank_days,blank_day_ratio,avg_days_per_signal,share_label_A_high,share_label_A_mid,share_label_A_low,share_label_C,share_label_G,share_A_low_plus_C,Ahigh_C_ratio,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3,dual_objective_pass,constraint_quality_ok,constraint_frequency_ok,constraint_freq_ratio_min,constraint_avg_days_max,constraint_win_t2_min
T2_S1_precision,all,2,2,0.017391304347826087,113,0.9826086956521739,57.5,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0131211974371401,0.0131211974371401,0.5,0.11467721961987834,0.11467721961987834,1.0,0.13725030958918868,0.13725030958918868,1.0,False,True,False,0.1,10.0,0.6
T2_S1_precision,main,0,0,0.0,55,1.0,,,,,,,,,,,,,,,,,,False,False,False,0.08,12.0,0.55
T2_S1_precision,confirm,2,2,0.03333333333333333,58,0.9666666666666667,30.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0131211974371401,0.0131211974371401,0.5,0.11467721961987834,0.11467721961987834,1.0,0.13725030958918868,0.13725030958918868,1.0,False,True,False,0.08,12.0,0.55
T2_S2_balanced,all,3,3,0.02608695652173913,112,0.9739130434782609,38.333333333333336,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,inf,0.019061576538027734,0.030942334739803,0.6666666666666666,0.08371824017790293,0.0805739514348786,1.0,0.09243785290005917,0.1243902439024391,1.0,False,True,False,0.1,10.0,0.6
T2_S2_balanced,main,0,0,0.0,55,1.0,,,,,,,,,,,,,,,,,,False,False,False,0.08,12.0,0.55
T2_S2_balanced,confirm,3,3,0.05,57,0.95,20.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,inf,0.019061576538027734,0.030942334739803,0.6666666666666666,0.08371824017790293,0.0805739514348786,1.0,0.09243785290005917,0.1243902439024391,1.0,False,True,False,0.08,12.0,0.55
T2_S3_frequency,all,7,7,0.06086956521739131,108,0.9391304347826087,16.428571428571427,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.0,0.7142857142857142,0.6666666666666666,0.004371117606442773,0.0036585365853658,0.5714285714285714,0.02560857069515798,-0.0017073170731707,0.42857142857142855,0.03447269248045383,0.0028129395218001,0.5714285714285714,False,False,False,0.1,10.0,0.6
T2_S3_frequency,main,2,2,0.03636363636363636,53,0.9636363636363636,27.5,0.0,0.0,0.5,0.5,0.0,1.0,0.0,-0.009827173425108549,-0.009827173425108549,0.5,-0.0115898548556038,-0.0115898548556038,0.0,0.015404758342061953,0.015404758342061953,0.5,False,False,False,0.08,12.0,0.55
T2_S3_frequency,confirm,5,5,0.08333333333333333,55,0.9166666666666666,12.0,0.4,0.0,0.2,0.4,0.0,0.6000000000000001,1.0,0.0100504340190633,0.0168918918918916,0.6,0.04048794091546269,0.0218002812939521,0.6,0.04209986613581058,0.0028129395218001,0.6,False,False,True,0.08,12.0,0.55
T2_S4_pri0_breadth,all,5,5,0.043478260869565216,110,0.9565217391304348,23.0,0.4,0.0,0.2,0.0,0.4,0.2,inf,-0.00662919860085112,-0.0151228733459356,0.2,0.031577881681885855,-0.0210526315789474,0.4,0.03665615811062453,-0.0171641791044776,0.4,False,False,False,0.1,10.0,0.6
T2_S4_pri0_breadth,main,3,3,0.05454545454545454,52,0.9454545454545454,18.333333333333332,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,,-0.019796129292845268,-0.0151228733459356,0.0,-0.023821676943442466,-0.0220541902961562,0.0,-0.030406609541751565,-0.0214240705734088,0.0,False,False,False,0.08,12.0,0.55
T2_S4_pri0_breadth,confirm,2,2,0.03333333333333333,58,0.9666666666666667,30.0,1.0,0.0,0.0,0.0,0.0,0.0,inf,0.0131211974371401,0.0131211974371401,0.5,0.11467721961987834,0.11467721961987834,1.0,0.13725030958918868,0.13725030958918868,1.0,False,True,False,0.08,12.0,0.55
