ts_code,trade_date,name,industry,label_true_breakout,a_quality_layer,path_source,score_total,score_trend_axis_single,score_platform_axis_single,score_chip_axis_single,score_industry_axis_single,f_strength_rs20_xsec_q,f_platform_compress_ratio,f_chip_winner_rate,f_ind_peer_strong_count,ret_t1,ret_t2,ret_t3,selected_c_reason,firewall_reason,core_keep,failure_quadrant,ahigh_subtype
603216.SH,20251230,梦天家居,家居用品,C,,B,0.7271743737118069,0.908060347045764,0.5964826657691013,0.831020263987481,0.3610890617558343,0.9815770081061165,0.39598811292719177,1.0,5.0,0.0580819450697882,0.0468257541647905,-0.024763619990995,mixed_pseudo_C,mixed_pseudo_firewall,False,dropped_C,
000792.SZ,20251231,盐湖股份,农药化肥,A,A_mid,B,0.7256750821446291,0.7395326526058408,0.6633961629081118,0.7916158573923299,0.1541712970312748,0.8481385919646148,0.34386973180076624,0.894165213195846,1.0,0.0237937871777924,0.0697290152015861,0.0637805684071379,,platform_integrity_firewall,False,,
000935.SZ,20260105,四川双马,水泥,A,A_mid,B,0.781632600943245,0.7491730993361362,0.7581285762369572,0.7096934093847096,0.2384307032862359,0.8611418047882137,0.2654320987654319,0.9787086400207912,3.0,0.0015624999999999,0.0660156249999999,0.06484375,,platform_integrity_firewall,False,,
603358.SH,20260105,华达科技,汽车配件,A,A_low,A,0.858369644493129,0.8529466107699801,0.4407438572871087,0.7198139840791055,0.6938998253691062,0.9241252302025783,0.5817273376159886,0.9989760629527821,20.0,-0.0098522167487684,0.0157635467980294,0.0206896551724138,,,True,,
000166.SZ,20260106,申万宏源,证券,C,,B,0.7619567990132774,0.4674883845459721,0.8922753281723325,0.5517477377361486,0.8796039053818066,0.6968692449355433,0.2054794520547949,0.8439724749706329,48.0,-0.010928961748634,-0.0309653916211293,-0.0255009107468124,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
000783.SZ,20260106,长江证券,证券,C,,B,0.8284207787883687,0.6033019452803854,0.885897004375631,0.691066484475994,0.8796039053818066,0.7723756906077348,0.24347826086956478,0.8938621704938581,48.0,-0.0112994350282485,-0.0440677966101693,-0.0237288135593218,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
601156.SH,20260107,东航物流,仓储物流,C,,B,0.758333957610625,0.7433027405690824,0.8045944126556714,0.6988846982514231,0.0899547547229719,0.8578251285819251,0.37692307692307686,0.9891849824653544,0.0,-0.0140161725067385,-0.0226415094339623,-0.0285714285714285,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
605222.SH,20260107,起帆电缆,电气设备,A,A_low,B,0.756366226033584,0.7455984328484571,0.7214742510939077,0.6725838908670311,0.8629742816320051,0.8681116825863335,0.4551971326164874,0.9608767857117014,46.0,0.0082944530844997,0.019699326075687,0.0248833592534991,,,False,,
001379.SZ,20260108,腾达科技,机械基件,C,,B,0.7783705738383961,0.5862650446510753,0.7481656008078087,0.8661040754768331,0.5744165740593745,0.7619397501836884,0.3327433628318581,0.9535534895275907,10.0,-0.0087579617834395,0.0095541401273884,-0.0294585987261147,mixed_pseudo_C,platform_integrity_firewall,False,dropped_C,
600498.SH,20260108,烽火通信,通信设备,A,A_high,A,0.8808247340847755,0.9047004709059489,0.2090878492090205,0.9156172861905516,0.8560287347197968,0.9867744305657604,0.7179012345679012,0.9664943614181133,27.0,0.0111688311688311,0.1122077922077922,0.1511688311688312,,,True,kept_Ahigh,high_momentum_frontline_A
001216.SZ,20260109,华瓷股份,家居用品,A,A_mid,B,0.7794809641381137,0.4168063827065869,0.8701447324133288,0.7273492617875853,0.3343983171932052,0.6438809261300992,0.24803149606299182,0.8366881492672933,3.0,0.0027932960893854,0.029608938547486,0.111173184357542,,platform_integrity_firewall,False,,
600345.SH,20260109,长江通信,通信设备,C,,A,0.8798483886331164,0.903538066978746,0.2092224840121171,0.8881737577393237,0.823166375615177,0.9672914369717016,0.7404870624048705,0.9898641215583639,21.0,0.0071976967370441,-0.0935700575815738,-0.0559021113243761,industry_heat_C,,True,kept_C,
600367.SH,20260109,红星发展,化工原料,A,A_mid,B,0.788719437013208,0.7705050037930407,0.7461292494109727,0.7863843580613703,0.7096364502301953,0.87651598676957,0.38309859154929554,0.9775696303581244,15.0,-0.02518756698821,0.0155412647374062,0.0664523043944265,,,False,,
000977.SZ,20260112,浪潮信息,IT设备,C,,B,0.8207590743386735,0.6432352186660951,0.8027263547627062,0.8470490894246253,0.8034211779647563,0.7905181918412348,0.3874734607218686,0.9483226782742394,20.0,-0.048650168728909,-0.0220753655793026,-0.0420416197975254,mixed_pseudo_C,,False,dropped_C,
600215.SH,20260112,派斯林,专用机械,C,,A,0.8359667726069382,0.8293886493412821,0.1929485021878155,0.6850809879119135,0.8779766629623749,0.9176773245130466,0.8055555555555557,0.9028606121996448,31.0,-0.0444711538461538,-0.0564903846153846,-0.0865384615384615,trend_chase_C,,True,kept_C,
000657.SZ,20260114,中钨高新,小金属,A,A_high,A,0.8377305921574854,0.9050680213375812,0.4591551666105689,0.911443528451228,0.5988648991903476,0.955547391623806,0.5412991178829191,0.9879234849043037,10.0,0.0612539728402194,0.0835018780699219,0.1632476162958682,,,True,kept_Ahigh,high_momentum_frontline_A
000978.SZ,20260114,桂林旅游,旅游景点,C,,B,0.7196201936237392,0.519314243336423,0.6358549309996633,0.7412432699067879,0.4343149706302588,0.71895664952241,0.545454545454545,0.9651297183936027,6.0,-0.0054421768707483,-0.021768707482993,0.0095238095238094,mixed_pseudo_C,,False,dropped_C,
000960.SZ,20260115,锡业股份,小金属,C,,A,0.8690847753611686,0.9082832681570684,0.06950521709862,0.7275846166058104,0.8100690585807271,0.9860499265785609,0.8988833746898264,0.9598802472337624,21.0,-0.0342585646411603,-0.0620155038759691,-0.0467616904226058,industry_heat_C,,True,kept_C,
600348.SH,20260116,华阳股份,煤炭开采,A,A_low,B,0.7055916608227348,0.602659099584334,0.6911982497475597,0.683427607556755,0.1445665978726782,0.7712082262210797,0.48780487804878003,0.9720620756044324,2.0,0.0131004366812226,-0.0065502183406114,-0.0207423580786025,,,False,,
603090.SH,20260116,宏盛股份,专用机械,A,A_high,A,0.8830552468645818,0.905799628216016,0.3346011443958263,0.8585184269611956,0.6393475154786474,0.979067205288285,0.6158375036797175,0.9903441958666835,22.0,0.0436880873761749,0.0476250952501904,0.1524003048006095,,,True,kept_Ahigh,high_momentum_frontline_A
002182.SZ,20260119,宝武镁业,小金属,A,A_mid,A,0.8688228290204796,0.9028351189372128,0.43791652642208,,0.6580806477218607,0.9508256880733945,0.5888429752066117,0.9931183475234323,17.0,0.0141227593699078,0.0467137425312329,0.0190114068441065,,,False,,
605376.SH,20260119,博迁新材,小金属,A,A_low,B,0.7376019726030837,0.4884491733984715,0.6462807135644564,0.8696883405529222,0.6580806477218607,0.6858715596330275,0.39250225835591723,1.0,17.0,0.0037986704653372,0.0037986704653372,0.054673721340388,,,False,,
600577.SH,20260120,精达股份,电气设备,C,,A,0.8520265121447849,0.9039180435025064,0.4635139683608212,0.8442107137187308,0.7534132401968566,0.9757975797579758,0.5285053929121725,0.9074714984754081,20.0,0.0019582245430809,0.0215404699738903,0.0110966057441252,industry_heat_C,,True,kept_C,
