model,window_a_share_full,a_total,c_total,a_hard_pass_rate,c_hard_pass_rate,candidate_n,candidate_a_n,candidate_c_n,candidate_a_share,candidate_c_share,a_share_top10,a_share_top20,a_share_top30,a_share_lift_pts_vs_full_top10,a_share_lift_pts_vs_full_top20,a_share_lift_pts_vs_full_top30,sample_n_top10,sample_n_top20,sample_n_top30,missed_A,rejected_C,selected_A,selected_C
v2_draft,0.35393397865475307,1426,2603,0.37237026647966337,0.35920092201306186,414,129,285,0.3115942028985507,0.6884057971014492,0.2605042016806723,0.2777777777777778,0.3115942028985507,-0.09342977697408078,-0.07615620087697528,-0.04233977575620235,119.0,270.0,414.0,1297,2318,129,285
v2.1_draft,0.35393397865475307,1426,2603,0.5462833099579243,0.4940453323088744,477,143,334,0.29979035639413,0.70020964360587,0.2517482517482518,0.2939297124600639,0.29979035639413,-0.1021857269065013,-0.06000426619468918,-0.05414362226062308,143.0,313.0,477.0,1283,2269,143,334
