scope,scenario,selected_n,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t2,median_ret_t2,win_t2,signal_days,trade_days,blank_days,blank_day_ratio,avg_days_per_signal
full_year,G0_no_extra_gate,772,0.056850930049777315,0.06507936507936508,0.29927007299270075,0.43523316062176165,0.004758104358410817,0.0007272727272726875,0.49870466321243523,223,223,0,0.0,1.0
main_window,G0_no_extra_gate,209,0.04207573632538569,0.05179282868525897,0.29213483146067415,0.5119617224880383,0.003041660643982507,0.0006195786864930941,0.5023923444976076,57,57,0,0.0,1.0
confirm_window,G0_no_extra_gate,194,0.0665024630541872,0.08333333333333333,0.34328358208955223,0.4175257731958763,0.008300017120642558,0.0026044841834315102,0.5515463917525774,60,60,0,0.0,1.0
full_year,G1_industry_cap,738,0.05501702908042966,0.06349206349206349,0.3076923076923077,0.4349593495934959,0.005091716099524853,0.001075273790143605,0.502710027100271,223,223,0,0.0,1.0
main_window,G1_industry_cap,193,0.04067321178120617,0.049800796812749,0.30864197530864196,0.5077720207253886,0.004200570544891645,0.0024721878862792313,0.5181347150259067,57,57,0,0.0,1.0
confirm_window,G1_industry_cap,185,0.06403940886699508,0.07971014492753623,0.34375,0.42162162162162165,0.008844184811378122,0.002780867630700845,0.5567567567567567,60,60,0,0.0,1.0
full_year,G2_industry_cap_rs20_floor,698,0.0521351847000262,0.06111111111111111,0.308,0.4369627507163324,0.004989553172179247,0.000746454341876035,0.5,223,223,0,0.0,1.0
main_window,G2_industry_cap_rs20_floor,182,0.037868162692847124,0.04780876494023904,0.3076923076923077,0.510989010989011,0.0028959524303642735,0.00030978934324654706,0.5,57,57,0,0.0,1.0
confirm_window,G2_industry_cap_rs20_floor,180,0.06403940886699508,0.07971014492753623,0.3492063492063492,0.42777777777777776,0.009451576547388726,0.0033287460608115715,0.5611111111111111,60,60,0,0.0,1.0
