rule_set,main_sample_n,main_Ahigh_pct,main_C_pct,main_Ahigh_over_C,main_win_t2,main_mean_ret_t2,confirm_sample_n,confirm_Ahigh_pct,confirm_C_pct,confirm_Ahigh_over_C,confirm_win_t2,confirm_mean_ret_t2,direction_consistent,sample_ok,c_control,returns_not_flip,robust_label
R1_R2,14,0.5714285714285714,0.21428571428571427,2.6666666666666665,0.7142857142857143,0.03514494040111854,8,0.125,0.5,0.25,0.375,0.010322930817388332,True,False,False,True,candidate_keep
R1_R2_R3,14,0.5714285714285714,0.21428571428571427,2.6666666666666665,0.7142857142857143,0.03514494040111854,8,0.125,0.5,0.25,0.375,0.010322930817388332,True,False,False,True,candidate_keep
R2,133,0.13533834586466165,0.42857142857142855,0.3157894736842105,0.5112781954887218,0.006869992064689372,151,0.10596026490066225,0.37748344370860926,0.2807017543859649,0.5629139072847682,0.00982946075500017,True,True,False,True,candidate_keep
R1,25,0.32,0.36,0.8888888888888888,0.6,0.012789280518930898,12,0.08333333333333333,0.5,0.16666666666666666,0.25,-0.0006905726463919126,False,True,False,True,drop
R1_R3,25,0.32,0.36,0.8888888888888888,0.6,0.012789280518930898,12,0.08333333333333333,0.5,0.16666666666666666,0.25,-0.0006905726463919126,False,True,False,True,drop
R2_R3,118,0.15254237288135594,0.3983050847457627,0.3829787234042553,0.5423728813559322,0.010315876866669368,128,0.109375,0.375,0.2916666666666667,0.546875,0.010758852320389764,True,True,True,True,keep
R3,144,0.125,0.3888888888888889,0.32142857142857145,0.5277777777777778,0.0075440988778302225,143,0.0979020979020979,0.3776223776223776,0.25925925925925924,0.5314685314685315,0.008896873389619364,True,True,True,True,keep
BASELINE,166,0.10843373493975904,0.42168674698795183,0.2571428571428571,0.5060240963855421,0.004433793063297813,172,0.09302325581395349,0.38953488372093026,0.23880597014925373,0.5406976744186046,0.00705644061398899,False,True,True,True,keep
