window,variant,baseline_variant,sample_n,Ahigh_n,C_n,Ahigh_pct,C_pct,Ahigh_retention_vs_base,C_retention_vs_base,Ahigh_over_C,Ahigh_over_C_base,Ahigh_over_C_delta
main,v3.1_candidate_exact,v3_freeze_candidate_2,14,8,3,0.5714285714285714,0.21428571428571427,0.4444444444444444,0.04285714285714286,2.6666666666666665,0.2571428571428571,2.4095238095238094
main,v3.1_candidate_relaxed,v3_freeze_candidate_2,17,9,4,0.5294117647058824,0.23529411764705882,0.5,0.05714285714285714,2.25,0.2571428571428571,1.9928571428571429
confirm,v3.1_candidate_exact,v3_freeze_candidate_2,8,1,4,0.125,0.5,0.0625,0.05970149253731343,0.25,0.23880597014925373,0.011194029850746273
confirm,v3.1_candidate_relaxed,v3_freeze_candidate_2,15,2,7,0.13333333333333333,0.4666666666666667,0.125,0.1044776119402985,0.2857142857142857,0.23880597014925373,0.04690831556503197
