trade_date,stock_code,stock_name,label_class,label_A_high,archetype,path_source,in_C2A,in_mainline_q2,in_mainline_s2,in_er1,in_mainline_s2_er1,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t2_close
20250508,000541.SZ,佛山照明,C,0,,,False,False,False,False,False,,0.7010356347438752,0.7704018171002108,0.6954105949173112,0.1403508771929824,0.6009174311926605,,-0.02529761904761907
20250508,000676.SZ,智度股份,C,0,,,False,False,False,False,False,,0.6312555679287305,0.6760045427505272,0.4995297376755734,0.3794466403162056,0.8338430173292558,,-0.015294117647058902
20250508,000678.SZ,襄阳轴承,A,1,A1_momentum_frontline,,False,False,False,False,False,,0.6014643652561247,0.9177910875561084,0.8783480638761039,0.3532608695652174,0.9898063200815495,,0.1853417899929528
20250508,000681.SZ,视觉中国,C,0,,,False,False,False,False,False,,0.6379732739420935,0.6760045427505272,0.8006595870668791,0.36235955056179764,0.8792048929663608,,-0.01272727272727281
20250508,000738.SZ,航发控制,G,0,,,False,False,False,False,False,,0.4787360801781737,0.6771875507003406,0.45605843539134056,0.5483091787439611,0.8007135575942915,,0.013817809621289534
20250508,000967.SZ,盈峰环境,G,0,,,False,False,False,False,False,,0.5787360801781737,0.5796198150451571,0.9464827826634433,0.44571428571428584,0.9663608562691132,,-0.0029850746268657025
20250508,000970.SZ,中科三环,G,0,,,False,False,False,False,False,,0.7231765033407572,0.412768373803472,0.562328839736911,0.29411764705882354,0.05504587155963303,,0.0017513134851137035
20250508,000981.SZ,山子高科,C,0,,,False,False,False,False,False,,0.5657878619153675,0.9177910875561084,0.4934135093243207,0.42253521126760574,0.7415902140672783,,-0.03398058252427183
20250508,000997.SZ,新大陆,C,0,,B,True,True,True,False,True,0.743355363417728,0.6281458797327394,0.41889297496079175,0.9830590524091548,0.4382207578253707,0.8022426095820592,3.0,0.06271186440677967
20250508,001696.SZ,宗申动力,C,0,,,False,False,False,False,False,,0.39010022271714917,0.5517075874749878,0.8524172933692591,0.5697522816166887,0.9689092762487258,,0.00901639344262306
20250508,600255.SH,鑫科材料,C,0,,,False,False,False,False,False,,0.7061247216035634,0.6619233681250337,0.6175294551399269,0.21481481481481482,0.7099898063200816,,-0.005934718100890191
20250508,600316.SH,洪都航空,G,0,,,False,False,False,False,False,,0.2165924276169265,0.6771875507003406,0.88798157169663,0.8589951377633704,0.7543323139653415,,0.0363157894736843
20250508,600578.SH,京能电力,G,0,,,False,False,False,False,False,,0.2858741648106904,0.4273362716997458,0.9974818807979684,0.7010309278350516,0.9500509683995922,,-0.002331002331002252
20250508,600592.SH,龙溪股份,C,0,,A,False,False,False,False,False,0.8706038072575849,0.11440979955456569,0.8083797523119356,0.9774515654157524,0.795994065281899,0.9959225280326198,1.0,0.0017914725904693007
20250508,600693.SH,东百集团,C,0,,B,True,True,True,False,True,0.6729206009384074,0.6216870824053452,0.5784097669136337,0.8918264358276815,0.3886255924170617,0.9469928644240571,4.0,-0.041369472182596345
20250508,600760.SH,中航沈飞,G,0,,,False,False,False,False,False,,0.2976391982182628,0.6771875507003406,0.7347269582694131,0.7360285374554103,0.8333333333333334,,0.032584037945968314
20250508,600765.SH,中航重机,C,0,,,False,False,False,False,False,,0.6994821826280624,0.6771875507003406,0.422199545685361,0.31521739130434767,0.8119266055045872,,-0.004686584651435344
20250508,600879.SH,航天电子,G,0,,,False,False,False,False,False,,0.6734910913140312,0.6771875507003406,0.4203968265620201,0.38659793814432963,0.5586136595310908,,0.013333333333333197
20250508,600933.SH,爱柯迪,C,0,,,False,False,False,False,False,,0.44926503340757235,0.9177910875561084,0.6491340181135287,0.5,0.928644240570846,,-0.025828186412127918
20250508,603009.SH,北特科技,C,0,,,False,False,False,False,False,,0.4601002227171492,0.9177910875561084,0.8202914619449422,0.5149501661129566,0.8644240570846076,,-0.019499178981937537
20250508,603083.SH,剑桥科技,A,1,A5_mixed_other,,False,False,False,False,False,,0.7080623608017818,0.849487588556595,0.654079633866493,0.26453243470935134,0.7579001019367991,,0.10664893617021276
20250508,603087.SH,甘李药业,C,0,,,False,False,False,False,False,,0.2628897550111359,0.378772105348548,0.9742731379598716,0.7535353535353531,0.9245667686034659,,-0.008391881342700969
20250508,603112.SH,华翔股份,G,0,,A,False,False,False,False,False,0.8587757019740178,0.5887667037861914,0.8083797523119356,0.9999999999999999,0.44047619047619047,0.9209989806320081,2.0,0.019631171921475454
20250508,603189.SH,网达软件,C,0,,,False,False,False,False,False,,0.39647828507795096,0.4895016494510843,0.9791793907538751,0.5802919708029196,0.9673802242609582,,-0.02877697841726634
20250508,603228.SH,景旺电子,G,0,,,False,False,False,False,False,,0.6813752783964364,0.7861121626737332,0.4399505770318312,0.2837591240875912,0.4148827726809378,,0.014252568776930818
20250508,603915.SH,国茂股份,C,0,,,False,False,False,False,False,,0.611575723830735,0.8083797523119356,0.590072334710162,0.34857142857142864,0.854230377166157,,-0.023255813953488302
20250509,000001.SZ,平安银行,G,0,,,False,False,False,False,False,,0.94847995545657,0.49561273051754906,0.385439489275056,0.19791666666666635,0.2414671421293938,,0.011648745519713177
20250509,000006.SZ,深振业Ａ,G,0,,,False,False,False,False,False,,0.6896714922048996,0.28845113839165,0.37737905576576247,0.224755700325733,0.630667345899134,,-0.0015384615384614886
20250509,000016.SZ,深康佳Ａ,C,0,,,False,False,False,False,False,,0.4345378619153675,0.5453125845005679,0.5982061960362339,0.5161290322580646,0.9796230259806419,,-0.0185185185185186
