path_source,subset,sample_n,trigger_rate_within_path,pullback_n,breakout_n,range_break_n,mean_t1,median_t1,win_t1,mean_t2,median_t2,win_t2,mean_t3,median_t3,win_t3
A,triggered,5,0.29411764705882354,5,0,0,0.0101168356067525,0.0168918918918916,0.6,3.086162288694211e-05,-0.0194357366771159,0.4,0.01609946998963218,-0.0171641791044776,0.4
A,not_triggered,12,0.29411764705882354,0,0,0,0.006943179121962767,0.0018292682926829,0.5,0.04476654244523745,0.03831865611442485,0.5833333333333334,0.07484101320152609,0.07119516595045691,0.5833333333333334
B,triggered,85,0.44041450777202074,72,6,7,0.008488778973030504,0.003717472118959,0.5764705882352941,0.010040814609484524,0.0038880248833592,0.5764705882352941,0.010608944842018377,0.0070232306861155,0.5764705882352941
B,not_triggered,108,0.44041450777202074,0,0,0,0.0006276131009285398,0.0,0.49074074074074076,0.005459070685223242,0.003311132752634,0.5277777777777778,0.0006382870867760023,0.0019588973756464,0.5092592592592593
