group,sample_n,trigger_n,trigger_rate,pullback_confirm_n,breakout_confirm_n,range_break_confirm_n,mean_ret_t1,win_t1,mean_ret_t2,win_t2,mean_ret_t3,win_t3
all,210,94,0.44761904761904764,76,6,12,0.004396336929072337,0.5285714285714286,0.009430484253655138,0.5476190476190477,0.00928230869195164,0.5380952380952381
triggered,94,94,1.0,76,6,12,0.009011182376061595,0.5851063829787234,0.009643610157235555,0.5638297872340425,0.011707974212819307,0.5638297872340425
priority_tag_1,14,8,0.5714285714285714,4,0,4,0.013098418984994016,0.6428571428571429,0.02164563358011933,0.5714285714285714,0.049874682114548416,0.5714285714285714
priority_tag_0,196,86,0.4387755102040816,72,6,8,0.0037747596393636453,0.5204081632653061,0.008557973587479123,0.5459183673469388,0.0063828534474804416,0.5357142857142857
path_A,17,9,0.5294117647058824,4,0,5,0.0078766074998421,0.5294117647058824,0.03160898926219318,0.5294117647058824,0.05756408872743964,0.5294117647058824
path_B,193,85,0.44041450777202074,72,6,7,0.004089784599004533,0.5284974093264249,0.00747693718036422,0.5492227979274611,0.005029509414214355,0.538860103626943
priority1_pathA,12,7,0.5833333333333334,3,0,4,0.013920693375130943,0.6666666666666666,0.0316219507539879,0.5833333333333334,0.06627572648444593,0.5833333333333334
priority1_pathB,2,1,0.5,1,0,0,0.00816477264417245,0.5,-0.0382122694630921,0.5,-0.0485315841048367,0.5
