rank_group,n,avg_ret_t1,med_ret_t1,win_t1,avg_ret_t2,med_ret_t2,win_t2,avg_ret_t3,med_ret_t3,win_t3
top10,202,0.007222647912867719,-0.0006226650062266526,0.4801980198019802,0.012389312226521221,-5.484861781479555e-05,0.49504950495049505,0.009451953685339215,-0.010572239105848813,0.4752475247524752
top20,465,0.0029026070629813677,-0.0037771482530688516,0.45806451612903226,0.003216101044810925,-0.004538577912254205,0.44946236559139785,0.0015244982009366794,-0.014114326040931546,0.43010752688172044
top30,703,0.0021922275934241385,-0.00435643564356436,0.45519203413940257,0.0008669362594105586,-0.007005253940455369,0.4438122332859175,-0.001036874163949681,-0.013321492007104863,0.42105263157894735
