quadrant,n,share_in_window,share_within_A_or_C,a_share_full,a_share_selected,selected_n,selected_a,selected_c
selected_A,129,0.03201787043931496,0.09046283309957924,,,,,
selected_C,285,0.07073715562174236,0.10948905109489052,,,,,
missed_A,1297,0.3219161082154381,0.9095371669004207,,,,,
rejected_C,2318,0.5753288657235046,0.8905109489051095,,,,,
window_overall,4029,1.0,,0.35393397865475307,0.3115942028985507,414.0,129.0,285.0
