trade_date,stock_code,stock_name,label_class,label_A_high,path_source,in_C2A,in_ECH2_Q2,in_mainline_current,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,rank_global_after_merge
20250508,000541.SZ,佛山照明,C,0,,False,False,False,,0.7010356347438752,0.7704018171002108,0.6954105949173112,0.1403508771929824,
20250508,000676.SZ,智度股份,C,0,,False,False,False,,0.6312555679287305,0.6760045427505272,0.4995297376755734,0.3794466403162056,
20250508,000678.SZ,襄阳轴承,A,1,,False,False,False,,0.6014643652561247,0.9177910875561084,0.8783480638761039,0.3532608695652174,
20250508,000681.SZ,视觉中国,C,0,,False,False,False,,0.6379732739420935,0.6760045427505272,0.8006595870668791,0.36235955056179764,
20250508,000738.SZ,航发控制,G,0,,False,False,False,,0.4787360801781737,0.6771875507003406,0.45605843539134056,0.5483091787439611,
20250508,000967.SZ,盈峰环境,G,0,,False,False,False,,0.5787360801781737,0.5796198150451571,0.9464827826634433,0.44571428571428584,
20250508,000970.SZ,中科三环,G,0,,False,False,False,,0.7231765033407572,0.412768373803472,0.562328839736911,0.29411764705882354,
20250508,000981.SZ,山子高科,C,0,,False,False,False,,0.5657878619153675,0.9177910875561084,0.4934135093243207,0.42253521126760574,
20250508,000997.SZ,新大陆,C,0,B,True,False,True,0.743355363417728,0.6281458797327394,0.41889297496079175,0.9830590524091548,0.4382207578253707,3.0
20250508,001696.SZ,宗申动力,C,0,,False,False,False,,0.39010022271714917,0.5517075874749878,0.8524172933692591,0.5697522816166887,
20250508,600255.SH,鑫科材料,C,0,,False,False,False,,0.7061247216035634,0.6619233681250337,0.6175294551399269,0.21481481481481482,
20250508,600316.SH,洪都航空,G,0,,False,False,False,,0.2165924276169265,0.6771875507003406,0.88798157169663,0.8589951377633704,
20250508,600578.SH,京能电力,G,0,,False,False,False,,0.2858741648106904,0.4273362716997458,0.9974818807979684,0.7010309278350516,
20250508,600592.SH,龙溪股份,C,0,A,False,False,False,0.8706038072575849,0.11440979955456569,0.8083797523119356,0.9774515654157524,0.795994065281899,1.0
20250508,600693.SH,东百集团,C,0,B,True,False,True,0.6729206009384074,0.6216870824053452,0.5784097669136337,0.8918264358276815,0.3886255924170617,4.0
20250508,600760.SH,中航沈飞,G,0,,False,False,False,,0.2976391982182628,0.6771875507003406,0.7347269582694131,0.7360285374554103,
20250508,600765.SH,中航重机,C,0,,False,False,False,,0.6994821826280624,0.6771875507003406,0.422199545685361,0.31521739130434767,
20250508,600879.SH,航天电子,G,0,,False,False,False,,0.6734910913140312,0.6771875507003406,0.4203968265620201,0.38659793814432963,
20250508,600933.SH,爱柯迪,C,0,,False,False,False,,0.44926503340757235,0.9177910875561084,0.6491340181135287,0.5,
20250508,603009.SH,北特科技,C,0,,False,False,False,,0.4601002227171492,0.9177910875561084,0.8202914619449422,0.5149501661129566,
20250508,603083.SH,剑桥科技,A,1,,False,False,False,,0.7080623608017818,0.849487588556595,0.654079633866493,0.26453243470935134,
20250508,603087.SH,甘李药业,C,0,,False,False,False,,0.2628897550111359,0.378772105348548,0.9742731379598716,0.7535353535353531,
20250508,603112.SH,华翔股份,G,0,A,False,False,False,0.8587757019740178,0.5887667037861914,0.8083797523119356,0.9999999999999999,0.44047619047619047,2.0
20250508,603189.SH,网达软件,C,0,,False,False,False,,0.39647828507795096,0.4895016494510843,0.9791793907538751,0.5802919708029196,
20250508,603228.SH,景旺电子,G,0,,False,False,False,,0.6813752783964364,0.7861121626737332,0.4399505770318312,0.2837591240875912,
20250508,603915.SH,国茂股份,C,0,,False,False,False,,0.611575723830735,0.8083797523119356,0.590072334710162,0.34857142857142864,
20250509,000001.SZ,平安银行,G,0,,False,False,False,,0.94847995545657,0.49561273051754906,0.385439489275056,0.19791666666666635,
20250509,000006.SZ,深振业Ａ,G,0,,False,False,False,,0.6896714922048996,0.28845113839165,0.37737905576576247,0.224755700325733,
20250509,000016.SZ,深康佳Ａ,C,0,,False,False,False,,0.4345378619153675,0.5453125845005679,0.5982061960362339,0.5161290322580646,
20250509,000021.SZ,深科技,G,0,,False,False,False,,0.6944933184855233,0.31712725109512735,0.28491459786050116,0.3106796116504858,
20250509,000032.SZ,深桑达Ａ,G,0,,False,False,False,,0.4245824053452115,0.478861337948191,0.4105459806415168,0.5559105431309903,
20250509,000034.SZ,神州数码,C,0,,False,False,False,,0.4523273942093541,0.22738088799956735,0.484238879019506,0.5158959537572249,
20250509,000062.SZ,深圳华强,C,0,,False,False,False,,0.39995545657015585,0.31712725109512735,0.8877179451776295,0.5374310480693459,
20250509,000099.SZ,中信海直,G,0,,False,False,False,,0.6173218262806235,0.14917392244875888,0.3542674953349638,0.4135593220338984,
20250509,000100.SZ,TCL科技,G,0,,False,False,False,,0.6606124721603563,0.31712725109512735,0.26665610429627423,0.397849462365591,
20250509,000158.SZ,常山北明,G,0,,False,False,False,,0.2851475501113585,0.22738088799956735,0.699598641729148,0.640625,
20250509,000333.SZ,美的集团,G,0,,False,False,False,,0.7635272828507795,0.5453125845005679,0.8758245765453486,0.3059392265193374,
20250509,000408.SZ,藏格矿业,G,0,,False,False,False,,0.7599053452115813,0.23944080904223675,0.9294377355303167,0.3218562874251495,
20250509,000409.SZ,云鼎科技,G,0,,False,False,False,,0.6949331848552339,0.22738088799956735,0.6076191333395566,0.24434389140271456,
20250509,000415.SZ,渤海租赁,A,0,,False,False,False,,0.21359131403118037,0.2969147152668866,0.27506985523576877,0.7311827956989246,
20250509,000426.SZ,兴业银锡,A,0,,False,False,False,,0.6158351893095768,0.10055567573414094,0.5438163692360383,0.3876543209876545,
20250509,000519.SZ,中兵红箭,G,0,,False,False,False,,0.21089086859688194,0.5876304688767509,0.7273009575922124,0.8163265306122448,
20250509,000525.SZ,红太阳,G,0,,False,False,False,,0.6231542316258352,0.23944080904223675,0.894942633757741,0.43137254901960786,
20250509,000533.SZ,顺钠股份,G,0,,False,False,False,,0.6875890868596881,0.5333608241847385,0.4985120096872386,0.2252559726962458,
20250509,000536.SZ,华映科技,G,0,,False,False,False,,0.5950389755011135,0.31712725109512735,0.3181791046338192,0.39374999999999993,
20250509,000555.SZ,神州信息,G,0,,False,False,False,,0.6965256124721603,0.22738088799956735,0.34455258294716495,0.17117117117117098,
20250509,000559.SZ,万向钱潮,A,0,A,False,False,False,0.848912173489806,0.29622494432071267,0.6676558866475583,0.9999999999999999,0.6623376623376623,1.0
20250509,000600.SZ,建投能源,C,0,,False,False,False,,0.41547884187082407,0.6296238710724136,0.6650758456150935,0.5608465608465607,
20250509,000601.SZ,韶能股份,C,0,,False,False,False,,0.16826837416481066,0.06051592666702721,0.5361100621484165,0.7366412213740456,
20250509,000617.SZ,中油资本,G,0,,False,False,False,,0.34616926503340756,0.2969147152668866,0.501372644774177,0.5864661654135337,
20250509,000628.SZ,高新发展,C,0,,False,False,False,,0.6981792873051225,0.478861337948191,0.39807302750248197,0.29125528913963294,
20250509,000657.SZ,中钨高新,A,0,,False,False,False,,0.6541230512249443,0.3808406792493646,0.7925066849396974,0.4315789473684215,
20250509,000661.SZ,长春高新,G,0,,False,False,False,,0.5480512249443207,0.31085392893840247,0.38808196497916336,0.4916227860220199,
20250509,000768.SZ,中航西飞,G,0,,False,False,False,,0.5646770601336303,0.26661619166080797,0.3072343373406119,0.4947145877378435,
20250509,000777.SZ,中核科技,G,0,,False,False,False,,0.5658296213808462,0.4191092964144719,0.3705693045124924,0.44007858546169,
20250509,000783.SZ,长江证券,A,0,,False,False,False,,0.33510857461024496,0.13264561137850847,0.383340617867928,0.6956521739130437,
20250509,000801.SZ,四川九洲,G,0,,False,False,False,,0.5523608017817372,0.5453125845005679,0.4921634114833902,0.46394230769230804,
20250509,000815.SZ,美利云,G,0,,False,False,False,,0.4010244988864142,0.4205627061813856,0.4751176625520576,0.5458167330677288,
20250509,000818.SZ,航锦科技,G,0,,False,False,False,,0.5927338530066815,0.3272943594180953,0.4463784829642812,0.3865546218487395,
20250509,000833.SZ,粤桂股份,G,0,,False,False,False,,0.7267873051224943,0.23068655021361745,0.7679346730121867,0.20588235294117643,
20250509,000837.SZ,秦川机床,A,0,,False,False,False,,0.508674832962138,0.26210724136066194,0.6238323213840353,0.4575289575289574,
20250509,000859.SZ,国风新材,A,0,,False,False,False,,0.22356904231625832,0.1810407765940187,0.5404881236005287,0.6782334384858043,
20250509,000887.SZ,中鼎股份,G,0,,False,False,False,,0.5199944320712694,0.6676558866475583,0.6753437013708344,0.4524456521739134,
20250509,000893.SZ,亚钾国际,G,0,,False,False,False,,0.5601141425389755,0.23944080904223675,0.8837412578386477,0.45783132530120463,
20250509,000921.SZ,海信家电,G,0,,False,False,False,,0.7211581291759465,0.5453125845005679,0.5174908196828119,0.3018080667593882,
20250509,000948.SZ,南天信息,G,0,,False,False,False,,0.30939309576837415,0.22738088799956735,0.48502249630746913,0.6299342105263157,
20250509,000953.SZ,河化股份,G,0,,False,False,False,,0.4849777282850779,0.31833053918122334,0.9639748616709763,0.47656250000000033,
20250509,000965.SZ,天保基建,G,0,,False,False,False,,0.2171826280623608,0.28845113839165,0.32923525752387534,0.6721311475409837,
20250509,000977.SZ,浪潮信息,G,0,,False,False,False,,0.6448440979955455,0.25781461251419613,0.393649896279044,0.35442260442260415,
20250509,000980.SZ,众泰汽车,G,0,,False,False,False,,0.5335133630289531,0.6676558866475583,0.42244616107196287,0.4520547945205476,
20250509,000988.SZ,华工科技,G,0,,False,False,False,,0.5849331848552338,0.5876304688767509,0.6878337571694465,0.4394618834080723,
20250509,000993.SZ,闽东电力,C,0,,False,False,False,,0.29399220489977723,0.06051592666702721,0.5549026359549245,0.6446991404011461,
20250509,001212.SZ,中旗新材,A,1,,False,False,False,,0.5814420935412027,0.20185495646530743,0.5679592573135711,0.3736121869351924,
20250509,001287.SZ,中电港,G,0,,False,False,False,,0.7003118040089087,0.31712725109512735,0.30839851620929337,0.24641833810888228,
