group,sample_n,trigger_n,trigger_rate,pullback_confirm_n,breakout_confirm_n,range_break_confirm_n,not_trigger_n,non_trigger_top1,non_trigger_top2,non_trigger_top3,all_mean_t1,all_median_t1,all_win_t1,all_mean_t2,all_median_t2,all_win_t2,all_mean_t3,all_median_t3,all_win_t3,trig_mean_t1,trig_median_t1,trig_win_t1,trig_mean_t2,trig_median_t2,trig_win_t2,trig_mean_t3,trig_median_t3,trig_win_t3,notrig_mean_t1,notrig_median_t1,notrig_win_t1,notrig_mean_t2,notrig_median_t2,notrig_win_t2,notrig_mean_t3,notrig_median_t3,notrig_win_t3
A_core_all,210,90,0.42857142857142855,77,6,7,120,no_v1_pattern_triggered:120,,,0.004396336929072337,0.0024315696328567,0.5285714285714286,0.009430484253655138,0.00366419592791805,0.5476190476190477,0.00928230869195164,0.0057280365445795,0.5380952380952381,0.008579226563792836,0.0039562714553892,0.5777777777777777,0.009484706110229103,0.0031851471934526,0.5666666666666667,0.010913974016885812,0.006723766372889,0.5666666666666667,0.001259169703031963,0.0,0.49166666666666664,0.009389817861224663,0.0041562370794174,0.5333333333333333,0.00805855969825101,0.0036759595012184005,0.5166666666666667
B_priority_1,14,5,0.35714285714285715,5,0,0,9,no_v1_pattern_triggered:9,,,0.013098418984994016,0.018114738375487,0.6428571428571429,0.02164563358011933,0.0200546356068609,0.5714285714285714,0.049874682114548416,0.00530055075778475,0.5714285714285714,0.0170155197560992,0.0218068535825544,0.8,0.01138786166938342,0.0218002812939521,0.6,0.021089938209281577,0.0028129395218001,0.6,0.01092225188993558,0.0036585365853658,0.5555555555555556,0.027344395752750383,0.0183089899197697,0.5555555555555556,0.06586620650636332,0.0643415514131089,0.5555555555555556
C_priority_0,196,85,0.4336734693877551,72,6,7,111,no_v1_pattern_triggered:111,,,0.0037747596393636453,0.0021721321068276,0.5204081632653061,0.008557973587479123,0.003311132752634,0.5459183673469388,0.0063828534474804416,0.0057280365445795,0.5357142857142857,0.008082974023068934,0.0037082818294189,0.5647058823529412,0.009372755783220025,0.002482269503546,0.5647058823529412,0.010315387887921357,0.0069498069498068,0.5647058823529412,0.00047567655274248076,0.0,0.4864864864864865,0.00793404127542528,0.0034403669724769,0.5315315315315315,0.0033714532002959577,0.0027007562117391,0.5135135135135135
D_path_A,17,5,0.29411764705882354,5,0,0,12,no_v1_pattern_triggered:12,,,0.0078766074998421,0.0036585365853658,0.5294117647058824,0.03160898926219318,0.0183089899197697,0.5294117647058824,0.05756408872743964,0.0028129395218001,0.5294117647058824,0.0101168356067525,0.0168918918918916,0.6,3.086162288694211e-05,-0.0194357366771159,0.4,0.01609946998963218,-0.0171641791044776,0.4,0.006943179121962767,0.0018292682926829,0.5,0.04476654244523745,0.03831865611442485,0.5833333333333334,0.07484101320152609,0.07119516595045691,0.5833333333333334
E_path_B,193,85,0.44041450777202074,72,6,7,108,no_v1_pattern_triggered:108,,,0.004089784599004533,0.0023724792408066,0.5284974093264249,0.00747693718036422,0.0034403669724769,0.5492227979274611,0.005029509414214355,0.0061538461538461,0.538860103626943,0.008488778973030504,0.003717472118959,0.5764705882352941,0.010040814609484524,0.0038880248833592,0.5764705882352941,0.010608944842018377,0.0070232306861155,0.5764705882352941,0.0006276131009285398,0.0,0.49074074074074076,0.005459070685223242,0.003311132752634,0.5277777777777778,0.0006382870867760023,0.0019588973756464,0.5092592592592593
F_priority1_pathA,12,4,0.3333333333333333,4,0,0,8,no_v1_pattern_triggered:8,,,0.013920693375130943,0.018114738375487,0.6666666666666666,0.0316219507539879,0.0200546356068609,0.5833333333333334,0.06627572648444593,0.033577245467454504,0.5833333333333334,0.0158176862994854,0.0239171133158473,0.75,0.0071281292674146264,0.0011822723084181,0.5,0.024415382263159622,-0.0077889325379505,0.5,0.012972196912953713,0.011498060722224101,0.625,0.043868861497274536,0.03831865611442485,0.625,0.08720589859508909,0.07119516595045691,0.625
G_priority1_pathB,2,1,0.5,1,0,0,1,no_v1_pattern_triggered:1,,,0.00816477264417245,0.00816477264417245,0.5,-0.0382122694630921,-0.0382122694630921,0.5,-0.0485315841048367,-0.0485315841048367,0.5,0.0218068535825544,0.0218068535825544,1.0,0.0284267912772586,0.0284267912772586,1.0,0.0077881619937694,0.0077881619937694,1.0,-0.0054773082942095,-0.0054773082942095,0.0,-0.1048513302034428,-0.1048513302034428,0.0,-0.1048513302034428,-0.1048513302034428,0.0
H_priority0_pathA,5,1,0.2,1,0,0,4,no_v1_pattern_triggered:4,,,-0.00662919860085112,-0.0151228733459356,0.2,0.031577881681885855,-0.0210526315789474,0.4,0.03665615811062453,-0.0171641791044776,0.4,-0.0126865671641791,-0.0126865671641791,0.0,-0.0283582089552238,-0.0283582089552238,0.0,-0.0171641791044776,-0.0171641791044776,0.0,-0.005114856460019126,-0.01639145874802295,0.25,0.046561904341163265,0.0297606599279656,0.5,0.05011124241440006,0.05148308666451515,0.5
I_priority0_pathB,191,84,0.4397905759162304,71,6,7,107,no_v1_pattern_triggered:107,,,0.004047114567117959,0.0023724792408066,0.5287958115183246,0.007955358192337586,0.0034403669724769,0.5497382198952879,0.005590358561010702,0.0061538461538461,0.5392670157068062,0.008330230465774266,0.00371287697418895,0.5714285714285714,0.009821933934868165,0.0031851471934526,0.5714285714285714,0.010642525590211819,0.00698651881796115,0.5714285714285714,0.0006846684410700166,0.0,0.4953271028037383,0.0064900090112855425,0.0034403669724769,0.5327102803738317,0.0016241713605163652,0.0027007562117391,0.514018691588785
