group,window,sample_n,signal_days,share_label_A_high,share_label_A_mid,share_label_A_low,share_label_C,share_label_G,Ahigh_C_ratio,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
F3_baseline,all,7,7,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,2.5,0.023241841732964588,0.0221238938053098,0.7142857142857143,0.06136540763164366,0.05832832230908,0.8571428571428571,0.11835721280407882,0.161662817551963,0.7142857142857143
F3_baseline,main,4,4,0.75,0.0,0.0,0.25,0.0,3.0,0.0314115148364774,0.02929927741799385,0.75,0.058075806861359575,0.05687778702059085,1.0,0.10833847211782675,0.11300218448253595,0.75
F3_baseline,confirm,3,3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,2.0,0.012348944261614167,0.0221238938053098,0.6666666666666666,0.06575154199202243,0.1238938053097347,0.6666666666666666,0.1317155337190816,0.2367256637168142,0.6666666666666666
outer_pathA_pool,all,10,10,0.2,0.0,0.3,0.3,0.2,0.6666666666666666,-0.0028790564633436404,-0.013904720255057349,0.4,0.010779496403577846,-0.02024418412803165,0.3,0.015008901873792207,-0.01777749185108935,0.4
outer_pathA_pool,main,5,5,0.0,0.0,0.4,0.2,0.4,0.0,-0.01580854694575058,-0.0151228733459356,0.2,-0.018928948108307003,-0.0214723926380369,0.0,-0.012082062388226159,-0.0214240705734088,0.2
outer_pathA_pool,confirm,5,5,0.4,0.0,0.2,0.4,0.0,1.0,0.0100504340190633,0.0168918918918916,0.6,0.04048794091546269,0.0218002812939521,0.6,0.04209986613581058,0.0028129395218001,0.6
S1_precision,all,2,2,1.0,0.0,0.0,0.0,0.0,,0.0131211974371401,0.0131211974371401,0.5,0.11467721961987834,0.11467721961987834,1.0,0.13725030958918868,0.13725030958918868,1.0
S1_precision,main,0,0,,,,,,,,,,,,,,,
S1_precision,confirm,2,2,1.0,0.0,0.0,0.0,0.0,,0.0131211974371401,0.0131211974371401,0.5,0.11467721961987834,0.11467721961987834,1.0,0.13725030958918868,0.13725030958918868,1.0
S2_balanced,all,3,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,,0.019061576538027734,0.030942334739803,0.6666666666666666,0.08371824017790293,0.0805739514348786,1.0,0.09243785290005917,0.1243902439024391,1.0
S2_balanced,main,0,0,,,,,,,,,,,,,,,
S2_balanced,confirm,3,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,,0.019061576538027734,0.030942334739803,0.6666666666666666,0.08371824017790293,0.0805739514348786,1.0,0.09243785290005917,0.1243902439024391,1.0
S3_frequency,all,7,7,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.0,0.6666666666666666,0.004371117606442773,0.0036585365853658,0.5714285714285714,0.02560857069515798,-0.0017073170731707,0.42857142857142855,0.03447269248045383,0.0028129395218001,0.5714285714285714
S3_frequency,main,2,2,0.0,0.0,0.5,0.5,0.0,0.0,-0.009827173425108549,-0.009827173425108549,0.5,-0.0115898548556038,-0.0115898548556038,0.0,0.015404758342061953,0.015404758342061953,0.5
S3_frequency,confirm,5,5,0.4,0.0,0.2,0.4,0.0,1.0,0.0100504340190633,0.0168918918918916,0.6,0.04048794091546269,0.0218002812939521,0.6,0.04209986613581058,0.0028129395218001,0.6
