scope,scenario,selected_n,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t2,median_ret_t2,win_t2
all,C2A,636,0.04663348179198323,0.05476190476190476,0.2987012987012987,0.4386792452830189,0.004632358700187716,0.0009097078576333351,0.5015723270440252
all,C2A+ECH2_Q2,726,0.054231071522137804,0.06190476190476191,0.29770992366412213,0.44352617079889806,0.0045581649304428104,0.0005799136004047689,0.4986225895316804
main_window,C2A,161,0.033660589060308554,0.0398406374501992,0.2777777777777778,0.5403726708074534,0.001472436257138843,-0.0010845986984815426,0.484472049689441
main_window,C2A+ECH2_Q2,197,0.04067321178120617,0.049800796812749,0.28735632183908044,0.5329949238578681,0.0021543178916648203,-0.0010845986984815426,0.4873096446700508
confirm_window,C2A,170,0.059113300492610835,0.07608695652173914,0.3559322033898305,0.4176470588235294,0.009244276840019367,0.004282586215255346,0.5647058823529412
confirm_window,C2A+ECH2_Q2,183,0.0603448275862069,0.07608695652173914,0.328125,0.41530054644808745,0.008085191544507658,0.002702702702702675,0.5519125683060109
