scenario,sample_n,win_t2,avg_ret_t2,med_ret_t2,win_t1,avg_ret_t1,med_ret_t1,a_share,daily_output_avg,active_days,blank_days
S0_top3,354,0.4604519774011299,0.006497407383905878,-0.003509581727403399,0.4661016949152542,0.004190198243021785,-0.003294621069786452,0.24293785310734464,3.0,118,0
S1_top2,236,0.4957627118644068,0.0103895454656908,-5.484861781479555e-05,0.4703389830508475,0.005104684639697183,-0.0027677290941327537,0.2457627118644068,2.0,118,0
S2_top1,118,0.5,0.011644192612095839,0.0001832850607603742,0.5084745762711864,0.008733167623773758,0.0014517166390811687,0.2627118644067797,1.0,118,0
S3_conditional_top2,102,0.45098039215686275,0.003833025007544925,-0.012196932211776312,0.46078431372549017,0.004907725858929347,-0.0017050298380222317,0.19607843137254902,0.864406779661017,51,67
