k,combo,support_keptC,support_keptAhigh,diff_C_minus_A,nC,nA
2,score_industry_axis_single>=q60(0.7378) & f_platform_compress_ratio>=q60(0.6772),0.25806451612903225,0.25,0.008064516129032251,8,2
2,score_industry_axis_single>=q60(0.7378) & f_chip_winner_rate>=q60(0.9925),0.1935483870967742,0.0,0.1935483870967742,6,0
2,score_industry_axis_single>=q60(0.7378) & score_total>=q40(0.8377),0.2903225806451613,0.25,0.04032258064516131,9,2
2,score_industry_axis_single>=q60(0.7378) & score_platform_axis_single>=q40(0.3080),0.1935483870967742,0.125,0.06854838709677419,6,1
2,score_industry_axis_single>=q60(0.7378) & f_strength_rs20_xsec_q>=q40(0.9473),0.1935483870967742,0.125,0.06854838709677419,6,1
2,score_industry_axis_single>=q60(0.7378) & f_platform_compress_ratio<=q60(0.6772),0.1935483870967742,0.0,0.1935483870967742,6,0
2,score_industry_axis_single>=q60(0.7378) & f_chip_winner_rate<=q60(0.9925),0.25806451612903225,0.25,0.008064516129032251,8,2
2,f_strength_rs20_xsec_q<=q40(0.9473) & f_platform_compress_ratio>=q60(0.6772),0.1935483870967742,0.125,0.06854838709677419,6,1
2,f_strength_rs20_xsec_q<=q40(0.9473) & f_chip_winner_rate>=q60(0.9925),0.16129032258064516,0.125,0.03629032258064516,5,1
2,f_strength_rs20_xsec_q<=q40(0.9473) & score_total>=q40(0.8377),0.12903225806451613,0.25,-0.12096774193548387,4,2
2,f_strength_rs20_xsec_q<=q40(0.9473) & score_platform_axis_single>=q40(0.3080),0.25806451612903225,0.25,0.008064516129032251,8,2
2,f_strength_rs20_xsec_q<=q40(0.9473) & score_industry_axis_single<=q60(0.7378),0.1935483870967742,0.125,0.06854838709677419,6,1
2,f_strength_rs20_xsec_q<=q40(0.9473) & f_platform_compress_ratio<=q60(0.6772),0.25806451612903225,0.125,0.13306451612903225,8,1
2,f_strength_rs20_xsec_q<=q40(0.9473) & f_chip_winner_rate<=q60(0.9925),0.2903225806451613,0.125,0.1653225806451613,9,1
