sample_n,mean,median,p25,p75,min,max,window,group,field,section,bucket,share
3.0,0.8575665058998393,0.8663503113503114,0.8514567814567815,0.8680681330681331,0.8365632515632517,0.8697859547859549,confirm,C,score_total,numeric_summary,,
,,-0.024183404183404034,,,,,confirm,H_minus_C,score_total,median_gap,,
,,,,,,,confirm,A_high,score_total,bucket_share,"(0.836, 0.838]",0.5
,,,,,,,confirm,A_high,score_total,bucket_share,"(0.838, 0.847]",0.5
,,,,,,,confirm,C,score_total,bucket_share,"(0.866, 0.87]",0.6666666666666666
,,,,,,,confirm,C,score_total,bucket_share,"(0.836, 0.838]",0.3333333333333333
2.0,0.5573296836982968,0.5573296836982968,0.5410482562854826,0.5736111111111111,0.5247668288726682,0.5898925385239254,confirm,A_high,score_platform_axis_single,numeric_summary,,
3.0,0.6654399837793998,0.6677514193025141,0.6461577453365774,0.6858779399837793,0.6245640713706406,0.7040044606650445,confirm,C,score_platform_axis_single,numeric_summary,,
,,-0.11042173560421731,,,,,confirm,H_minus_C,score_platform_axis_single,median_gap,,
,,,,,,,confirm,A_high,score_platform_axis_single,bucket_share,"(0.524, 0.59]",1.0
,,,,,,,confirm,C,score_platform_axis_single,bucket_share,"(0.59, 0.625]",0.3333333333333333
,,,,,,,confirm,C,score_platform_axis_single,bucket_share,"(0.625, 0.668]",0.3333333333333333
,,,,,,,confirm,C,score_platform_axis_single,bucket_share,nan,0.3333333333333333
2.0,0.5274651274651274,0.5274651274651274,0.5048160173160172,0.5501142376142376,0.4821669071669071,0.5727633477633478,confirm,A_high,score_industry_axis_single,numeric_summary,,
3.0,0.5895021645021644,0.5697691197691197,0.5623436748436748,0.6067941317941317,0.5549182299182299,0.6438191438191437,confirm,C,score_industry_axis_single,numeric_summary,,
,,-0.04230399230399229,,,,,confirm,H_minus_C,score_industry_axis_single,median_gap,,
,,,,,,,confirm,A_high,score_industry_axis_single,bucket_share,"(0.57, 0.573]",0.5
,,,,,,,confirm,A_high,score_industry_axis_single,bucket_share,"(0.481, 0.555]",0.5
,,,,,,,confirm,C,score_industry_axis_single,bucket_share,"(0.481, 0.555]",0.3333333333333333
,,,,,,,confirm,C,score_industry_axis_single,bucket_share,"(0.573, 0.644]",0.3333333333333333
,,,,,,,confirm,C,score_industry_axis_single,bucket_share,"(0.555, 0.57]",0.3333333333333333
2.0,1.0,1.0,1.0,1.0,1.0,1.0,confirm,A_high,rank_global_after_merge,numeric_summary,,
3.0,1.0,1.0,1.0,1.0,1.0,1.0,confirm,C,rank_global_after_merge,numeric_summary,,
,,0.0,,,,,confirm,H_minus_C,rank_global_after_merge,median_gap,,
