profile,metric,count_base,mean_base,std_base,min_base,p10_base,p25_base,median_base,p75_base,p90_base,max_base,count_tune1,mean_tune1,std_tune1,min_tune1,p10_tune1,p25_tune1,median_tune1,p75_tune1,p90_tune1,max_tune1,mean_delta,std_delta,min_delta,p10_delta,p25_delta,median_delta,p75_delta,p90_delta,max_delta,count_delta
loose,score_axis_chip,1529,36.86211151674811,46.254227075218175,0.0,0.0,0.0,0.0,94.95745709229242,100.0,100.0,1529,37.702715198478,46.47489106502452,0.0,0.0,0.0,0.0,95.10581178729971,100.0,100.0,0.8406036817298954,0.22066398980634716,0.0,0.0,0.0,0.0,0.14835469500729914,0.0,0.0,0
loose,score_axis_chip_share_of_total,604,1.1758835247347803,0.2806034200132258,0.4827586206896552,0.9570011025358324,1.0,1.117439079139846,1.293445067741264,1.5081929360343589,2.9704592799487184,617,1.1829737863801937,0.2828573935744704,0.4827586206896552,0.9570011025358324,1.0031743442413492,1.1267605633802815,1.3146113649096025,1.5318870949616477,2.9704592799487184,0.007090261645413376,0.002253973561244571,0.0,0.0,0.003174344241349214,0.00932148424043544,0.0211662971683384,0.023694158927288766,0.0,13
loose,score_axis_industry,1529,26.60243439762232,38.83084187854967,0.0,0.0,0.0,0.0,60.0,100.0,100.0,1529,26.688147112082312,38.80784985321387,0.0,0.0,0.0,0.0,60.0,100.0,100.0,0.08571271445999074,-0.022992025335803135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
loose,score_axis_industry_share_of_total,604,0.7914202229219431,0.3626002102897143,0.0,0.0729758417053062,0.6612704533303333,0.8779170673192289,1.0237550027751958,1.1412854284081306,1.664265025171232,617,0.7775682188232013,0.372086570014582,0.0,0.0,0.5938421205242441,0.8707124010554089,1.0183659101360454,1.1409089764349714,1.664265025171232,-0.013852004098741877,0.009486359724867721,0.0,-0.0729758417053062,-0.06742833280608918,-0.007204666263819992,-0.005389092639150439,-0.00037645197315927525,0.0,13
loose,score_axis_strength,1529,33.65442202440754,43.41521895186841,0.0,0.0,0.0,0.0,76.27244745255429,100.0,100.0,1529,34.38238059202679,43.576100035749086,0.0,0.0,0.0,0.0,77.92744489223082,100.0,100.0,0.7279585676192539,0.16088108388067468,0.0,0.0,0.0,0.0,1.654997439676535,0.0,0.0,0
loose,score_axis_strength_share_of_total,604,1.0413401154216044,0.1960899319377519,0.2118316719462413,0.8310820217939617,0.9532886579246158,1.0373596788858486,1.1492285899315855,1.2882528645734888,1.5065769032077492,617,1.0466357505733137,0.1977851864419807,0.2118316719462413,0.835332802723322,0.96345045247675,1.0418008794003724,1.152977292519984,1.296766322388835,1.5065769032077492,0.005295635151709277,0.0016952545042288047,0.0,0.004250780929360265,0.010161794552134173,0.004441200514523791,0.0037487025883984337,0.008513457815346293,0.0,13
loose,score_total,1529,32.34074810945711,40.99013995020436,0.0,0.0,0.0,0.0,79.26625015087771,93.008938472227,100.0,1529,32.90419419965625,41.00416710392126,0.0,0.0,0.0,0.0,79.36986301369862,93.008938472227,100.0,0.5634460901991432,0.014027153716902774,0.0,0.0,0.0,0.0,0.10361286282090987,0.0,0.0,0
neutral,score_axis_chip,1529,27.68380372670484,41.45884360043473,0.0,0.0,0.0,0.0,84.58296385311218,96.15106719375454,100.0,1529,28.417342300712985,41.79084352874014,0.0,0.0,0.0,0.0,87.03640362410651,96.62161825048264,100.0,0.7335385740081435,0.33199992830540737,0.0,0.0,0.0,0.0,2.4534397709943363,0.47055105672809816,0.0,0
neutral,score_axis_chip_share_of_total,486,1.0436472321401915,0.2164272041902626,0.4827586206896552,0.7828322766712852,0.9281556514195918,1.0399032953298202,1.154290474069398,1.316426659365843,2.005257705705908,498,1.0524700075527675,0.2232816763460872,0.4827586206896552,0.8058603591695103,0.9354992816992772,1.0408291713766569,1.1665876280899912,1.3426779321720017,2.005257705705908,0.008822775412576034,0.0068544721558246036,0.0,0.023028082498225078,0.007343630279685431,0.0009258760468366933,0.01229715402059317,0.0262512728061588,0.0,12
neutral,score_axis_industry,1529,23.03149889741777,37.68435843930102,0.0,0.0,0.0,0.0,60.0,100.0,100.0,1529,23.11658490989387,37.67157953568773,0.0,0.0,0.0,0.0,60.0,100.0,100.0,0.08508601247610059,-0.012778903613295256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
