model,sample_n,a_n,c_n,a_share,a_share_lift_vs_baseline_pts,a_share_lift_vs_S0_pts
S0_single_v22,477,151,326,0.3165618448637317,-0.037338155136268314,0.0
S1_path_a_full,438,152,286,0.3470319634703196,-0.006868036529680377,0.030470118606587937
S2_path_b_full,525,178,347,0.33904761904761904,-0.01485238095238095,0.022485774183887364
S3_dual_merge_naive,842,293,549,0.3479809976247031,-0.005919002375296911,0.0314191527609714
S4_dual_merge_controlled,497,172,325,0.3460764587525151,-0.00782354124748491,0.029514613888783403
S5_path_selection,247,80,167,0.32388663967611336,-0.03001336032388663,0.007324794812381685
