group,n,avg_ret_t1,med_ret_t1,win_t1,avg_ret_t2,med_ret_t2,win_t2,avg_ret_t3,med_ret_t3,win_t3
A,30,0.045599656986369565,0.034867167146506284,0.9666666666666667,0.0802462576409468,0.07084310498969926,0.9666666666666667,0.1119922584760163,0.08656004489337832,0.9666666666666667
C,125,-0.01383009069131668,-0.016319018404907903,0.328,-0.02856359476783676,-0.03093987157034428,0.264,-0.045046547396622796,-0.05866425992779789,0.224
