group,window,sample_n,share_label_A_high,share_label_A_mid,share_label_A_low,share_label_C,share_label_G,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
F3_strict_baseline,all,7,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.023241841732964588,0.0221238938053098,0.7142857142857143,0.06136540763164366,0.05832832230908,0.8571428571428571,0.11835721280407882,0.161662817551963,0.7142857142857143
F3.1_strict_plus_relaxed_fallback,all,8,0.625,0.0,0.125,0.25,0.0,0.02420440335881939,0.026533114272556398,0.75,0.056419766839432214,0.05687778702059085,0.875,0.10391417864379399,0.11300218448253595,0.75
F3_strict_baseline,main,4,0.75,0.0,0.0,0.25,0.0,0.0314115148364774,0.02929927741799385,0.75,0.058075806861359575,0.05687778702059085,1.0,0.10833847211782675,0.11300218448253595,0.75
F3.1_strict_plus_relaxed_fallback,main,4,0.75,0.0,0.0,0.25,0.0,0.0314115148364774,0.02929927741799385,0.75,0.058075806861359575,0.05687778702059085,1.0,0.10833847211782675,0.11300218448253595,0.75
F3_strict_baseline,confirm,3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.012348944261614167,0.0221238938053098,0.6666666666666666,0.06575154199202243,0.1238938053097347,0.6666666666666666,0.1317155337190816,0.2367256637168142,0.6666666666666666
F3.1_strict_plus_relaxed_fallback,confirm,4,0.5,0.0,0.25,0.25,0.0,0.016997291881161374,0.026533114272556398,0.75,0.05476372681750485,0.0728470433018434,0.75,0.09948988516976122,0.11976930161930714,0.75
