a_quality_layer,sample_n,mean_ret_t1,mean_ret_t2,mean_ret_t3,median_ret_t1,median_ret_t2,median_ret_t3,win_t1,win_t2,win_t3
A_high,17,0.05022941159627632,0.09214020773845887,0.1267796086695443,0.04368808737617491,0.08960573476702516,0.11977491961414799,0.8823529411764706,1.0,1.0
A_low,17,0.006575015951947225,-0.0010541192830491172,0.029374755937715998,0.00829445308449972,-0.00140768814293446,0.02488335925349916,0.7647058823529411,0.4117647058823529,0.8235294117647058
A_mid,18,0.02308334871856751,0.04347244923473868,0.06009375194963343,0.018720939717758234,0.04274408230807969,0.06267164575686746,0.8888888888888888,1.0,1.0
