archetype,sample_n,share_in_all_A_high,in_count,out_count,in_rate_within_type,out_rate_within_type,median_rs20,median_platform,median_industry,median_chip,median_compress,median_score_total
A5_mixed_other,815,0.6468253968253969,22,793,0.026993865030674847,0.9730061349693252,0.836662749706228,0.3733685968819599,0.47910469958358126,0.7817590878696042,0.6557377049180331,0.7356847567521461
A3_early_structure_low_rs20,237,0.1880952380952381,2,235,0.008438818565400843,0.9915611814345991,0.46502057613168724,0.6765812917594655,0.5330093018225083,0.6305043286312774,0.4059171597633138,0.6611115965574295
A1_momentum_frontline,94,0.0746031746031746,8,86,0.0851063829787234,0.9148936170212766,0.9551389043571725,0.30512806236080176,0.7627291655399924,0.9460631878774072,0.6158375036797175,0.8535504827387412
A2_structure_chip,94,0.0746031746031746,32,62,0.3404255319148936,0.6595744680851063,0.7560806173141874,0.6572967706013362,0.5044345898004434,0.9676466449977572,0.40629692841510745,0.7531379772995902
A4_balanced_highscore,20,0.015873015873015872,5,15,0.25,0.75,0.9518426051092326,0.3990061247216035,0.6256591044291817,0.9765981370584511,0.5716232397155514,0.8563496021928638
